Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas
BD,Dr. Dan's Alternative Fuels Werks,912 NW 50th St,"For more information, visit https://drdansbiodiesel.com.",Seattle,WA,98107,,206-783-5728,E,,Public,24 hours daily,A Cash Checks D M V,B99,,,,,,,,,200-9,47.66525,-122.369311,2022-06-14,21113,2023-02-14 15:54:11 UTC,P,,,2001-05-15,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Pearson Fuels Depot,4067 El Cajon Blvd,Corner of 15 Freeway and El Cajon Boulevard,San Diego,CA,92105,,619-243-0456  888-998-2546,E,,Public - Credit card after hours,"6am-10pm M-F, 7am-10pm Sat-Sun",A Cash CFN D M V Voyager Wright_Exp,B20,,,,,,,,,200-9,32.754335,-117.107501,2022-08-10,22615,2023-02-14 15:54:11 UTC,P,,,2003-08-15,,,,,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Shoco Oil,5135 E 74th Ave,,Commerce City,CO,80022,,303-289-1677,E,,Public - Credit card after hours,"6am-6pm M-F, 7am-12pm Sat",Cash M V,"B99, B20",,,,,,,,,200-9,39.832768,-104.927427,2022-11-10,23766,2023-02-14 15:54:11 UTC,P,,,2003-11-15,,,,,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Jay's Garage,734 SE 7th Ave,7th and Morrison,Portland,OR,97214,,503-239-5167,E,,Public,"7am-7pm M-F, 8am-6pm Sat-Sun",A Cash Checks D M V Voyager Wright_Exp,"B99 in summer, B50 in winter",,,,,,,,,200-9,45.51746,-122.658364,2022-05-05,25565,2023-02-14 15:54:11 UTC,P,,,2006-02-15,,,,,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Dal Soglio Sinclair,7398 S 700 W,"I-15 exit at 7200 S, west to first stop light then left (south) two blocks to Sinclair station on right side of road",Midvale,UT,84047,,801-255-9221,E,,Public - Credit card after hours,"5am-7pm M-Sat; B100 available only during store hours in summer, B20 available at all times with credit card",A Cash D M V Wright_Exp,"B100 in summer, no BD in the winter",,,,,,,,,200-9,40.616504,-111.911608,2022-05-05,25789,2023-02-14 15:54:11 UTC,P,,,2020-02-15,,,,,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Western States Petroleum,450 S 15th Ave,"1.5 blocks south on 15th Avenue from Jefferson Street, between the railroad tracks",Phoenix,AZ,85007,,602-252-4011,E,,Public - Credit card after hours,6am-4pm M-F,A Cash D M V,"B99, B20",,,,,,,,,200-9,33.443116,-112.092402,2022-08-10,25902,2023-02-14 15:54:11 UTC,P,,,2003-01-15,,,,,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,FUEL_RESELLER,,,,,,,,,,,,,,,,,false,,,,,,,
BD,BioFuel Oasis,1441 Ashby Ave,,Berkeley,CA,94702,,510-665-5509,E,,Public,"11am-7pm M-Sat, 12pm-4pm Sun; extended hours when using the Fueling Freedom card; visit biofueloasis.com for details; Also accepts Fueling Freedom card",Checks M V,B20,,,,,,,,,200-9,37.853452,-122.279305,2023-02-13,27289,2023-02-14 15:54:11 UTC,P,,,2005-07-15,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,
BD,SeQuential Biofuels,86714 McVay Hwy,At Bloomberg Road,Eugene,OR,97405,,541-736-5864,E,,Public,"6am-9pm M-F, 7am-9pm Sat-Sun",A Cash D M V,"B99, B20, B5",,,,,,,,,200-9,44.018404,-123.026223,2022-04-06,27820,2023-02-14 15:54:11 UTC,P,,,2006-09-15,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Star Oilco - SeQuential Biofuels,232 Middlefield Rd,"Exit I-5 on Marine Drive E, right on to Vancouver Street, left on to Middlefield Road. Pump is in the parking lot in front of the Star Oilco office.",Portland,OR,97211,,503-283-1256,E,,Public,8am-4:30pm M-F,Cash Checks,B99,,,,,,,,,200-9,45.59544,-122.663432,2022-05-05,28761,2023-02-14 15:54:11 UTC,P,,,2004-06-15,,,,,,US,,,,Public,,public,,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,
BD,John Ray & Sons,2900 6th Ave,Corner of 6th and Middleburgh,Troy,NY,12180,,518-272-4432,E,,Public - Credit card after hours,"7am-5pm M-F, 8am-12pm Sat",A Cash D M V,"B20 in summer, B5 in winter",,,,,,,,,200-9,42.745934,-73.681895,2022-01-10,29571,2022-03-08 23:24:24 UTC,P,,,2007-03-15,,,,,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Carl's Junior 76 Station,2140 N Nimitz Hwy,,Honolulu,HI,96819,,808-848-0480,E,,Public,"5:30am-10pm M-W, 6am-11pm Th-Sat, 6am-10pm Sun",A Cash D M V,B99,,,,,,,,,200-9,21.32815,-157.885852,2022-08-10,30606,2023-02-14 15:54:11 UTC,P,,,2006-10-15,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Leathers - Portland,18145 SE Division,Division and 181st,Portland,OR,97236,,503-666-8198,E,,Public,"6am-10pm M-Sat, 7am-9pm Sun",A Cash D M V,B20,,,,,,,,,200-9,45.504952,-122.476183,2022-05-05,30666,2023-02-14 15:54:11 UTC,P,,,2006-11-15,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Bretthauer Oil - Pacific Pride,2125 NE Cumulus Ave,At McMinnville Bypass and 3-Miles Lane,McMinnville,OR,97128,,503-648-2531,E,,Public - Card key at all times,24 hours daily; contact station to arrange for card key,PacificPride,B20,,,,,,,,,200-9,45.201395,-123.176432,2022-04-06,30669,2023-02-14 15:54:11 UTC,P,,,2006-11-15,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Star Oilco - Linnton Shell,11330 NW St. Helens Rd,"1 mile north of St Johns Bridge on Highway 30, in town of Linnton, next to Shell Station",Portland,OR,97231,,503-283-1256,E,,Public,"6am-9pm M-F, 7am-9pm Sat, 7am-8pm Sun",A Cash D M V Voyager Wright_Exp,"B99, B50",,,,,,,,,200-9,45.603451,-122.788857,2022-05-05,31656,2023-02-14 15:54:11 UTC,P,,,2004-01-15,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Star Oilco - Pacific Pride,2528 SE Holgate Blvd,,Portland,OR,97202,,503-283-1256,E,,Public - Card key at all times,24 hours daily; contact station to arrange for card key,CFN,"B20, B5",,,,,,,,,200-9,45.490027,-122.639824,2022-05-05,31824,2023-02-14 15:54:11 UTC,P,,,2004-03-15,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Twice Daily #6603,150 Long Hollow Pike,"I-65, Exit 97",Goodlettsville,TN,37072,,615-851-1877,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-9,36.323459,-86.708259,2022-11-10,32489,2023-02-14 15:54:11 UTC,P,,,2007-03-15,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Team Petroleum,105 E Lincoln,,Fort Collins,CO,80524,,970-482-2533,E,,Public - Credit card after hours,7am-5pm M-F,Cash M V,"B20 in summer, B10 in winter",,,,,,,,,200-9,40.587877,-105.067097,2022-11-10,32493,2023-02-14 15:54:11 UTC,P,,,2007-08-15,,,,,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,FUEL_RESELLER,,,,,,,,,,,,,,,,,false,,,,,,,
BD,TH Malloy and Sons,106 Scott Rd,,Cumberland,RI,02864,,401-333-0665,E,,Public,8am-4:30pm M-F,Cash D M V,"B99, B20",,,,,,,,,200-9,41.945281,-71.426814,2022-11-10,33414,2023-02-14 15:54:11 UTC,P,,,2004-06-15,,,,,,US,,,,Public,,public,,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Woolley Fuel Co,12 Burnett Ave,At Springfield Avenue.,Maplewood,NJ,07040,,973-762-7400,E,,Public,"8am-4:30pm M-F, 8am-12pm Sat (Sat hours in winter only)",A Cash Checks D M V,"B30, any blend up to B30 available",,,,,,,,,200-8,40.721806,-74.258273,2022-11-10,33488,2023-02-14 15:54:11 UTC,P,,,2005-12-15,,,,,,US,,,,Public,,public,,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,
BD,Downs Energy,1296 Magnolia Ave,I-15 & Magnolia Ave,Corona,CA,92879,,951-737-9866,E,,Public - Card key at all times,8am-5pm daily; contact station for required Downs Energy fuel card,Proprietor,B20,,,,,,,,,200-9,33.86645,-117.539117,2022-07-12,33887,2023-02-14 15:54:11 UTC,P,,,2019-03-23,,,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,
