Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas
CNG,Arkansas Oklahoma Gas Corp,2100 S Waldron Rd,,Fort Smith,AR,72903,,479-783-3181,E,,Public - Credit card at all times,24 hours daily,FuelMan M V Wright_Exp,,Q,3600,,,,,,,200-9,35.362213,-94.375338,2023-02-13,73,2023-02-14 15:54:11 UTC,T,,,1997-01-01,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,250,57855,,,,,,,,Q,3600,MD,,,false,,,,,,false,
CNG,Clean Energy - Logan International Airport,1000 Cottage St Ext,"From Route 1, take the first exit after Callahan Tunnel. Located near the Massachusetts State Police Troop F building on Service Rd.",East Boston,MA,02128,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,GPS,42.37470554648246,-71.02654860574343,2022-12-13,81,2023-02-14 15:54:11 UTC,SG,,,1996-11-15,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,AIRPORT,4,NONE,850,,,,,,,,,Q,3000 3600,MD,,,false,,,,,,true,
CNG,Clean Energy - Everett - National Grid,16 Rover St,"Rt 16, exit to Rt 99, to Dexter St to Rover. Or Rt 99 to Robin St, to Rover St",Everett,MA,02149,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FleetOne FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,42.393167,-71.064352,2022-12-13,84,2023-02-14 15:54:11 UTC,T,,,1996-11-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,425,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,false,
CNG,Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,"I-278/Brooklyn Queens Expy, exit onto Vandervoort Ave S, left onto Maspeth Ave, and the station is on the left",Brooklyn,NY,11211,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.718037,-73.932309,2022-12-13,108,2023-02-14 15:54:11 UTC,T,,,2016-07-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,1200,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,false,
CNG,Canarsie - National Grid,8424 Ditmas Ave,"From Shore Pkwy, take Rockaway Pkwy N, left onto Ditmas Ave, and station is on the left",Brooklyn,NY,11236,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts OGS,CleanEnergy D FleetOne FuelMan M Proprietor V Voyager Wright_Exp,,B,3000 3600,,,,,,,200-8,40.64554,-73.918344,2022-12-13,112,2023-02-14 15:54:11 UTC,T,,,1988-01-15,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,525,,,,,,,,,B,3000 3600,MD,,,false,,,,,,false,
CNG,Con Edison - W 29th St Service Center,281 11th Ave,"In Manhattan, W 29th Street and 12th Avenue.",New York,NY,10001,,212-643-3054,E,,Public - Card key at all times,24 hours daily; call 718-204-4100 to arrange for card key,,,Q,3600,,,,,,,200-9,40.752903,-74.005831,2022-06-14,124,2023-02-28 21:19:41 UTC,T,,,2014-05-01,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3600,MD,,,false,,,,,,,
CNG,Con Edison - E 16th St Service Center,700 E 16th St,"In Manhattan, at Avenue C and E 16th. Broadway: Turn east onto 14th Street, then left onto 1st Avenue at 16th Street.",New York,NY,10009,,212-460-6708,E,,Public - Card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3600,,,,,,,200-8,40.729175,-73.97331,2022-06-14,125,2023-02-28 21:19:41 UTC,T,,,1998-01-15,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3600,MD,,,false,,,,,,,
CNG,Con Edison - Van Nest Service Center,1615 Bronxdale Ave,"Hutchinson River Parkway, exit onto E Tremont Avenue W, right onto Bronxdale Avenue, station on the left. From I-95, take Castle Hill Avenue exit north to E Tremont and Bronx.",Bronx,NY,10462,,718-904-4504,E,,Public - Card key at all times,"8am-6pm M-F, call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,GPS,40.8441883,-73.8615724,2022-06-14,129,2023-02-28 21:19:41 UTC,T,,,1998-01-15,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3000,MD,,,false,,,,,,,
CNG,Con Edison - Rye Service Center,178 Theodore Fremd Ave,"I-95/New England Thruway, exit 19 onto Playland Pkwy Service Rd going south, left onto Theodore Fremd Ave, station on left.",Rye,NY,10580,,914-933-2910,E,,Public - Card key at all times,8am-8pm M-F; call 718-204-4048 to arrange for card key,,,Q,3600,,,,,,,200-9,40.979001,-73.693048,2022-06-14,130,2023-02-28 21:19:41 UTC,T,,,1996-12-03,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,60,,,,,,,,,Q,3600,MD,,,false,,,,,,,
CNG,Con Edison - College Point Service Center,124-15 31st Ave,"From I-678/Whitestone Expressway, exit at Linden Place, I-678 service road W, right onto 31st Avenue, station at intersection with College Point Boulevard.",Queens,NY,11354,,718-321-4608,E,,Public - Card key at all times,"7am-11pm M-F, 7am-3pm Sat-Sun; call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,200-8,40.769623,-73.843069,2022-06-14,132,2023-02-28 21:19:41 UTC,T,,,1998-01-15,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3000,MD,,,false,,,,,,,
