Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas
ELEC,City of Greenville - Richardson Garage,66 Richardson St,,Greenville,SC,29601,,864-467-4900,E,,Public,24 hours daily; pay lot,,,,,,2,1,,Non-Networked,,200-9,34.852437,-82.399901,2022-06-14,38309,2023-02-14 15:54:11 UTC,LG,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,1st floor of parking garage,Santa Monica,CA,90401,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,12,2,,Non-Networked,,GPS,34.010528,-118.4898,2023-01-10,38521,2023-02-14 15:54:11 UTC,LG,,,2010-11-15,,,,,CHADEMO J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,SOLAR,false,,,,,,,
ELEC,Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Located in the indoor valet and covered self-parking,Commerce City,CO,80022,,303-574-9800,E,,Public,24 hours daily; pay lot,,,,,18,9,1,,Non-Networked,,GPS,39.843886,-104.771138,2021-12-09,38522,2022-02-10 19:42:29 UTC,P,,,2010-10-19,,,,,CHADEMO J1772 NEMA515,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Clay Cooley Nissan,4914 S IH-35,,Austin,TX,78745,,512-444-1400,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,30.206145,-97.759109,2020-06-09,39114,2023-02-15 22:45:41 UTC,P,,,2011-01-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Town North Nissan,9160A Research Blvd,,Austin,TX,78758,,512-451-7411,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,30.374542,-97.731445,2022-12-13,39711,2023-02-14 15:54:11 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Grubbs Nissan,310 Airport Fwy,,Bedford,TX,76022,,817-268-1000,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-9,32.839339,-97.160994,2022-03-07,39714,2023-02-14 15:54:11 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Clay Cooley Nissan,39690 Lyndon B Johnson Fwy,,Dallas,TX,75237,,972-709-2000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.646784,-96.863492,2022-03-07,39718,2023-02-14 15:54:11 UTC,P,,,2010-12-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Nissan of Fort Worth,3451 W Loop 820 S,,Fort Worth,TX,76116,,817-560-9000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.721585,-97.478539,2020-06-09,39723,2023-02-15 22:45:41 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Texas Nissan of Grapevine,1401 W State Highway 114,,Grapevine,TX,76051,,817-601-3600,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,32.928183,-97.09448,2022-03-07,39724,2023-02-14 15:54:11 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Baker Nissan North,19630 Northwest Fwy,,Houston,TX,77065,,281-890-5656,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-9,29.913418,-95.611942,2022-03-07,39726,2023-02-14 15:54:11 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,Central Houston Nissan,2901 S Loop W,,Houston,TX,77054,,713-661-9955,E,,Public - Call ahead,Dealership business hours,,,,,,1,4,,Non-Networked,,200-9,29.676558,-95.422537,2022-03-07,39727,2023-02-14 15:54:11 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
ELEC,McDavid Nissan,11911 Gulf Fwy,,Houston,TX,77034,,713-941-0600,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,29.625565,-95.22531,2020-06-09,39728,2023-02-15 22:45:41 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,
