Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas
HY,University of California Irvine,19172 Jamboree Rd,,Irvine,CA,92612,,800-224-2724,E,,Public - Credit card at all times,"24 hours daily; bus fueling from 10pm-2am, drivers should avoid station then",A D M V,,,,,,,,,,200-8,33.663511,-117.856388,2023-01-10,27339,2023-02-14 15:54:11 UTC,SG,,,2003-01-01,http://m.cafcp.org/content/uc-irvine,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,COLLEGE_CAMPUS,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,false,,,,,,,
HY,Shell - Torrance,2051 W 190th St,,Torrance,CA,90504,,833-743-5542,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-8,33.858556,-118.31461,2023-01-10,30131,2023-02-14 15:54:11 UTC,P,,,2017-08-21,https://m.cafcp.org/content/torrance-0,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,false,,,,,,,
HY,Messer - Emeryville,1172 45th St,,Emeryville,CA,94608,,866-384-4829,E,,Public - Credit card at all times,24 hours daily,D FleetOne FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,37.83426757947672,-122.2815811865082,2023-01-10,48407,2023-02-14 15:54:11 UTC,P,,,2018-11-19,http://m.cafcp.org/content/emeryville-upgrade,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,false,,,,,,,
HY,FirstElement Fuels,3601 El Camino Real,,Palo Alto,CA,94306,,844-692-5423,E,,Public - Credit card at all times,6am-10pm daily,D M V,,,,,,,,,,200-9,37.418914,-122.133104,2022-05-05,61950,2023-04-05 16:14:58 UTC,P,,,2018-12-24,http://m.cafcp.org/content/palo-alto,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,false,,,,,,,
HY,Air Products and Chemicals Inc - Los Angeles,7751 Beverly Blvd,,Los Angeles,CA,90036,,800-224-2724,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,,,,,200-9,34.076363,-118.358673,2022-07-12,61968,2023-02-14 15:54:11 UTC,P,,,2016-06-15,http://m.cafcp.org/content/fairfax-la,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,false,,,,,,,
HY,True Zero - Cupertino,21530 Stevens Creek Blvd,,Cupertino,CA,95014,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.322501,-122.051487,2022-08-10,61971,2023-02-14 15:54:11 UTC,P,,,2022-04-15,https://cafcp.org/content/cupertino,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""700""]","[""J2601""]",,,,,,false,,,,,,,
HY,True Zero - Campbell,2855 Winchester Blvd,Winchester Blvd & W Sunnyoaks Ave,Campbell,CA,95008,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.271941,-121.954643,2022-08-10,61972,2023-02-14 15:54:11 UTC,P,,,2016-03-15,http://m.cafcp.org/content/campbell,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,false,,,,,,,
HY,True Zero - Coalinga,24505 W Dorris Ave,W Dorris Ave & Exit 334,Coalinga,CA,93210,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,36.25298,-120.239432,2022-08-10,61973,2023-02-14 15:54:11 UTC,P,,,2016-01-08,http://m.cafcp.org/content/harris-ranch,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,false,,,,,,,
HY,True Zero - Costa Mesa,2050 Harbor Blvd,Harbor Blvd & Bay St,Costa Mesa,CA,92627,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,33.648692,-117.918614,2022-08-10,61974,2023-02-14 15:54:11 UTC,P,,,2016-01-21,http://m.cafcp.org/content/costa-mesa,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,false,,,,,,,
HY,True Zero - Hayward,391 W A St,W A St & Arbor Ave,Hayward,CA,94541,,844-878-9376,E,,Public - Credit card at all times,24 hours daily,A Comdata D M V Voyager Wright_Exp,,,,,,,,,,200-9,37.666686,-122.106352,2022-08-10,61975,2023-02-14 15:54:11 UTC,P,,,2016-05-15,http://m.cafcp.org/content/hayward,,,,,US,,,,Public - Carte de crédit en tout temps,true,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,,,,,,,,,,"[""350"", ""700""]","[""J2601""]",,,,,,false,,,,,,,
