Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas
LNG,Clean Energy - Los Angeles County Sanitation District,2800 Workman Mill Rd,LCNG station,Whittier,CA,90601,,562-908-4288  562-493-2804,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D M V Voyager Wright_Exp,,,,,,,,,,200-9,34.025657,-118.031019,2022-12-13,21986,2023-04-11 17:47:07 UTC,LG,,,2003-06-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,false,,,,,,,true
LNG,Clean Energy - City of Tulare,3989 S K St,"South on Hwy 99, exit at Paige going west, 1 mile to South K St, go 1 mile south; LCNG station",Tulare,CA,93274,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D FleetOne FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,36.169487,-119.338155,2022-12-13,23480,2023-02-14 15:54:11 UTC,LG,,,1996-05-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,false,,,,,,,true
LNG,Victor Valley Transit Authority,100 N Sandstone Ct,"LCNG station. I-15 to Highway 58, right on W Main St, left on Sandstone Ct.",Barstow,CA,92311,,760-948-4021,E,,Public - Card key at all times,24 hours daily; customers must have a Fleetstar card to pay for LNG,,,,,,,,,,,200-9,34.886448,-117.079423,2023-01-10,32051,2023-02-14 15:54:11 UTC,LG,,,2006-06-15,,HD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,MUNI_GOV,,,,,NONE,,,,,,,,,,HD,,false,,,,,,,true
LNG,Clean Energy - Riverside County Waste Management,1810 Agua Mansa Rd,LCNG station,Riverside,CA,92509,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH V Voyager Wright_Exp,,,,,,,,,,200-8,34.02094,-117.385415,2022-10-11,34319,2023-02-14 15:54:11 UTC,LG,,,2002-05-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,NONE,,,,,,,,,,HD,,false,,,,,,,true
LNG,Clean Energy - Port of Long Beach,3400 I St,At intersection of W Anaheim St & E I St; LCNG station.,Wilmington,CA,90744,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,33.78311,-118.222,2022-12-13,35074,2023-02-14 15:54:11 UTC,P,,,2009-07-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,NONE,,,,,,,,,,HD,,false,,,,,,,true
LNG,Noil Energy,1234 W Cowles St,"710 Freeway to Anaheim West, take the first right on Harbor Ave, then the first right on Cowles St",Long Beach,CA,90813,,562-491-1228,E,,Public,24 hours daily,Cash Checks D M V,,,,,,,,,,200-9,33.784395,-118.208062,2023-01-10,36571,2023-02-14 15:54:11 UTC,P,,,2018-05-09,,HD,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,HD,,false,,,,,,,false
LNG,Clean Energy - Dillon Transport,4600 Irving Blvd,LCNG station,Dallas,TX,75247,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,,,,,,,,,,200-9,32.80764,-96.896592,2022-12-13,38488,2023-02-14 15:54:11 UTC,P,,,2012-10-08,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,,,,,NONE,,,,,,,,,,HD,,false,,,,,,,true
LNG,Clean Energy - Baytown Flying J #725,1876 East Fwy,I-10 and Exit 789 Thompson Rd,Baytown,TX,77521,,562-493-2804  866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGiftCard,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH V Voyager Wright_Exp,,,,,,,,,,200-9,29.794833,-95.033387,2022-12-13,40841,2023-02-14 15:54:11 UTC,P,,,2011-08-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRAVEL_CENTER,,,,,NONE,,,,,,,,,,HD,,false,,,,,,,true
LNG,Clean Energy - Pearl Flying J #678,685 Highway 80 E,,Pearl,MS,39208,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,,,,,,,,,,200-9,32.276776,-90.160321,2022-12-13,43636,2023-02-14 15:54:11 UTC,P,,,2015-05-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRAVEL_CENTER,,,,,NONE,,,,,,,,,,HD,,false,,,,,,,true
LNG,Clean Energy - Carlisle Flying J #708,1501 Harrisburg Pike,LCNG station,Carlisle,PA,17013,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts PFGift Card,A CleanEnergy Comdata D EFS FleetOne FuelMan M TCH V Voyager Wright_Exp,,,,,,,,,,200-9,40.23601,-77.122908,2022-12-13,43659,2023-02-14 15:54:11 UTC,P,,,2014-01-28,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRAVEL_CENTER,,,,,NONE,,,,,,,,,,HD,,false,,,,,,,true
