Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas
LPG,Centergas Fuels,5901 N Western St,0.5 mile north of Loop 335,Amarillo,TX,79124,,806-372-4400,E,,Public,7:30am-5pm M-F; must have state decal,A Cash Checks D M V,,,,,,,,,,200-9,35.267353,-101.885391,2022-06-14,13298,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,
LPG,Awisco,24 Lakeside Ave,At Standish,West Orange,NJ,07052,,973-736-0200,E,,Public,"7am-4:30pm M-F, 8am-12pm Sat",A Cash D M V,,,,,,,,,,200-8,40.782618,-74.232109,2022-11-10,13367,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,
LPG,Combined Energy Services,276 E Broadway,Located at the corner of Pleasantview Ave,Monticello,NY,12701,,845-794-1210  845-794-6226,E,,Public,8am-5pm daily,Cash Checks D M V,,,,,,,,,,200-9,41.651953,-74.672938,2023-03-08,13401,2023-03-08 17:16:33 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,
LPG,Irish Propane,70 Katherine St,At Bailey and Clinton,Buffalo,NY,14210,,716-852-3335,E,,Public,8am-4:45pm M-F,A Cash D M V,,,,,,,,,,GPS,42.8601082048398,-78.85922572883605,2023-04-06,13444,2023-04-06 17:17:01 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,
LPG,Koppy's Propane Inc,8635 State Route 209,"Exit 33 from Route 81, left at stop sign and south on 209 for about 10 miles",Williamstown,PA,17098,,717-647-7111,E,,Public,"8am-5pm M-F, 8am-12pm Sat",Cash Checks D M V,,,,,,,,,,200-9,40.572305,-76.647804,2022-12-13,13472,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,
LPG,Blossman Gas Inc,1990 Joe Frank Harris Pkwy NW,"4 miles W of I-75 between exit 126 and exit 127, N of Cartersville",Cartersville,GA,30121,,770-386-6268,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.231469,-84.855059,2022-06-14,13597,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,
LPG,Blossman Gas Inc,4319 Mundy Mill Rd,"Off Highway 53 W, 2 miles on left",Oakwood,GA,30566,,770-532-1898,E,,Public - Call ahead,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V,,,,,,,,,,GPS,34.25143680939097,-83.89017841468046,2022-06-14,13618,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FLEET_GARAGE,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,
LPG,Suburban Propane,17460 High Springs Main St,"US 90, 1 mile west of Live Oak",High Springs,FL,32643,,386-362-2424,E,,Public,8am-4:30pm M-F,A Cash D M V,,,,,,,,,,GPS,29.81560949495183,-82.60430327116394,2022-09-14,13634,2023-02-14 15:54:11 UTC,P,,,2014-07-16,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,
LPG,Superior Gas,421 Noble St,"From Quintard take Highway 202 to the second red light, left to 4th St",Anniston,AL,36201,,256-237-6665,E,,Public - Call ahead,8am-5pm M-F; must have state decal,Cash D M V,,,,,,,,,,GPS,33.64207941993194,-85.82846608465697,2022-09-14,13723,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,
LPG,Superior Gas,915 Lafayette Hwy,Turn right on Lafayette from Highway 431 N,Roanoke,AL,36274,,334-863-2138,E,,Public,8am-5pm M-F; must have state decal,Cash Checks D M V,,,,,,,,,,GPS,33.136025,-85.362562,2022-09-14,13726,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,
