Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas
RD,Propel Fuels - Shell,151 Main St,At intersection of Main Street and Spring Street.,Placerville,CA,95667,,530-622-3113,E,,Public,24 hours daily,,,,,,,,,,,200-9,38.727849,-120.804838,2023-02-13,237258,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
RD,Propel Fuels - 76,6700 Five Star Blvd,At intersection of Stanford Ranch Road and Five Star Boulevard.,Rocklin,CA,95677,,916-415-1260,E,,Public,24 hours daily,,,,,,,,,,,GPS,38.781435,-121.2651,2023-02-13,237259,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
RD,Propel Fuels - 76,999 Sunrise Ave,At intersection of Sunrise Avenue and Cirby Way.,Roseville,CA,95661,,916-773-6900,E,,Public,24 hours daily,,,,,,,,,,,200-9,38.729838,-121.271717,2023-02-13,237260,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
RD,Propel Fuels - Shell,7741 Auburn Blvd,At intersection of Auburn Boulevard and Antelope Road.,Citrus Heights,CA,95610,,916-726-5450  800-871-0773,E,,Public,24 hours daily,,,,,,,,,,,200-9,38.707056,-121.290787,2023-02-13,237261,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
RD,Propel Fuels - Shell,7901 Madison Ave,At intersection of Auburn Boulevard and Antelope Road.,Citrus Heights,CA,95610,,800-871-0773,E,,Public,24 hours daily,,,,,,,,,,,200-9,38.664253,-121.271654,2023-02-13,237262,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
RD,Propel Fuels - Chevron,705 Harbor Pointe Pl,,West Sacramento,CA,95605,,916-371-1674,E,,Public,24 hours daily,,,,,,,,,,,200-9,38.591359,-121.55466,2023-02-13,237263,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
RD,Propel Fuels - Mak's Valero,1101 Broadway,At intersection of Broadway and Riverside Boulevard.,Sacramento,CA,95818,,916-442-2327,E,,Public,24 hours daily,,,,,,,,,,,200-9,38.56337,-121.497922,2023-02-13,237264,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
RD,Propel Fuels - Shell,8090 Folsom Blvd,At intersection of Folsom Boulevard and Power Inn Road.,Sacramento,CA,95826,,916-381-0606,E,,Public,24 hours daily,,,,,,,,,,,200-9,38.549124,-121.409773,2023-02-13,237265,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
RD,Propel Fuels - Shell,8062 Florin Rd,At intersection of Power Inn Road and Florin Road.,Sacramento,CA,95828,,916-393-2585,E,,Public,24 hours daily,,,,,,,,,,,200-9,38.49565,-121.409398,2023-02-13,237266,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
RD,Propel Fuels - Shell,9190 E Stockton Blvd,At intersection of Bond Road and E Stockton Boulevard.,Elk Grove,CA,95624,,916-686-6560,E,,Public,24 hours daily,,,,,,,,,,,200-9,38.424101,-121.390814,2023-02-13,237267,2023-02-14 15:54:11 UTC,P,,,2022-12-07,,,,,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,RD99,,N,,,,
