Item,Units,Cruise (Global waters),Cruise (CA waters),RSZ (1),RSZ (2),Hotel (1),Hotel (2),Trip
Total energy,Btu/million tonne-km,229902637.611259,0.000000,27244538.770741,33534426.926302,18589321.631970,18589321.631970,327860246.572242
Fossil fuels,Btu/million tonne-km,229902637.611259,0.000000,27244538.770741,33534426.926302,18589321.631970,18589321.631970,327860246.572242
Coal,Btu/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Natural gas,Btu/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Petroleum,Btu/million tonne-km,229902637.611259,0.000000,27244538.770741,33534426.926302,18589321.631970,18589321.631970,327860246.572242
Water consumption,gal/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
VOC,g/million tonne-km,14433.447880,0.000000,1710.431139,2105.314703,882.010571,882.010571,20013.214865
CO,g/million tonne-km,31753.585336,0.000000,3762.948506,4631.692347,2425.529071,2425.529071,44999.284330
NOx,g/million tonne-km,303102.405482,0.000000,35919.053924,44211.608764,16978.703494,16978.703494,417190.475157
PM10,g/million tonne-km,9113.921280,0.000000,1080.042336,1329.389390,716.985621,716.985621,12957.324248
PM2.5,g/million tonne-km,8384.807578,0.000000,993.638949,1223.038239,659.626772,659.626772,11920.738309
SOx,g/million tonne-km,57847.426055,0.000000,6855.190781,8437.833955,4677.390480,4677.390480,82495.231752
BC,g/million tonne-km,1257.721137,0.000000,149.045842,183.455736,98.944016,98.944016,1788.110746
OC,g/million tonne-km,3270.074955,0.000000,387.519190,476.984913,257.254441,257.254441,4649.087940
CH4,g/million tonne-km,288.668958,0.000000,34.208623,42.106294,17.640211,17.640211,400.264297
N2O,g/million tonne-km,981.474456,0.000000,116.309317,143.161400,79.380951,79.380951,1399.707076
CO2,g/million tonne-km,18708637.791953,0.000000,2217061.156699,2728909.304580,1513858.333396,1513858.333396,26682324.920024
CO2 (w/ C in VOC & CO),g/million tonne-km,18803520.529089,0.000000,2228305.205212,2742749.242426,1520418.812025,1520418.812025,26815412.600776
GHGs,g CO2e/million tonne-km,19080065.390471,0.000000,2261077.065840,2783087.072136,1542615.490057,1542615.490057,27209460.508561
VOC: Urban,g/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CO: Urban,g/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
NOx: Urban,g/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PM10: Urban,g/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PM2.5: Urban,g/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SOx: Urban,g/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BC: Urban,g/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OC: Urban,g/million tonne-km,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
