Item,Feedstock,Fuel,Vehicle Operation,Total
Total Energy ,8751.002102,15348.201136,129487.847576,153587.050814
Fossil Fuels,8220.999242,15109.144110,129487.847576,152817.990928
Coal,862.131811,405.399985,0.000000,1267.531795
Natural Gas,5917.063995,10139.695509,0.000000,16056.759503
Petroleum,1441.803437,4564.048616,129487.847576,135493.699629
Water Consumption,2.405494,0.597105,0.000000,3.002599
CO2 (w/ C in VOC & CO),718.680646,994.559035,10238.785740,11952.025422
CH4,11.995883,2.477499,0.039852,14.513234
N2O,0.011694,0.019906,0.005323,0.036923
GHGs,1079.350469,1073.822765,10241.426417,12394.599652
VOC: Total,0.483803,0.487541,0.181928,1.153273
CO: Total,0.994973,0.613869,1.780350,3.389192
NOx: Total,1.564665,0.905543,0.572408,3.042617
PM10: Total,0.080716,0.095527,0.071740,0.247983
PM2.5: Total,0.067525,0.080622,0.011631,0.159778
SOx: Total,0.397252,0.278134,0.070532,0.745918
BC Total,0.011881,0.010527,0.001471,0.023879
OC Total,0.024395,0.015896,0.002089,0.042380
VOC: Urban,0.085914,0.272899,0.167374,0.526187
CO: Urban,0.041214,0.206210,1.637922,1.885346
NOx: Urban,0.082615,0.298188,0.526615,0.907418
PM10: Urban,0.006285,0.058819,0.066000,0.131104
PM2.5: Urban,0.005404,0.050515,0.010701,0.066620
SOx: Urban,0.044730,0.097684,0.064889,0.207303
BC: Urban,0.000554,0.006494,0.001353,0.008402
OC: Urban,0.001630,0.008294,0.001922,0.011846
