datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,242.4,60.62,105.69,168.17,197.81,213.93,224.34,237.24,249.34,261.75,283.88,328.24,334.26,350.3,353.95,358.45,364.22,366.88,376.04,383.54,397.48,435.71
1,227.93,56.86,105.71,155.34,181.06,201.55,212.88,227.66,236.69,252.46,269.2,298.71,305.55,317.18,324.66,328.19,334.65,339.97,348.23,357.03,371.73,396.58
2,227.13,60.17,97.05,148.75,180.99,200.1,212.68,223.23,236.17,251.02,270.38,305.41,310.46,322.28,333.71,340.39,342.86,347.89,354.16,369.93,386.86,406.32
3,234.86,63.19,96.55,156.0,181.15,203.04,216.15,235.93,248.21,260.59,279.74,320.62,327.09,338.17,343.42,352.9,361.29,366.88,376.1,383.2,389.12,405.78
4,247.0,66.24,97.1,158.6,187.45,216.31,232.83,245.61,259.07,277.67,294.83,336.97,340.5,346.56,356.31,366.8,374.38,376.21,384.97,395.55,403.17,428.05
5,256.73,68.69,95.0,165.69,200.95,219.44,239.76,254.39,273.88,288.04,313.88,351.36,354.96,356.59,371.15,377.1,381.04,385.48,392.29,396.8,414.77,443.67
6,261.29,75.06,97.38,160.96,194.66,220.24,241.98,257.57,280.16,295.33,320.63,369.99,373.99,378.42,384.89,390.46,398.48,401.88,411.24,415.57,430.63,468.48
7,262.2,80.4,103.66,156.33,184.97,213.57,238.56,257.53,276.24,299.25,328.84,382.9,391.67,395.19,401.22,403.71,408.31,410.25,419.64,431.45,439.68,473.38
8,263.38,82.95,100.16,158.32,184.19,210.55,235.69,254.94,279.81,301.53,334.5,389.75,399.42,407.38,410.11,412.08,416.24,421.4,428.93,432.35,441.52,459.86
9,264.08,84.44,107.72,156.0,184.65,209.83,237.14,255.29,278.96,304.08,336.62,393.15,399.87,404.46,412.65,417.5,420.07,423.32,433.43,440.07,447.62,462.09
10,264.27,86.51,109.07,151.58,180.34,212.41,234.87,256.12,278.47,304.54,342.83,399.38,405.92,410.98,414.97,418.18,423.81,427.58,432.0,440.93,448.69,465.69
11,265.67,86.87,112.47,150.98,182.93,215.5,235.69,253.27,280.49,307.22,342.7,394.9,406.97,407.53,413.67,423.71,425.5,430.01,438.96,443.2,453.16,463.66
12,260.54,83.39,108.24,149.99,177.22,217.97,230.8,252.38,276.04,302.91,337.9,382.32,385.41,393.37,399.2,407.65,413.22,424.94,435.8,438.07,442.02,459.49
13,252.55,75.85,114.4,152.37,176.23,213.05,232.01,248.94,267.52,287.93,313.39,354.2,358.61,366.23,372.37,376.57,388.68,398.48,412.32,427.07,432.91,438.95
14,253.49,70.27,108.04,164.72,189.26,212.33,231.39,245.48,268.42,287.96,311.16,351.39,355.81,359.27,370.07,377.78,384.11,390.26,403.07,413.53,422.06,437.06
15,261.27,71.4,122.89,172.15,197.12,213.4,232.22,250.71,277.09,298.31,326.84,364.27,367.75,373.71,382.65,387.46,390.43,399.82,409.64,416.82,423.74,436.49
16,258.11,65.35,122.31,177.6,198.82,219.97,236.34,250.15,271.13,292.1,317.29,354.6,357.78,359.86,365.77,369.09,373.04,380.92,383.77,391.57,396.77,426.83
17,255.43,62.84,119.39,173.67,196.97,218.07,236.44,253.81,267.31,288.58,312.73,344.34,345.64,348.6,353.34,361.62,368.04,370.5,376.92,388.14,393.07,406.83
18,254.75,61.71,118.0,174.06,197.89,217.51,237.5,252.39,267.82,287.25,309.43,340.97,343.79,347.62,352.48,358.74,360.62,366.57,370.47,383.52,389.32,422.01
19,254.74,60.6,112.88,174.86,198.17,220.97,238.39,253.58,268.9,286.19,308.43,335.97,338.72,344.0,346.83,352.06,358.02,361.48,366.51,376.78,385.68,422.37
20,253.42,58.9,112.32,174.24,200.03,218.65,237.08,250.84,269.69,288.52,306.91,332.09,333.47,339.42,340.64,342.6,348.72,350.14,358.94,371.23,382.19,413.31
21,254.44,59.86,110.93,169.14,201.75,220.04,239.41,252.98,269.11,289.38,306.01,331.36,334.39,338.94,342.5,348.78,353.6,358.02,367.45,375.62,392.62,416.57
22,254.08,60.58,115.0,171.65,201.84,220.79,234.26,252.26,270.25,286.8,308.44,334.33,335.26,341.81,348.14,351.99,356.28,361.95,372.49,374.87,385.91,428.36
23,253.81,63.0,115.6,168.64,203.01,222.03,234.88,250.06,263.94,281.21,303.4,342.26,345.69,349.21,361.76,370.01,372.86,374.72,381.69,389.7,405.66,431.74
