datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,251.52,69.63,106.61,154.34,183.54,210.55,230.53,257.72,276.17,297.98,319.45,342.51,344.71,348.61,353.92,360.17,361.83,364.18,370.38,374.05,376.66,381.53
1,286.93,60.17,130.9,196.95,233.27,261.12,279.12,293.9,308.49,324.81,341.21,358.58,362.07,367.13,369.75,373.17,377.23,378.71,380.19,384.37,387.26,395.13
2,308.8,47.07,162.05,238.7,268.88,289.85,303.29,317.06,326.05,335.81,349.74,364.37,365.43,370.16,371.8,373.78,376.86,378.41,379.64,382.82,387.31,400.85
3,313.37,44.89,173.71,249.2,276.22,293.07,306.85,320.61,329.8,339.17,351.38,368.71,371.18,373.44,375.97,377.14,378.03,378.45,380.32,386.24,394.87,410.62
4,314.9,45.87,173.95,248.6,276.93,293.35,308.5,319.49,329.84,340.22,355.88,371.98,374.85,376.1,377.34,380.74,382.82,384.32,387.79,388.73,402.9,424.39
5,317.81,47.59,167.29,247.53,278.55,293.32,310.98,321.61,332.69,343.79,361.78,379.41,380.27,382.69,384.17,386.18,387.56,388.7,390.79,394.85,407.68,433.99
6,317.45,49.89,176.26,241.84,273.46,293.31,309.47,320.29,330.51,344.94,364.27,382.37,384.68,386.64,388.16,390.34,392.02,394.45,398.62,401.09,413.13,444.14
7,314.58,52.99,171.49,237.41,264.44,287.63,305.1,318.2,329.03,345.13,365.34,382.15,384.41,387.12,389.67,391.89,394.31,396.84,399.3,404.88,415.36,444.36
8,312.22,55.41,170.9,235.76,264.01,284.28,302.35,315.39,329.97,343.49,363.48,384.18,385.48,386.61,389.89,393.38,396.38,400.18,404.46,409.27,421.57,449.56
9,310.05,57.57,175.29,228.79,256.77,280.63,299.31,314.39,326.94,343.47,362.03,384.89,386.19,386.83,390.73,395.79,398.26,402.71,406.31,411.73,422.51,450.01
10,309.47,58.97,177.78,226.56,253.9,280.32,297.61,311.83,326.77,342.6,364.29,387.52,389.88,392.39,394.04,397.44,403.18,404.39,408.58,410.12,424.17,451.06
11,310.06,59.3,168.97,227.88,255.04,277.3,298.27,313.18,329.72,344.42,365.29,390.17,393.4,394.96,397.25,397.66,401.06,406.26,409.3,410.26,423.3,450.38
12,309.39,58.08,177.97,229.74,254.25,276.78,297.94,312.81,327.78,342.43,363.75,388.01,389.78,392.29,394.78,397.19,400.19,401.58,404.16,405.49,420.83,442.72
13,302.07,60.31,149.97,217.02,244.2,272.59,289.94,305.02,325.46,337.74,359.21,378.85,381.43,384.32,386.79,387.66,393.21,395.66,397.03,400.13,413.3,426.44
14,275.68,71.3,104.53,165.55,205.29,243.86,263.26,279.39,300.26,321.26,343.61,364.99,369.78,371.75,375.14,377.33,379.86,383.58,384.62,391.35,397.96,412.98
15,235.87,68.32,89.32,140.1,164.27,190.33,217.28,237.66,262.78,279.47,303.8,326.05,327.91,330.11,333.81,336.71,340.25,343.38,346.53,352.57,358.45,378.63
16,202.71,57.57,91.43,128.07,145.77,158.61,179.92,202.59,224.84,238.48,256.92,278.43,281.46,285.78,288.26,292.25,297.21,298.6,303.26,318.64,327.02,356.27
17,189.89,53.54,92.2,124.62,134.15,149.02,167.79,185.32,207.39,225.44,240.43,262.23,263.56,265.3,271.5,273.57,279.69,281.94,289.17,296.07,311.14,348.43
18,186.87,52.58,91.3,124.91,133.82,146.27,163.87,176.98,202.7,222.03,239.49,257.54,259.65,264.48,267.27,271.52,275.93,279.06,283.9,291.61,298.47,336.66
19,185.83,53.05,93.18,119.89,133.08,143.81,161.93,179.35,201.97,222.52,239.01,257.12,259.61,264.01,266.27,269.53,272.53,278.5,282.64,284.8,297.13,329.14
20,186.19,54.24,90.39,119.49,131.79,144.84,162.12,178.86,203.04,225.47,239.0,257.9,260.35,262.2,265.61,269.48,272.59,275.2,284.3,288.23,298.07,321.87
21,188.6,56.79,88.06,117.77,131.15,146.71,162.88,183.43,207.82,230.14,245.61,261.86,264.71,267.79,271.84,274.76,277.83,280.8,284.76,295.42,302.81,333.83
22,195.61,59.66,87.25,117.96,134.1,151.62,171.79,194.44,217.86,240.62,255.94,273.3,277.46,279.36,282.39,284.61,286.49,289.48,294.27,299.4,308.93,339.12
23,215.72,63.88,89.08,130.45,148.4,166.79,191.78,217.83,241.2,262.11,279.7,295.17,297.24,299.69,303.97,305.24,305.63,309.16,318.37,327.42,340.11,360.16
