datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,363.41,111.85,143.4,236.5,267.18,289.74,314.87,342.92,374.59,410.82,459.61,534.95,544.74,554.71,556.28,563.15,570.57,577.01,591.9,607.31,619.78,649.72
1,374.71,106.61,159.05,249.16,282.73,302.3,331.56,362.15,398.57,422.86,454.27,529.22,545.77,556.33,568.94,573.21,580.35,584.42,609.26,620.5,629.09,648.59
2,383.25,101.44,190.73,269.47,294.71,309.55,336.31,371.14,406.34,427.08,458.86,534.67,541.93,550.18,560.38,575.7,583.11,592.36,613.07,623.64,638.78,648.01
3,389.91,102.4,214.98,276.78,295.83,315.63,336.37,378.33,408.82,435.92,471.68,544.42,546.68,548.54,555.99,565.41,581.97,594.66,622.04,631.23,648.53,675.44
4,398.5,107.86,214.35,278.15,296.61,321.35,344.64,386.29,421.11,445.96,489.01,554.99,563.29,569.59,578.03,589.46,602.03,620.82,632.53,657.57,676.57,707.72
5,407.13,109.77,223.83,286.5,309.77,333.72,349.95,381.22,415.69,461.0,508.46,571.71,578.2,588.45,593.26,600.87,618.83,624.18,638.24,655.5,680.39,697.8
6,408.18,112.05,213.75,286.39,310.14,332.73,352.1,373.59,413.77,469.24,521.44,571.2,579.01,583.23,592.38,605.59,622.05,625.37,635.25,659.36,683.09,738.25
7,414.25,115.06,209.15,292.1,315.36,332.62,354.6,385.02,422.75,474.47,531.12,578.68,584.47,592.72,598.91,606.93,632.09,641.02,653.99,658.61,693.34,703.78
8,416.35,117.4,203.43,288.47,317.93,336.68,354.99,381.02,425.71,486.66,533.15,587.13,589.98,598.4,615.56,621.48,627.02,638.68,655.56,684.97,695.04,717.19
9,416.42,117.99,201.26,285.79,314.95,336.33,360.17,382.67,425.3,489.98,536.95,583.51,586.4,594.61,607.99,615.44,621.59,646.22,657.38,685.64,696.76,723.18
10,416.66,117.64,197.44,283.73,315.86,336.18,360.61,383.8,428.91,485.83,534.17,584.2,589.44,601.01,608.74,617.34,626.4,636.69,650.68,681.23,695.9,726.13
11,415.93,117.56,200.33,282.71,312.86,334.32,362.45,385.17,420.8,483.2,534.1,585.85,588.39,605.51,615.18,618.6,624.57,644.67,656.06,669.24,689.5,724.93
12,411.21,118.75,205.99,280.59,302.46,332.46,354.02,377.11,418.07,480.34,528.91,582.48,586.42,595.09,606.42,619.7,637.71,644.9,652.84,677.22,691.55,730.04
13,402.08,121.94,182.25,266.61,296.11,321.59,339.45,367.93,412.85,461.07,517.5,578.66,593.68,601.96,612.42,618.75,631.84,651.59,669.18,676.85,690.02,733.19
14,386.47,122.62,161.2,252.12,284.69,304.95,329.82,357.43,392.23,445.45,501.93,562.18,571.34,588.74,598.56,614.04,623.21,636.23,647.16,660.98,665.16,724.25
15,360.82,110.13,144.25,238.48,270.16,292.95,310.5,330.99,366.38,418.02,468.45,521.15,526.7,532.65,539.21,546.68,557.74,563.33,581.24,587.35,636.99,669.65
16,336.62,98.09,138.88,221.13,256.51,275.95,294.69,319.26,345.51,384.01,422.61,481.86,486.89,490.45,493.34,503.49,509.21,516.96,540.97,560.1,576.81,621.68
17,321.81,91.08,132.98,215.37,244.64,264.12,282.98,311.86,332.43,368.59,397.55,452.5,456.75,465.16,472.14,477.35,487.27,500.64,513.4,522.6,545.53,573.92
18,317.61,87.78,136.77,216.8,241.65,261.28,281.82,305.85,332.68,363.94,393.21,438.96,443.45,450.44,457.97,461.44,467.55,478.23,497.52,503.56,538.59,574.02
19,317.8,86.38,133.05,214.64,242.99,262.79,283.45,306.89,335.51,363.37,392.83,438.87,440.99,450.54,456.65,459.89,465.69,471.64,477.05,499.14,530.81,573.9
20,319.14,86.71,130.72,214.38,242.3,262.6,285.66,310.53,334.55,368.34,396.19,441.52,444.11,447.8,451.32,458.67,466.56,474.52,485.84,493.28,522.56,572.46
21,322.19,89.87,133.32,211.48,243.39,264.27,289.73,312.4,345.25,369.9,400.63,447.23,454.21,460.35,468.13,470.78,476.65,484.6,502.84,510.81,529.91,579.82
22,331.59,94.21,134.2,217.08,246.45,273.18,299.0,325.35,356.99,383.31,405.75,457.59,468.03,478.49,488.5,493.42,502.48,508.03,524.65,531.99,554.54,594.3
23,348.5,104.87,136.57,224.2,257.36,284.45,307.1,336.58,366.76,396.95,445.9,497.34,500.96,508.29,521.5,528.83,534.64,553.97,570.05,577.46,592.07,617.1
