datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,365.18,71.38,186.35,280.34,305.76,318.81,337.05,357.18,380.11,404.18,429.72,468.67,470.87,479.13,483.75,488.88,492.52,496.21,504.09,516.8,522.31,542.91
1,361.51,71.68,188.11,280.46,303.16,317.4,332.35,348.31,370.43,402.59,430.56,466.71,471.66,475.17,483.08,488.61,491.65,495.72,500.89,516.29,522.06,540.82
2,352.81,72.49,183.49,272.09,294.95,308.74,322.56,334.48,364.39,390.84,420.92,453.75,459.37,472.53,479.64,483.73,492.14,494.97,499.31,510.98,524.19,540.39
3,338.65,72.94,155.09,258.14,284.99,297.14,308.15,320.69,341.84,372.38,403.16,436.97,439.43,454.06,467.36,480.71,485.24,491.48,498.41,506.76,526.27,542.08
4,323.44,75.2,150.48,242.52,269.09,283.23,294.58,309.01,323.99,347.53,375.56,431.65,435.07,439.22,455.6,469.14,486.32,492.1,503.2,515.41,524.98,542.35
5,313.46,77.1,142.68,234.37,255.14,274.99,287.39,299.66,313.72,338.2,359.26,427.44,431.27,434.25,438.58,448.18,486.55,490.61,498.17,506.37,518.12,541.68
6,308.52,78.3,140.95,222.21,250.91,269.19,282.7,293.36,309.81,332.49,355.4,425.44,428.98,433.76,437.85,447.19,483.59,489.94,495.42,503.09,514.31,541.95
7,305.56,79.28,137.12,220.53,247.45,266.95,277.16,292.81,307.49,331.84,350.93,423.92,429.61,435.6,439.0,446.19,482.26,488.81,498.23,501.29,515.36,547.01
8,307.85,78.91,130.83,221.88,246.79,269.1,279.91,294.55,308.31,335.65,352.26,423.76,426.88,436.32,439.35,447.83,480.18,490.37,497.13,502.72,520.32,546.36
9,315.11,78.19,130.9,234.32,258.74,276.5,286.24,300.41,317.08,342.04,362.19,428.5,432.58,439.71,443.98,452.39,478.41,487.27,497.82,512.12,523.0,546.84
10,324.15,76.88,138.03,239.03,269.42,283.49,295.38,308.1,329.73,350.16,384.45,433.33,435.48,438.67,445.68,452.75,477.21,484.78,495.87,517.27,528.56,543.82
11,321.94,78.48,126.74,236.47,265.28,280.57,294.87,307.46,328.11,347.52,393.66,433.7,435.56,438.31,444.59,454.91,478.84,484.69,493.88,511.59,523.66,539.83
12,306.95,82.07,103.65,218.53,243.49,263.16,280.36,292.54,309.03,326.69,376.16,427.37,432.1,436.41,444.15,453.25,472.05,480.56,491.56,506.58,521.73,533.38
13,285.98,83.45,95.5,188.94,220.93,243.49,258.24,273.84,288.31,307.78,348.24,405.88,412.45,418.94,429.93,443.61,450.52,462.53,475.09,491.01,509.71,528.2
14,269.96,81.25,81.15,172.85,203.89,228.25,242.27,258.32,277.82,298.25,332.29,382.47,393.77,397.18,412.39,417.15,425.23,434.74,451.59,459.74,478.67,527.83
15,261.42,79.69,77.42,163.01,196.03,217.58,239.56,254.96,272.78,293.79,319.2,380.93,386.09,390.96,393.01,403.33,408.24,422.16,430.77,440.81,451.47,526.03
16,260.43,80.3,81.5,164.99,191.0,215.5,237.99,255.39,269.4,292.14,322.9,369.55,380.63,389.22,398.43,402.17,405.2,417.43,428.74,435.4,449.65,519.52
17,264.12,81.24,92.98,166.74,195.12,215.84,238.25,261.66,276.95,297.89,333.23,378.67,380.82,386.42,400.01,403.88,409.38,422.07,428.52,439.06,450.4,514.84
18,269.59,82.56,90.27,170.31,197.65,220.7,240.9,265.32,285.0,303.58,335.62,385.17,391.25,401.49,404.18,410.76,417.21,427.81,429.69,443.37,462.7,518.4
19,279.88,83.18,87.15,178.45,210.09,234.05,250.12,275.28,292.51,317.92,347.24,400.25,405.35,409.24,413.32,422.52,425.78,433.95,439.36,448.59,475.45,519.19
20,299.52,81.45,103.46,196.9,234.93,255.13,272.61,293.73,312.79,337.88,370.24,419.04,421.68,427.78,430.91,432.51,437.51,445.31,451.54,466.95,489.36,522.17
21,328.18,77.97,128.17,238.82,265.38,283.02,299.53,321.07,341.73,360.5,402.85,441.68,443.51,448.65,451.13,453.95,458.4,463.22,469.05,484.12,515.81,525.42
22,354.26,73.79,172.8,275.24,292.19,308.13,322.9,343.21,368.73,395.48,420.23,462.18,464.37,467.31,469.4,473.17,474.77,479.79,486.0,503.55,524.34,544.47
23,364.6,71.66,189.39,282.67,305.69,317.9,331.96,356.16,382.28,404.16,428.89,468.78,470.2,474.34,478.94,483.57,487.79,490.1,495.61,514.65,523.72,543.5
