datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,473.62,44.8,330.02,417.25,437.55,452.79,471.18,479.58,487.39,495.97,516.93,528.43,529.84,530.85,531.43,532.18,533.73,535.32,536.42,537.91,541.29,570.94
1,479.86,43.58,335.4,424.26,444.95,460.2,477.56,486.93,493.61,504.68,522.15,532.11,533.36,534.0,534.5,535.2,535.8,536.86,538.86,540.76,544.51,570.79
2,486.54,40.94,338.47,429.41,456.44,468.87,483.33,490.57,496.77,510.92,528.54,535.89,536.23,536.49,537.08,537.64,538.56,539.33,540.65,541.84,549.38,569.15
3,491.16,39.31,321.83,433.78,466.19,476.47,486.23,493.96,503.13,518.44,529.36,535.0,535.42,535.74,536.65,537.54,539.83,541.95,542.56,545.8,548.31,570.65
4,494.63,38.46,295.39,443.93,471.51,481.51,490.2,495.97,509.28,522.66,528.93,534.74,536.07,536.8,537.92,540.67,541.59,543.03,545.38,548.01,550.67,571.06
5,497.15,37.76,296.37,442.02,472.91,485.25,493.52,499.02,514.35,523.97,528.84,536.18,538.03,539.09,539.79,541.42,542.87,544.03,547.5,552.21,554.12,566.52
6,497.12,37.9,288.94,443.62,474.1,485.37,493.12,498.1,515.76,524.13,527.6,537.59,538.2,540.03,540.62,541.33,542.95,544.6,546.39,552.09,554.83,562.25
7,496.1,38.34,282.53,445.31,473.51,484.51,492.2,498.12,514.46,522.84,527.3,535.74,536.6,538.62,539.66,540.9,542.18,543.34,548.05,551.25,556.07,562.12
8,494.74,38.58,285.73,442.84,467.75,482.82,491.37,497.16,513.9,521.43,527.49,534.16,535.45,535.65,537.84,539.46,540.97,542.79,544.7,548.95,552.75,562.25
9,492.71,39.4,291.33,440.11,463.26,479.02,489.09,496.3,512.17,521.45,527.34,533.38,534.43,535.76,536.28,537.67,542.4,543.28,544.3,549.35,551.66,559.86
10,487.71,41.24,301.64,431.85,456.36,473.63,483.41,491.3,499.04,520.46,526.2,532.27,534.06,535.35,536.32,538.14,539.66,542.88,543.98,544.73,551.42,555.27
11,482.3,45.6,278.56,418.35,446.04,465.9,476.28,486.11,493.09,514.99,528.54,535.79,536.29,537.12,537.64,539.0,540.48,541.12,543.96,545.84,547.85,554.38
12,476.34,49.27,237.98,407.1,436.68,455.95,469.66,478.92,487.65,510.48,527.22,535.34,536.04,538.19,538.63,539.23,539.9,540.97,542.59,543.99,547.81,551.11
13,472.8,51.29,230.72,403.67,431.81,451.73,463.27,475.1,487.65,507.08,526.6,534.74,535.43,536.65,537.62,538.47,539.18,539.94,541.36,542.37,543.35,548.71
14,469.62,54.06,232.2,396.41,424.79,450.54,464.81,475.81,487.27,505.08,524.7,532.13,533.36,534.35,534.97,535.76,536.55,538.76,540.01,541.11,543.6,545.63
15,465.26,52.52,227.8,396.22,425.12,447.12,466.16,476.07,484.17,494.27,506.04,528.0,528.85,529.15,530.12,531.7,532.74,533.7,536.1,539.89,542.73,549.18
16,463.62,51.63,231.04,397.04,427.86,443.07,462.58,477.06,483.63,488.65,504.1,524.48,525.92,526.91,527.94,530.7,532.72,533.75,535.08,537.64,544.03,546.84
17,464.11,50.9,234.48,393.88,427.23,445.04,462.81,478.74,485.21,489.0,502.88,523.71,525.36,526.02,527.9,529.16,529.99,532.08,533.53,539.12,543.98,548.17
18,464.83,49.81,234.32,395.81,429.24,447.73,460.52,477.65,484.74,489.02,504.21,523.31,523.97,524.98,527.8,528.53,530.76,532.67,535.15,542.32,544.24,545.9
19,464.99,48.63,234.39,401.2,432.96,446.79,459.51,474.91,483.82,489.2,503.04,522.72,524.27,525.62,526.78,528.81,530.18,531.85,537.2,539.17,545.08,563.41
20,465.56,46.25,246.05,403.13,432.8,448.96,461.5,474.63,483.44,487.94,497.97,521.87,523.18,524.4,525.37,526.78,529.02,532.07,534.2,540.17,544.78,567.52
21,465.61,45.23,267.76,405.07,430.78,448.05,462.24,475.46,483.23,487.91,494.71,522.65,523.21,524.85,527.14,528.53,530.22,532.03,534.37,537.04,543.1,571.18
22,467.29,43.09,312.26,411.08,433.09,450.31,465.66,477.57,482.97,488.05,496.86,520.44,521.65,523.85,525.83,527.33,528.69,530.07,532.13,533.96,540.4,573.27
23,470.4,43.61,329.89,415.26,435.17,450.99,468.83,478.73,484.42,490.11,510.17,525.26,526.39,527.86,528.29,529.48,531.37,531.8,533.54,535.59,543.74,572.96
