datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,325.2,54.29,160.17,246.55,287.89,307.59,321.33,333.76,345.66,357.29,371.5,387.18,389.91,392.41,393.09,395.28,397.56,399.62,401.07,402.93,408.22,413.42
1,326.94,53.95,162.56,251.25,294.69,311.22,325.16,333.68,347.19,359.05,370.5,388.06,389.25,392.78,395.26,398.28,400.23,401.43,403.58,405.65,412.44,420.39
2,326.99,53.01,167.79,250.81,296.36,309.95,322.53,335.6,344.76,357.4,370.71,387.73,389.53,392.4,394.27,395.52,396.8,399.8,402.91,406.33,415.3,428.55
3,320.7,52.55,166.92,241.16,284.62,304.02,316.17,326.0,337.82,352.76,368.09,379.06,380.33,382.32,385.31,388.33,392.69,396.5,400.13,403.94,415.41,422.39
4,313.33,51.34,170.14,241.05,275.75,292.03,305.95,315.12,329.7,343.2,357.31,375.43,377.08,380.51,381.99,383.67,387.75,393.77,397.62,402.01,407.54,429.66
5,307.88,50.29,168.96,241.5,272.86,286.42,297.38,309.62,321.74,334.43,349.93,371.88,373.29,376.71,378.19,381.42,387.13,388.89,393.25,401.2,406.37,431.46
6,303.67,49.64,169.45,241.1,269.46,282.29,291.69,303.97,315.47,330.08,344.27,366.55,370.48,373.01,374.92,381.81,385.19,388.19,393.46,401.05,407.95,431.23
7,300.97,49.24,168.7,238.55,266.61,277.48,286.91,298.79,311.35,327.31,340.56,365.15,366.32,373.31,377.6,381.66,385.7,391.53,394.28,401.53,407.51,423.43
8,301.22,49.21,170.35,236.77,267.48,275.63,287.16,299.07,310.28,328.08,342.21,364.52,371.96,375.2,378.78,382.14,386.55,390.16,397.61,401.71,410.59,421.26
9,306.41,49.88,175.93,236.96,273.27,281.44,293.23,305.09,317.98,333.86,350.94,367.26,371.85,374.2,379.86,385.51,390.53,392.75,396.61,403.22,411.11,428.93
10,311.91,50.57,175.35,237.45,275.9,289.48,302.67,314.23,325.78,342.27,355.83,372.22,374.62,375.34,378.22,380.87,384.33,392.33,401.77,406.81,408.94,417.69
11,312.73,49.28,165.41,240.69,278.06,291.08,304.05,318.85,330.32,340.95,356.56,371.1,372.01,373.8,376.76,380.73,382.9,388.33,391.88,396.62,399.84,413.39
12,310.96,48.73,167.3,242.74,274.3,289.25,300.54,313.15,328.56,342.0,353.93,369.76,371.04,374.2,374.92,375.6,379.65,383.64,385.59,388.99,397.05,418.15
13,308.27,50.99,163.76,237.72,267.99,286.14,297.57,311.34,326.92,338.28,354.47,370.79,371.95,373.34,374.38,379.35,381.1,383.85,386.29,391.82,401.5,421.42
14,306.59,54.46,150.75,231.43,264.69,280.8,295.35,313.41,329.05,338.44,356.6,372.66,373.51,378.61,379.59,382.88,386.08,388.63,390.79,395.25,401.12,412.31
15,304.48,55.94,144.49,227.93,261.25,277.71,295.26,308.24,324.8,339.73,356.3,374.48,375.53,378.05,380.2,381.4,383.77,385.65,387.09,390.34,397.35,410.13
16,303.69,56.36,143.32,224.15,261.17,278.88,291.84,307.67,322.4,338.42,352.98,375.22,377.0,378.69,380.32,381.92,383.36,388.24,389.44,393.95,399.03,407.72
17,304.25,56.73,148.57,219.7,259.34,280.95,295.19,307.94,319.91,339.17,356.32,377.75,380.71,381.48,383.91,384.87,388.02,390.56,391.74,393.95,399.09,409.21
18,305.1,56.88,152.07,220.84,263.11,280.53,294.36,309.13,320.15,339.2,355.41,379.76,381.31,382.98,385.36,386.37,388.42,390.2,391.67,393.98,396.82,404.26
19,306.72,56.11,155.51,226.61,267.19,284.29,296.79,310.19,324.98,340.85,357.41,378.06,380.25,382.26,383.55,386.14,387.59,390.06,391.1,393.04,394.84,407.05
20,311.2,53.91,158.55,236.4,273.42,289.74,302.97,314.19,328.58,344.46,359.38,377.76,378.23,379.65,380.55,384.89,387.79,389.46,390.84,392.91,395.95,409.72
21,317.84,52.64,166.21,245.72,284.19,298.85,313.18,323.13,333.29,348.09,364.52,380.12,383.07,384.77,385.93,387.69,390.34,392.25,393.15,395.24,402.77,414.14
22,322.78,51.97,168.35,249.91,288.3,303.59,319.15,329.86,341.88,350.94,367.68,382.69,384.81,385.43,386.68,389.15,391.38,394.14,396.38,398.06,403.45,414.19
23,324.38,53.0,174.51,249.94,287.02,307.72,320.53,334.86,343.1,355.22,369.2,384.69,385.93,389.58,391.55,394.14,396.59,399.5,401.11,402.32,404.92,409.87
