datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,437.5,42.0,345.12,383.96,396.13,412.23,422.61,436.37,448.82,463.16,477.28,491.84,493.78,495.53,496.26,504.85,510.21,512.93,515.96,519.29,527.23,559.69
1,441.52,41.38,349.18,388.6,403.87,417.49,425.52,437.92,451.46,464.69,478.86,498.82,499.48,501.73,504.32,507.13,511.51,515.04,520.07,524.66,531.99,557.96
2,445.72,40.19,353.92,396.41,411.69,420.41,430.29,440.89,454.67,468.46,481.84,499.34,501.2,503.09,507.81,510.01,513.51,516.22,519.94,525.77,530.72,561.4
3,447.29,38.38,359.21,399.07,413.41,422.12,432.11,444.88,459.28,471.46,480.52,497.34,498.37,499.95,502.3,504.23,510.15,515.68,518.44,522.35,529.2,562.85
4,444.63,37.73,354.11,396.62,410.0,418.79,428.46,443.59,458.54,467.53,477.53,493.34,494.77,496.07,498.21,500.5,502.64,506.94,512.12,517.51,525.61,564.1
5,441.55,38.25,335.12,395.73,406.03,413.57,426.72,443.51,455.74,464.89,475.0,491.36,491.88,493.42,494.59,496.48,500.31,502.4,505.88,513.37,526.03,560.71
6,439.71,38.74,329.01,393.32,403.52,411.93,426.33,441.26,453.48,463.05,472.91,489.58,490.51,491.09,491.79,495.15,497.97,502.4,508.91,516.19,526.18,560.41
7,438.78,38.73,330.23,392.22,403.8,411.0,424.64,439.21,452.37,463.28,473.36,488.0,489.1,489.91,491.75,493.5,495.69,499.76,504.02,517.04,525.95,559.97
8,438.63,39.02,325.43,390.7,404.52,411.49,425.02,437.01,452.1,464.2,474.09,486.82,488.6,490.03,491.78,493.08,495.92,500.45,506.61,512.25,524.61,560.73
9,440.08,38.16,322.71,395.01,407.11,413.37,426.47,436.79,452.5,465.66,473.84,488.98,490.36,491.8,492.35,492.88,495.58,501.23,509.37,513.01,525.93,560.66
10,440.99,37.34,325.78,396.38,407.13,416.4,426.56,437.96,452.21,466.49,472.75,489.89,490.8,491.17,492.56,495.73,497.42,502.61,509.26,512.14,521.81,558.74
11,431.69,36.38,330.7,388.86,399.61,410.55,418.68,427.56,437.96,453.12,463.9,480.27,481.59,483.0,486.17,488.13,492.55,498.21,500.0,502.73,511.73,555.57
12,406.24,43.57,293.79,352.35,369.92,381.75,394.61,406.44,415.02,423.82,440.34,467.34,469.59,470.4,473.46,477.84,483.8,487.19,493.31,496.55,502.58,554.82
13,381.62,51.18,260.41,310.55,335.02,352.94,371.54,386.31,395.93,407.39,423.06,449.05,450.67,453.34,455.46,460.79,464.25,470.98,474.3,483.5,496.87,534.68
14,369.7,50.6,253.24,302.71,321.52,342.45,356.4,371.89,386.44,397.09,414.29,433.06,438.81,441.27,442.46,445.02,449.61,451.77,459.36,475.02,485.95,515.97
15,367.28,49.96,252.61,302.85,320.92,337.33,354.96,368.86,382.98,396.45,411.02,430.0,434.4,435.85,437.5,441.21,444.76,449.21,455.72,460.3,484.46,514.12
16,368.95,50.12,249.81,302.06,320.19,338.66,357.76,371.45,385.34,399.18,412.41,430.14,433.69,436.06,438.38,440.14,443.58,450.87,453.96,464.63,479.49,517.96
17,370.27,50.96,253.13,302.18,321.19,340.12,358.65,372.66,385.87,401.87,413.81,434.71,437.0,437.99,443.1,444.67,446.63,451.17,457.32,459.25,480.77,529.24
18,371.73,51.59,256.16,303.73,321.15,342.46,363.35,375.32,386.5,402.46,417.37,439.09,439.85,441.24,444.3,446.99,448.19,450.36,458.25,464.79,474.27,541.66
19,374.8,51.25,253.53,302.24,323.13,348.95,368.5,380.04,389.41,402.64,417.86,438.61,439.7,443.38,444.77,447.35,451.25,453.75,459.12,467.58,483.1,550.56
20,381.05,50.54,256.03,309.86,333.88,357.79,375.16,387.14,396.4,404.98,423.3,442.25,443.99,449.25,450.25,453.19,454.27,461.64,464.52,477.48,499.46,539.37
21,397.38,47.31,266.13,335.07,361.3,379.31,393.47,401.94,412.23,420.68,431.44,452.06,454.03,456.13,459.68,466.24,468.54,471.21,475.87,485.89,507.01,551.59
22,419.25,40.97,304.82,370.23,386.65,396.02,410.52,421.32,429.85,437.69,451.83,472.02,474.01,477.13,478.65,479.91,485.01,489.25,496.01,498.46,511.91,568.26
23,432.68,39.89,344.25,381.16,397.39,408.12,419.28,429.74,444.38,455.07,465.85,486.84,487.84,489.34,492.96,495.89,497.4,506.82,509.41,513.68,518.19,562.87
