datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,633.79,74.81,388.57,544.35,571.12,593.49,612.54,628.86,648.5,669.95,696.38,731.64,735.43,742.69,746.68,750.11,760.07,764.8,779.93,801.37,813.53,850.77
1,639.36,74.35,412.78,551.37,577.84,597.86,616.05,635.16,653.62,676.48,706.72,738.07,741.54,747.55,751.16,757.92,761.59,770.71,786.91,804.2,817.08,852.24
2,643.97,73.1,418.11,566.0,582.69,599.3,619.22,637.7,658.27,675.82,712.62,741.59,746.39,753.31,758.66,762.06,776.91,783.73,793.84,802.4,824.44,842.6
3,642.88,73.82,426.94,563.51,582.36,600.98,614.61,633.96,655.65,678.03,702.41,749.5,752.31,756.64,766.97,774.81,779.23,787.18,795.27,804.45,829.4,846.91
4,633.83,75.64,432.98,551.94,573.21,588.21,604.43,625.0,642.48,669.28,691.0,744.68,752.27,759.06,765.63,771.73,781.12,795.17,802.45,810.59,826.7,850.9
5,621.99,78.1,425.43,538.0,561.43,576.36,591.39,609.69,631.79,651.33,679.93,727.05,737.63,754.33,763.34,774.08,779.82,787.96,794.95,812.05,841.19,857.27
6,614.2,79.38,418.48,530.17,546.73,564.44,583.27,603.38,622.09,642.07,670.99,727.65,734.06,753.45,763.88,770.76,774.81,779.47,792.96,819.95,842.86,860.95
7,609.8,79.51,419.1,523.99,542.54,562.04,579.94,599.43,616.38,636.39,665.15,726.44,737.21,744.28,755.66,768.83,770.79,775.35,788.44,817.97,838.97,861.14
8,608.16,80.11,416.95,523.18,540.89,561.18,579.33,598.24,615.67,634.43,661.16,721.19,733.66,743.86,755.04,767.64,771.33,773.59,790.27,807.8,832.08,859.27
9,610.34,78.32,416.13,524.98,545.63,566.26,582.4,598.85,616.3,635.53,664.57,728.94,736.43,746.28,751.2,765.39,767.67,778.36,781.8,806.72,820.8,843.27
10,614.08,71.38,419.21,536.34,561.66,577.66,591.09,604.36,619.48,636.45,662.56,719.32,722.94,736.96,742.72,747.22,753.37,763.41,770.45,779.39,810.39,825.07
11,613.57,68.84,421.22,534.89,559.59,577.31,592.44,606.66,619.77,632.59,661.12,716.9,720.32,725.49,729.51,736.42,744.79,760.89,766.45,770.7,795.81,826.41
12,603.82,69.44,404.26,526.26,547.02,564.21,581.7,593.58,609.06,624.47,655.04,705.5,709.16,720.26,726.23,733.29,736.61,748.04,763.78,776.53,791.49,822.56
13,596.44,72.66,360.65,515.9,537.88,552.35,565.62,586.62,608.17,624.4,650.65,701.41,710.05,713.12,721.88,733.34,736.12,741.55,752.81,781.28,789.25,815.01
14,596.72,75.97,339.8,508.2,535.38,553.44,567.17,591.02,608.99,631.18,658.3,699.2,701.84,708.21,719.92,733.07,740.23,748.35,765.2,776.53,788.02,811.11
15,603.0,80.9,344.84,504.7,536.95,554.54,576.2,597.62,620.34,640.44,674.28,709.85,715.17,721.09,733.43,738.45,750.83,763.08,777.64,780.97,792.75,819.51
16,606.25,84.62,348.76,505.65,531.54,553.49,579.4,598.19,627.55,652.78,673.57,718.32,724.7,734.96,743.52,750.21,755.64,764.33,772.5,791.42,808.69,831.35
17,604.91,84.54,338.5,507.03,529.91,548.03,579.61,596.56,625.23,648.29,673.45,715.19,718.38,731.96,744.04,750.28,760.61,766.41,772.38,782.76,816.78,838.69
18,599.38,82.39,328.65,504.5,528.73,548.0,573.74,591.88,614.44,643.5,669.84,709.92,712.91,723.33,730.3,738.03,743.27,751.91,760.37,774.26,797.57,845.13
19,594.91,80.51,313.31,499.39,527.25,545.3,567.8,589.67,611.14,636.15,659.92,697.16,702.2,705.4,713.93,722.98,732.44,743.69,760.03,779.46,804.8,847.2
20,595.11,79.11,324.18,504.76,531.62,551.88,568.33,588.7,605.79,637.67,659.97,687.97,699.13,703.87,710.75,719.32,732.3,745.52,767.24,789.85,804.38,850.74
21,605.91,78.98,349.59,516.59,546.7,568.31,579.48,596.8,613.79,641.79,666.45,700.56,703.29,715.24,724.02,730.62,746.34,759.66,777.36,817.32,826.62,848.08
22,620.45,76.62,356.09,534.62,559.36,581.68,597.36,609.87,630.7,655.33,680.47,717.54,724.94,730.02,736.97,744.06,760.83,765.75,785.71,811.32,832.98,869.89
23,628.8,75.41,367.49,534.54,565.38,588.0,607.68,624.39,644.42,663.75,691.91,725.56,729.97,733.44,740.92,745.52,762.12,773.72,783.72,805.08,814.55,869.21
