datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,212.16,130.63,24.0,77.68,118.11,135.53,157.51,180.98,208.28,254.41,300.38,416.14,437.48,446.23,457.78,473.85,479.92,496.94,515.65,566.53,601.74,636.53
1,250.19,156.27,24.0,75.33,126.5,146.55,176.38,202.86,256.28,316.94,402.62,484.31,490.16,496.75,503.89,512.79,527.68,546.95,589.21,601.07,633.48,700.0
2,298.37,183.45,24.0,95.2,137.2,162.04,206.99,252.25,312.0,432.41,500.92,570.29,577.38,580.75,591.97,598.19,600.14,609.61,615.03,637.38,660.62,700.0
3,331.98,194.37,24.0,109.75,142.2,176.3,242.43,308.98,383.79,489.54,545.52,596.17,600.61,610.08,616.91,626.9,631.67,644.36,653.31,666.22,686.48,690.78
4,345.09,196.6,24.0,115.49,146.99,184.62,261.98,339.23,418.36,497.97,556.41,593.79,599.83,609.22,627.97,638.96,645.89,655.65,668.22,671.53,695.2,754.35
5,358.04,197.71,24.0,120.85,155.46,188.1,280.89,356.37,455.13,516.42,561.57,606.04,609.38,615.26,626.89,631.15,642.38,645.47,662.07,682.71,692.07,776.58
6,359.94,199.74,24.0,116.5,149.44,192.89,286.65,373.27,458.3,521.87,566.92,601.51,606.28,615.62,622.95,629.86,638.22,642.69,653.87,670.72,693.14,780.35
7,358.88,200.83,24.0,112.61,148.08,193.83,288.59,369.59,466.31,521.46,561.09,601.67,609.25,619.6,625.2,632.61,637.39,642.74,661.62,669.16,689.72,791.72
8,360.58,201.25,24.0,109.93,147.44,190.56,290.62,380.48,467.84,530.84,563.69,608.6,616.89,621.07,626.73,631.5,638.73,649.89,658.08,666.01,681.18,794.19
9,356.97,199.52,24.0,114.31,145.48,190.29,279.7,363.44,465.46,519.99,563.73,597.95,604.45,609.77,616.17,626.38,635.12,639.86,643.78,652.07,676.61,786.83
10,342.84,193.13,24.0,113.64,142.88,181.69,264.93,333.48,439.35,502.79,549.69,584.67,588.87,592.88,595.78,602.48,614.61,621.3,627.44,639.37,655.11,751.55
11,301.85,181.51,24.0,97.66,141.99,159.92,202.92,274.63,347.46,430.13,497.17,563.61,568.2,571.81,582.3,590.78,599.25,603.92,611.84,623.39,648.52,719.83
12,256.18,171.03,24.0,43.29,126.73,145.1,166.61,193.9,247.28,320.05,437.32,544.51,555.04,564.05,572.04,579.91,589.11,597.23,608.22,611.52,627.76,671.03
13,247.3,168.67,24.0,46.41,124.47,141.05,158.2,183.06,235.27,289.82,398.0,536.22,547.49,554.15,558.95,564.64,578.36,584.26,599.63,610.66,619.16,668.53
14,247.6,165.36,24.0,42.29,123.55,139.0,166.26,196.67,243.13,297.38,401.32,524.37,534.06,543.35,551.45,557.26,565.62,576.51,587.09,604.14,631.06,675.09
15,246.23,163.19,24.0,35.48,125.21,144.85,169.13,199.76,233.3,294.07,408.63,511.81,524.25,534.33,540.69,542.96,555.86,570.72,580.05,617.55,654.15,683.87
16,265.1,167.37,24.0,62.82,126.81,155.28,181.4,226.32,276.31,337.93,422.48,524.22,553.19,557.46,559.79,567.29,573.15,582.57,592.2,609.73,629.81,690.61
17,276.3,175.3,24.0,80.58,124.06,159.36,186.48,228.21,289.2,385.52,456.46,532.52,544.92,553.59,563.58,578.12,583.37,595.82,633.83,655.46,659.73,677.84
18,271.19,185.46,24.0,88.92,117.33,131.65,165.69,203.3,278.83,380.67,467.75,572.36,582.2,584.59,589.84,592.14,602.21,613.51,625.89,643.49,673.17,739.18
19,259.64,188.22,24.0,86.82,110.71,123.38,140.73,185.44,237.6,352.09,462.18,570.8,582.64,590.5,595.62,605.17,614.41,617.43,626.94,658.05,675.6,760.18
20,243.14,186.43,24.0,87.21,107.95,119.42,132.5,158.68,204.04,277.42,447.36,566.78,575.82,589.17,592.88,602.68,619.58,626.99,637.05,674.52,679.68,735.49
21,229.72,170.21,24.0,81.13,107.01,117.28,123.61,153.74,200.09,273.48,407.82,516.16,532.46,543.65,555.13,562.64,565.97,576.32,598.49,609.38,635.94,686.86
22,211.43,148.44,24.0,78.95,105.75,120.17,130.53,157.13,190.51,249.33,327.34,447.6,471.28,479.09,493.12,513.8,535.81,547.14,585.08,599.73,612.3,696.53
23,186.75,112.49,24.0,73.13,112.75,126.3,139.39,158.17,181.73,217.88,261.08,342.75,349.89,363.18,381.44,388.11,413.67,430.91,478.38,497.06,575.33,653.33
