datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,498.29,140.46,195.53,290.32,359.71,415.96,479.82,515.45,559.51,598.28,641.09,666.99,673.89,675.02,676.87,682.63,686.47,689.78,695.95,707.44,717.71,733.65
1,483.58,138.05,170.15,276.53,344.1,389.27,456.09,494.2,543.28,583.91,619.69,656.71,658.29,659.4,660.76,665.79,671.99,682.72,686.48,690.9,703.17,730.54
2,464.22,134.89,161.9,271.47,326.14,383.03,427.18,470.85,516.04,559.72,599.39,641.66,645.01,649.05,651.86,658.06,662.93,666.41,671.73,676.56,692.7,733.91
3,449.4,133.89,161.36,263.88,317.27,361.74,407.45,447.57,498.16,538.78,578.19,636.71,640.12,646.46,649.93,654.01,656.02,660.5,662.6,667.75,698.65,748.6
4,437.18,135.02,165.92,263.37,309.58,342.41,390.5,429.84,470.68,525.92,569.53,637.38,640.95,644.59,649.7,651.62,655.06,657.86,662.61,681.18,692.9,761.58
5,427.0,136.32,164.36,255.12,299.67,335.07,369.98,414.86,457.05,504.18,563.66,631.87,634.35,638.79,643.84,651.64,653.97,656.74,663.73,684.27,712.17,755.06
6,420.26,139.08,160.06,247.55,287.32,326.03,365.1,402.38,454.16,495.99,552.09,621.4,637.42,639.11,645.27,651.88,655.53,660.88,680.96,693.09,725.42,752.05
7,415.15,140.47,158.4,240.6,282.71,320.0,350.99,400.95,445.96,488.41,551.56,629.93,635.26,645.11,649.82,657.29,660.44,667.28,680.66,694.7,720.26,753.04
8,415.39,141.78,151.18,240.69,281.34,319.49,354.84,398.57,440.37,482.87,558.89,623.71,635.81,645.49,648.21,658.82,663.83,673.22,681.85,698.44,726.01,755.73
9,418.97,142.88,156.02,240.37,281.82,321.46,356.26,405.87,446.83,485.83,567.0,631.61,637.1,645.07,653.8,662.22,671.2,680.4,691.9,705.57,723.39,752.98
10,426.54,143.05,176.15,244.07,283.38,330.64,371.68,406.09,458.19,505.71,574.92,635.52,638.56,644.53,655.81,665.12,674.7,682.15,689.53,707.24,716.84,758.28
11,433.15,141.72,182.67,247.34,289.72,338.42,379.91,426.54,466.9,516.46,579.09,626.65,639.65,646.3,655.29,660.51,666.48,673.89,686.54,707.86,717.22,742.85
12,442.92,141.45,184.69,249.76,297.88,346.68,392.94,437.94,484.87,532.23,587.33,631.37,640.76,649.25,651.98,660.63,671.31,676.08,686.24,711.13,721.4,728.77
13,462.64,144.55,184.44,253.36,316.88,372.49,414.63,465.6,513.1,558.57,610.35,651.85,654.07,663.12,672.6,681.06,687.42,696.58,704.78,713.38,729.23,741.4
14,481.05,146.52,192.52,268.57,328.03,395.49,433.8,499.24,535.43,582.0,621.3,675.83,679.22,684.43,688.67,695.23,700.84,707.71,714.4,719.84,732.57,758.39
15,495.02,146.91,197.99,276.59,343.35,407.05,461.73,513.28,556.64,596.56,637.3,683.45,685.4,687.74,690.73,700.37,705.96,710.27,716.25,718.17,728.75,757.86
16,505.14,147.72,191.7,283.65,356.21,418.89,483.83,527.95,572.69,609.73,650.82,684.59,687.54,693.99,700.81,704.57,707.05,711.93,716.84,723.51,734.67,752.87
17,507.96,147.57,180.82,285.19,357.67,419.83,480.35,531.0,577.13,620.36,652.83,687.68,691.06,694.18,697.64,700.35,703.34,707.72,715.83,721.65,730.03,745.84
18,508.26,146.66,178.54,290.91,353.14,420.36,489.78,531.01,576.21,620.18,652.51,686.52,688.49,692.9,695.56,698.11,700.2,705.48,707.14,717.6,725.28,741.32
19,505.44,145.69,176.38,287.3,352.02,421.91,484.96,528.22,572.57,613.11,648.94,680.45,682.17,683.84,688.79,691.1,694.34,699.35,703.36,711.08,717.5,742.82
20,501.83,145.47,177.04,285.3,344.34,414.66,484.6,519.18,567.63,608.43,646.92,676.23,679.65,682.54,684.38,689.23,691.69,695.76,702.06,708.02,709.1,745.74
21,499.58,145.3,188.04,285.04,342.38,410.31,473.3,520.55,564.22,608.36,643.61,674.58,676.26,679.42,681.18,690.49,692.39,695.23,701.15,706.1,715.4,742.81
22,500.14,144.83,187.57,279.45,339.9,413.42,483.53,525.08,569.0,607.04,641.41,674.8,677.68,680.99,684.16,690.36,692.96,696.94,700.98,703.97,721.9,741.01
23,502.55,143.2,195.01,278.23,357.41,414.45,482.42,525.04,568.92,604.21,645.36,673.25,676.22,679.39,681.89,683.78,687.51,693.63,700.24,714.78,719.92,741.06
