datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,596.51,19.21,525.8,577.2,583.23,586.43,589.41,592.62,596.54,601.72,612.18,624.66,626.52,627.92,628.62,630.45,632.26,633.29,636.05,640.0,644.8,656.67
1,593.59,20.03,523.99,573.66,578.57,582.35,585.76,588.88,593.5,599.52,611.26,623.98,624.65,625.85,626.6,629.68,630.77,631.98,637.51,641.55,647.66,653.47
2,587.37,23.14,500.86,563.53,570.17,574.47,578.1,583.21,588.46,595.35,605.26,620.09,621.01,623.61,627.49,630.31,633.46,636.44,638.39,644.24,649.61,656.72
3,578.41,25.82,486.82,550.3,558.3,564.02,569.51,575.52,581.46,586.78,598.25,615.52,617.11,619.09,619.74,621.4,631.24,633.0,634.75,641.49,650.91,665.21
4,567.21,24.92,495.19,540.84,548.9,552.6,558.25,563.76,569.1,575.57,582.29,603.93,605.57,609.06,610.14,612.29,616.17,617.92,625.01,631.0,638.92,669.59
5,558.66,23.86,500.74,533.77,541.67,547.1,549.96,553.52,558.76,566.15,574.64,587.21,593.34,594.77,599.4,601.28,603.61,606.54,609.49,622.0,635.37,668.43
6,553.15,22.85,488.47,528.65,537.66,541.56,545.6,548.42,551.98,558.71,570.33,579.96,581.3,583.35,588.75,592.88,595.95,597.57,600.07,613.35,624.69,672.29
7,550.42,22.65,487.89,526.54,534.06,539.82,544.18,546.83,550.0,555.56,566.1,578.77,580.36,582.71,583.76,585.43,588.2,593.57,599.99,606.85,624.12,665.49
8,549.75,22.97,484.8,524.84,532.94,539.1,543.11,546.11,549.0,555.1,567.42,577.85,579.47,580.9,583.83,585.06,586.91,592.88,598.92,609.11,623.79,654.28
9,552.74,23.39,481.98,529.08,537.89,541.23,544.87,547.09,549.54,560.08,571.5,582.35,585.63,587.9,589.72,591.7,594.9,596.76,606.26,611.64,624.75,655.32
10,559.67,23.67,483.43,535.61,542.8,546.28,548.82,552.72,561.76,571.59,578.61,586.99,591.66,593.41,594.86,597.97,599.6,608.04,615.37,619.67,628.79,656.01
11,563.03,25.84,484.6,534.99,539.31,543.59,550.25,561.81,569.48,577.4,585.38,596.58,597.61,599.12,600.96,603.17,603.95,612.21,614.4,621.43,629.76,647.16
12,555.06,30.83,465.45,517.66,524.54,534.31,545.93,554.54,564.94,572.36,580.41,595.15,596.67,601.7,603.71,606.61,607.39,609.87,613.38,618.6,629.6,645.39
13,545.3,28.34,433.52,515.18,521.91,526.94,532.51,540.37,549.38,559.59,570.29,582.89,584.43,586.75,589.05,591.7,595.74,601.33,603.29,604.31,611.22,636.65
14,544.76,24.64,432.31,520.83,526.19,530.55,535.47,539.89,546.21,554.69,562.94,578.69,579.42,581.04,584.87,586.16,587.83,594.64,598.61,602.69,615.09,627.64
15,548.31,23.6,448.88,524.88,530.96,535.85,540.17,544.64,549.76,555.8,565.27,582.07,583.85,586.21,588.43,590.5,592.19,595.16,597.75,602.95,616.74,624.4
16,552.78,22.74,459.31,528.11,536.64,543.08,547.25,551.24,554.65,559.86,567.83,584.15,588.15,588.88,590.44,593.34,594.43,598.94,601.86,606.67,611.4,623.22
17,557.21,23.15,466.54,530.6,539.81,547.39,552.28,556.48,561.3,565.16,572.77,588.65,589.63,591.38,594.99,597.21,599.82,601.06,603.23,610.16,613.19,623.69
18,561.43,24.44,477.74,532.84,542.64,551.99,557.55,562.44,566.86,571.51,579.34,593.74,595.09,596.0,597.64,599.62,603.3,605.42,608.33,610.11,612.76,622.24
19,566.29,25.68,478.47,536.13,547.23,556.95,564.8,568.08,572.06,577.57,586.5,598.3,598.52,601.78,603.42,605.06,606.74,607.78,609.75,613.4,617.78,625.88
20,571.66,25.96,486.59,540.41,551.34,562.77,569.41,573.15,578.17,583.41,593.01,603.85,605.49,606.67,608.51,609.55,610.44,612.92,615.05,616.84,620.38,630.78
21,579.61,25.15,491.0,547.27,562.11,569.1,574.89,579.76,584.91,590.68,600.02,612.42,612.98,615.24,616.65,619.86,621.83,624.31,626.66,628.02,631.85,636.74
22,591.11,21.73,515.53,567.0,574.23,580.72,584.41,587.66,592.95,598.94,608.69,622.8,623.62,625.66,626.63,628.49,631.78,633.99,635.44,636.81,638.94,651.22
23,597.43,18.61,527.56,578.63,583.94,586.98,589.87,593.25,598.16,604.09,614.06,624.16,625.97,627.73,628.31,630.1,632.43,633.81,635.12,638.59,641.32,650.79
