datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,547.95,9.32,520.05,538.07,540.81,542.94,544.82,546.52,548.75,551.27,554.43,561.32,561.66,562.55,563.49,564.71,565.39,566.19,567.41,569.63,570.09,596.5
1,548.37,9.65,519.59,537.78,541.26,542.99,544.35,546.82,548.95,551.74,555.53,562.82,563.28,563.96,564.43,564.93,565.67,566.48,567.84,569.56,572.59,596.59
2,549.04,10.41,520.59,538.07,541.09,542.95,545.04,547.21,549.87,552.66,556.35,563.44,564.68,565.58,566.24,567.04,568.14,569.51,571.42,571.85,574.51,596.77
3,550.24,10.19,524.5,538.88,542.15,544.56,546.73,548.63,551.21,553.94,557.76,564.82,566.32,567.26,567.65,567.94,568.75,569.41,571.09,572.6,576.83,596.57
4,550.42,10.37,522.12,539.14,542.53,544.68,546.63,548.82,551.14,554.24,557.58,566.5,566.85,567.1,567.98,568.8,569.91,571.13,572.45,573.54,575.61,596.69
5,550.88,10.37,522.23,539.4,543.01,545.28,547.01,549.09,551.24,554.48,558.75,566.08,566.47,566.58,568.29,568.84,569.51,570.57,572.09,575.02,577.76,595.81
6,551.16,10.35,523.18,540.06,543.33,545.67,547.09,549.61,551.58,555.52,559.84,565.33,565.96,567.21,567.82,568.37,569.19,569.83,571.99,575.55,579.72,583.8
7,550.9,10.31,524.54,539.09,543.07,545.61,546.76,549.32,551.95,555.93,559.79,565.02,565.82,566.16,567.18,568.17,568.42,569.19,571.48,573.71,576.72,585.38
8,550.62,10.33,526.94,538.6,542.51,544.99,546.57,549.02,551.44,555.33,559.79,565.25,565.76,566.13,566.7,567.52,568.22,570.17,571.97,573.4,578.49,586.25
9,550.65,10.06,526.84,539.39,542.5,545.17,546.6,549.18,551.83,555.2,559.41,565.3,565.7,565.8,566.2,566.81,568.21,570.34,570.97,573.06,578.16,586.03
10,551.14,9.81,525.4,540.86,543.57,545.55,547.26,549.72,552.05,555.6,559.51,564.8,565.25,565.98,566.4,567.91,569.64,570.36,572.23,574.16,577.13,583.99
11,547.24,11.31,520.99,534.27,537.68,540.13,542.78,545.63,549.45,553.55,557.27,562.56,563.1,564.68,565.2,566.34,566.94,568.06,569.14,571.0,575.55,579.96
12,532.81,17.38,492.31,511.88,516.82,521.52,526.06,530.77,537.01,544.14,549.4,555.84,556.51,557.35,558.82,560.26,561.83,562.93,564.18,565.88,568.58,581.66
13,517.52,17.98,477.84,497.04,502.72,506.37,509.51,513.89,518.49,527.11,535.16,542.5,543.01,543.37,544.53,548.01,549.97,553.97,555.61,559.16,562.94,568.77
14,509.55,16.53,475.52,491.66,497.23,501.0,503.16,506.81,509.9,514.69,521.56,532.05,532.78,534.32,536.88,538.86,541.39,545.29,548.64,552.81,558.2,568.24
15,507.39,15.59,472.52,489.57,496.34,500.17,502.76,505.28,508.28,512.48,517.44,527.01,528.08,530.27,533.35,534.79,538.32,541.53,543.63,548.98,554.38,565.23
16,507.17,14.35,469.36,489.6,495.98,500.61,504.3,506.79,509.65,512.13,516.26,524.89,527.09,528.06,529.21,530.5,534.59,535.25,538.65,543.09,548.03,561.4
17,508.33,13.96,469.04,489.59,497.92,502.17,505.64,508.74,511.06,514.01,517.75,525.09,527.07,528.28,530.12,531.11,531.79,534.92,537.13,540.35,545.02,559.32
18,510.86,14.54,464.62,491.38,499.01,505.3,509.06,511.54,514.48,517.51,521.33,528.86,529.36,530.89,532.03,533.46,534.84,537.81,539.45,541.14,546.74,559.11
19,514.43,15.35,464.23,493.73,501.46,508.16,512.12,515.68,518.4,522.13,525.81,532.61,533.23,534.62,535.47,537.57,538.58,542.35,543.09,545.38,552.23,562.08
20,519.72,15.74,468.16,498.41,505.87,512.37,517.27,520.11,523.67,528.17,532.46,539.09,540.21,540.96,542.05,543.09,544.51,546.64,549.34,554.45,556.46,563.54
21,527.98,14.25,475.91,511.46,516.9,520.98,524.66,527.49,531.29,534.54,538.09,545.64,546.94,547.57,549.32,550.73,552.19,553.79,557.73,558.9,564.16,576.87
22,539.29,11.93,503.55,525.95,530.52,533.47,536.18,538.4,541.08,543.86,548.26,554.08,555.55,557.33,558.3,559.14,560.61,561.73,563.36,566.41,573.49,582.51
23,546.41,9.56,519.17,535.98,539.3,540.93,542.62,544.62,546.87,549.59,553.73,559.73,560.95,562.09,562.83,563.35,563.71,564.23,565.66,568.05,571.18,593.84
