datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,435.7,19.31,306.02,411.88,419.24,426.0,431.42,437.04,441.32,446.56,451.66,458.58,458.91,459.68,460.5,461.33,464.35,467.33,470.49,474.49,476.59,480.63
1,432.59,19.7,319.31,408.03,416.05,421.95,427.65,433.85,439.36,444.3,449.29,456.58,457.06,458.15,458.73,460.59,461.54,464.03,467.27,470.12,476.13,479.14
2,426.03,24.67,288.38,400.67,409.69,416.24,421.7,427.27,433.31,439.89,443.99,452.53,453.58,453.81,455.23,457.05,457.63,460.05,462.91,465.65,473.44,481.2
3,418.48,26.89,262.09,392.84,400.96,406.75,413.72,419.32,425.5,434.3,438.7,447.66,448.85,450.08,452.14,453.72,455.55,457.03,459.68,462.67,470.3,477.71
4,410.55,28.71,233.06,383.73,389.89,397.98,404.94,410.33,417.46,426.09,432.88,442.13,444.86,445.58,446.98,449.23,451.56,455.37,456.77,460.31,466.43,471.74
5,404.7,27.38,222.71,374.52,381.8,389.3,397.57,404.47,411.41,420.67,428.12,439.77,440.92,441.72,443.09,445.1,447.92,451.15,454.25,457.09,461.3,466.11
6,398.75,26.89,333.65,365.57,374.45,381.5,389.9,398.12,405.31,415.52,423.92,434.77,436.09,438.42,440.04,441.31,445.01,447.49,449.46,452.19,455.26,458.51
7,394.19,27.87,325.85,357.57,368.65,376.59,384.82,393.54,400.45,411.87,421.03,430.53,432.93,436.05,438.12,440.22,440.6,443.09,445.01,448.19,454.24,455.73
8,392.24,28.4,322.62,355.26,365.75,373.78,382.7,391.51,398.05,410.56,418.65,428.82,432.22,435.09,436.18,438.14,440.01,441.0,444.05,447.91,453.14,455.55
9,394.28,28.64,323.05,356.64,368.39,375.71,385.61,393.73,399.65,412.91,420.91,430.72,434.28,436.12,440.15,442.0,442.61,443.75,447.0,449.34,453.3,462.49
10,399.57,28.02,334.77,362.39,375.83,382.58,391.51,399.39,406.71,416.9,424.7,435.41,438.49,440.48,442.1,444.62,447.19,449.62,451.7,454.54,457.21,464.2
11,402.83,26.86,339.53,367.18,377.65,386.05,393.91,402.86,412.75,418.81,425.75,440.58,441.3,441.64,444.46,446.81,448.15,451.04,452.67,454.14,458.06,462.46
12,396.0,25.91,337.65,364.32,372.58,380.68,386.98,395.88,403.68,411.44,418.8,431.89,433.41,434.06,435.08,436.75,437.97,439.36,441.62,443.72,454.77,460.77
13,382.41,26.57,310.96,348.11,359.76,368.63,375.23,382.03,390.83,397.36,405.19,416.53,417.43,418.88,419.9,420.99,423.65,425.73,426.47,431.67,442.6,452.28
14,373.46,27.25,285.32,336.62,350.91,359.44,367.63,375.85,383.78,390.3,398.32,406.29,406.82,408.12,409.5,411.75,413.22,414.68,415.72,420.7,426.29,441.51
15,371.09,28.32,276.24,331.09,345.58,356.21,366.97,375.13,382.52,389.45,396.59,404.91,406.01,407.38,408.35,410.43,411.36,411.94,413.6,416.71,420.56,434.4
16,373.54,29.2,280.58,333.08,347.24,359.72,368.52,377.93,386.9,392.24,400.17,407.49,408.22,408.57,410.15,412.29,413.05,414.44,418.54,421.91,423.3,432.59
17,378.05,29.78,286.98,335.38,350.37,364.45,375.74,382.65,390.54,397.92,406.02,412.12,413.13,414.09,414.72,415.99,417.41,419.65,422.44,424.36,428.4,432.33
18,382.47,30.02,294.33,341.46,355.66,369.14,381.37,387.9,395.44,402.05,408.93,416.8,418.56,419.23,420.61,421.11,422.31,423.44,425.32,426.69,429.79,439.79
19,387.95,30.73,297.89,345.15,361.31,374.79,387.16,394.35,400.14,407.22,415.25,422.91,424.09,424.94,426.33,427.23,428.09,428.96,431.63,433.48,434.77,453.86
20,397.1,30.13,300.08,353.92,373.85,385.8,395.78,403.0,409.13,415.1,423.03,432.17,432.98,433.87,434.57,436.54,436.99,438.92,440.31,442.37,445.21,460.48
21,410.99,27.23,307.5,377.52,392.65,401.97,408.7,413.67,419.97,426.46,434.53,442.84,443.19,444.08,445.09,446.09,446.75,447.45,449.01,452.79,454.72,462.87
22,425.95,22.48,338.46,400.01,411.76,417.54,422.88,426.8,432.18,437.3,445.23,452.91,454.67,455.44,456.8,458.27,459.19,460.92,463.49,464.87,466.37,469.74
23,435.08,18.55,374.33,410.68,419.42,425.71,431.14,435.3,440.33,445.78,451.24,457.39,458.07,458.55,459.2,460.81,464.96,467.34,470.72,474.24,475.78,479.52
