datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,685.9,62.05,560.98,592.5,612.72,662.83,677.61,693.44,707.22,721.91,737.64,756.17,764.11,765.59,767.4,770.88,772.77,779.57,797.97,807.74,830.56,880.94
1,685.21,62.76,557.64,592.91,613.16,663.15,678.76,688.78,704.42,718.3,734.09,757.43,761.42,764.8,770.27,774.33,779.0,786.02,795.64,805.42,826.82,922.32
2,684.38,60.65,554.56,597.03,615.92,667.11,680.63,688.57,699.04,712.55,732.37,751.75,758.37,763.58,771.44,775.53,778.3,788.99,793.38,803.0,824.18,910.8
3,686.3,59.49,553.52,601.23,616.39,673.33,686.47,694.38,699.26,709.55,730.46,750.81,753.76,756.56,760.06,764.07,771.9,785.23,792.81,798.37,834.45,972.46
4,688.45,60.45,561.99,598.05,617.18,677.27,691.49,697.73,703.16,707.07,733.89,759.27,762.64,763.85,765.55,769.18,774.19,780.83,786.35,791.37,811.14,972.46
5,688.13,60.04,562.81,596.61,615.88,678.09,694.41,700.69,705.11,707.35,727.62,761.74,765.29,771.25,773.11,774.9,777.72,780.0,783.78,788.08,806.07,972.46
6,688.18,61.03,559.17,594.28,614.9,677.07,696.9,703.31,705.79,707.16,723.31,765.08,768.5,772.08,775.01,779.71,782.57,785.74,791.46,795.4,808.31,972.46
7,688.59,60.66,553.78,592.47,615.26,680.88,698.51,704.27,705.96,707.52,722.11,772.18,775.68,777.65,782.65,784.03,786.13,789.83,794.13,797.85,805.71,828.04
8,689.27,61.97,551.79,593.39,614.83,682.36,699.53,704.38,706.08,708.4,723.88,775.02,776.63,779.0,782.97,789.81,792.56,793.82,795.17,802.24,809.82,903.88
9,689.63,60.61,553.87,597.19,616.17,680.8,699.28,704.38,706.08,708.38,728.11,770.09,773.25,779.29,783.53,784.92,790.37,793.7,798.85,803.62,808.53,834.85
10,690.57,60.03,558.1,600.1,618.59,681.6,698.73,703.95,706.22,709.35,727.85,766.92,772.79,775.15,780.44,783.98,787.99,793.53,798.63,806.21,815.64,919.47
11,689.4,60.47,547.56,599.29,620.26,676.25,695.37,702.73,705.83,708.91,727.06,759.85,762.45,767.07,771.97,777.46,779.78,794.2,796.89,809.67,828.81,916.65
12,688.07,58.66,548.01,598.86,618.58,676.95,694.63,701.56,705.42,709.22,732.96,756.18,757.25,759.19,763.43,772.71,776.8,786.87,792.81,798.06,823.53,894.65
13,688.85,58.02,561.67,602.78,621.18,676.89,694.16,699.18,703.46,713.63,730.19,752.65,756.57,762.99,765.77,768.45,775.57,779.99,788.84,806.49,823.89,905.89
14,688.02,59.07,539.04,603.34,619.97,674.09,687.09,697.64,704.37,715.4,729.75,752.04,756.05,759.92,767.44,771.27,774.49,778.13,781.14,804.55,827.44,948.4
15,687.8,59.97,537.29,602.75,618.09,670.73,682.8,694.1,707.05,717.41,733.12,763.05,764.94,767.07,768.69,771.62,779.43,784.94,788.53,807.44,827.15,862.2
16,689.05,60.56,501.78,600.26,618.84,670.03,682.02,699.39,710.41,722.91,736.93,754.39,757.82,759.88,764.04,770.55,776.25,778.93,790.99,801.84,835.14,874.51
17,689.65,62.7,481.42,595.66,616.69,665.8,685.61,700.52,711.38,727.06,740.57,755.16,757.61,761.29,763.59,779.85,785.24,791.0,797.68,803.03,823.86,884.74
18,689.17,62.15,477.62,591.81,613.85,669.98,689.42,703.35,716.82,727.75,740.65,753.61,755.87,757.18,761.44,764.54,768.42,775.75,787.84,799.17,810.91,843.02
19,688.98,62.6,497.52,591.25,612.92,669.37,689.47,704.92,715.76,730.2,739.47,756.31,756.91,761.29,766.17,769.02,771.22,777.01,782.07,791.14,801.35,849.35
20,688.96,62.67,509.04,590.05,612.24,670.08,691.86,704.29,715.76,727.55,740.01,757.59,759.31,761.95,763.32,769.46,770.96,772.46,776.61,781.92,802.47,843.31
21,688.32,61.51,539.67,592.22,614.72,665.09,689.66,705.29,716.35,726.39,737.76,757.09,758.84,759.44,760.88,763.5,766.49,771.05,776.74,788.22,812.16,850.21
22,687.32,60.83,552.0,594.07,614.33,662.44,683.51,700.64,714.04,723.38,739.07,755.36,759.98,762.77,764.9,767.01,771.28,774.58,783.1,799.76,813.79,835.58
23,686.27,61.01,556.06,591.2,612.04,664.0,681.02,696.86,710.48,722.22,738.46,754.38,756.04,758.91,763.48,766.3,770.22,777.17,784.22,802.94,820.5,837.9
