datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,695.01,28.64,592.47,654.31,674.5,685.59,692.28,697.86,703.55,709.22,715.15,725.45,726.98,728.76,730.0,731.86,734.81,737.84,743.18,756.25,766.65,788.1
1,692.21,28.85,603.37,649.73,670.89,681.4,687.62,695.17,701.6,707.92,713.97,723.96,724.68,726.62,728.66,730.82,731.89,733.72,740.89,749.68,765.17,791.41
2,686.35,28.9,599.23,644.15,664.71,673.38,681.43,689.36,694.39,700.66,708.05,719.58,721.24,722.1,723.88,725.28,728.2,732.97,735.55,743.66,765.01,787.94
3,687.3,27.46,602.8,649.78,665.92,678.63,686.49,691.19,695.09,699.39,706.5,716.87,718.77,719.13,721.6,722.27,724.2,728.92,731.95,748.65,762.81,784.45
4,682.45,28.72,594.77,648.48,662.32,670.75,676.77,682.71,687.95,695.63,702.21,714.61,717.41,721.4,724.96,726.59,731.15,735.61,739.23,755.02,762.24,773.94
5,677.48,29.8,593.74,642.16,654.0,663.19,669.84,674.83,682.85,689.87,699.49,714.71,716.26,719.84,725.7,729.63,734.15,737.25,741.05,744.45,750.84,786.82
6,673.64,32.42,576.92,637.69,648.81,655.21,663.82,670.28,677.17,685.66,699.1,718.61,721.65,723.25,726.14,731.45,734.68,737.76,742.35,750.64,755.81,783.09
7,672.94,34.32,579.71,634.46,645.75,652.33,660.83,667.33,677.08,685.83,700.34,720.76,724.16,726.87,731.77,733.17,735.15,739.93,747.85,753.37,762.1,785.26
8,671.64,35.25,565.08,630.97,642.84,650.51,659.12,665.29,676.45,687.85,700.74,720.93,723.86,727.92,729.56,732.14,734.44,738.38,747.0,750.53,758.33,789.11
9,671.05,34.84,559.57,630.66,642.7,651.89,659.81,667.75,676.03,685.82,697.69,719.82,721.82,722.66,725.58,730.38,733.66,738.47,742.46,747.46,755.52,794.37
10,673.15,35.88,548.14,629.55,643.7,654.5,663.34,672.19,680.78,689.99,701.68,723.0,724.1,727.45,729.65,730.89,732.1,733.91,738.66,744.56,749.1,801.61
11,665.37,42.3,524.77,612.04,632.9,642.65,652.86,663.83,673.64,686.69,701.67,722.62,724.92,728.58,731.96,734.13,736.31,738.59,742.96,748.3,758.46,807.45
12,656.79,43.73,521.6,599.9,618.61,633.42,649.21,657.38,664.57,676.07,693.1,718.58,720.68,721.85,724.26,726.12,728.01,731.2,735.28,737.36,746.1,796.68
13,652.42,43.63,519.58,596.75,618.61,632.84,642.03,654.15,665.22,676.32,688.46,706.23,710.98,714.18,715.08,717.93,719.64,725.1,727.57,733.27,745.65,780.92
14,652.53,42.73,523.73,590.51,616.46,638.25,651.16,658.69,668.66,676.95,685.49,698.71,699.46,701.35,703.4,706.25,712.25,715.03,718.89,723.14,747.0,769.47
15,655.11,40.36,523.74,593.09,622.24,645.8,657.24,664.12,671.48,677.38,684.35,697.07,698.01,699.24,702.23,702.87,705.85,707.92,711.12,715.81,742.08,770.16
16,658.27,38.37,525.08,599.78,623.4,650.41,659.8,667.19,673.88,678.7,686.19,694.88,696.53,700.04,702.52,703.52,706.93,709.11,712.29,725.97,741.62,769.21
17,660.3,37.45,532.48,605.49,627.47,649.08,661.87,668.21,675.15,681.86,687.9,695.85,697.78,698.89,700.16,704.01,706.02,707.24,711.16,722.34,749.1,767.17
18,662.41,35.29,545.29,609.3,634.38,649.93,662.55,669.79,675.95,682.88,688.94,697.83,699.73,701.65,702.48,704.55,706.25,708.87,714.23,718.46,747.08,759.62
19,664.61,35.56,545.83,612.38,634.63,655.42,666.35,672.35,678.91,684.27,689.5,700.04,703.54,704.71,706.75,709.54,709.96,713.29,716.32,728.74,743.17,777.37
20,669.55,34.07,555.55,618.43,639.8,659.3,670.7,677.6,683.66,688.42,696.18,704.94,706.32,708.09,708.96,711.46,712.78,716.37,720.54,728.85,738.56,758.58
21,677.84,32.18,572.28,632.19,652.99,666.7,677.11,683.71,689.55,695.25,702.36,712.93,715.19,716.03,718.4,719.6,720.43,724.31,727.53,737.58,749.09,765.71
22,686.89,30.13,590.59,642.68,665.28,675.78,683.85,689.43,695.53,702.76,710.37,719.98,721.79,722.0,723.47,726.33,727.96,734.16,736.41,745.06,761.55,774.41
23,692.22,28.96,594.54,652.28,670.39,679.9,688.86,694.93,701.8,706.85,713.85,726.34,727.33,727.83,729.63,731.24,732.35,735.62,740.13,752.26,758.67,781.07
