datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,478.79,6.26,460.79,470.81,473.89,475.31,477.12,478.29,480.04,482.28,484.18,486.81,487.22,487.46,487.97,488.68,489.66,490.16,491.58,492.7,493.26,497.92
1,479.72,6.4,462.11,471.75,474.98,476.33,477.59,479.17,481.05,483.25,485.4,487.52,487.99,488.57,489.6,489.91,490.54,491.63,491.96,492.37,494.94,499.09
2,480.37,6.08,463.63,473.31,475.88,477.07,478.29,479.68,481.47,483.64,485.46,487.9,488.37,488.52,489.85,490.96,491.5,492.11,492.83,493.24,495.18,498.48
3,480.23,5.56,465.2,473.89,476.45,477.66,478.52,479.77,480.97,482.47,484.48,486.92,487.43,488.07,488.54,489.55,490.25,491.56,492.81,493.55,494.06,501.11
4,479.64,5.46,465.06,473.4,476.42,477.41,478.35,479.2,480.07,481.31,483.2,486.34,486.91,487.26,488.01,488.75,489.26,490.46,491.75,493.12,494.66,505.36
5,478.97,5.42,463.63,472.88,475.63,477.12,477.96,478.66,479.58,480.29,482.11,485.48,485.87,486.48,487.31,487.94,488.81,489.48,490.91,491.8,495.22,506.64
6,478.56,5.3,462.8,472.63,475.24,476.73,477.59,478.32,479.38,480.11,481.54,484.72,485.0,485.68,486.39,487.28,488.12,488.82,489.52,492.39,494.51,500.17
7,478.43,5.37,463.83,472.71,475.07,476.57,477.51,478.25,479.13,479.94,481.53,484.65,484.95,486.08,486.41,486.94,487.44,488.55,490.01,492.38,494.4,500.51
8,478.35,5.4,463.37,472.42,474.9,476.46,477.39,478.32,479.08,479.89,481.51,484.59,484.9,485.98,486.68,487.29,487.49,488.81,489.52,493.06,494.69,498.86
9,478.4,5.31,462.15,472.44,475.0,476.34,477.57,478.34,479.29,479.94,481.74,484.57,485.01,485.71,486.57,486.83,487.24,487.98,489.29,493.03,494.23,496.64
10,478.27,5.06,462.61,472.85,474.85,476.34,477.48,478.37,479.37,479.89,481.58,483.94,484.51,484.91,485.68,486.11,486.65,486.97,487.78,490.63,492.59,495.76
11,476.94,5.41,462.5,469.39,473.14,474.76,476.31,477.45,478.34,479.39,480.92,483.0,483.37,483.54,484.01,484.6,485.72,486.21,486.91,488.72,490.24,494.61
12,470.89,8.37,447.47,458.95,464.37,467.52,469.27,471.26,473.29,475.65,477.86,480.75,481.42,481.79,482.26,482.81,483.85,484.37,485.1,487.08,488.41,493.32
13,458.83,12.29,424.91,442.84,448.49,452.32,456.04,458.85,462.35,466.52,469.99,473.78,474.75,475.36,476.26,476.96,477.49,478.26,479.43,481.32,483.95,484.72
14,446.21,15.94,398.78,425.34,431.46,437.54,443.01,447.21,450.21,454.4,459.92,467.78,468.81,469.02,469.68,470.31,471.73,474.22,475.86,477.99,479.3,482.89
15,437.54,19.16,380.64,413.24,420.2,426.39,432.49,438.55,443.26,447.85,453.8,461.87,463.4,465.04,466.01,467.06,469.83,470.73,475.13,476.58,478.92,482.66
16,433.35,20.91,374.01,406.48,413.62,419.7,428.29,434.68,441.22,445.97,451.35,459.52,460.45,462.48,463.48,466.87,468.75,471.53,473.22,474.4,477.99,482.3
17,432.75,22.32,370.25,404.34,410.01,417.21,426.75,434.38,441.21,446.38,452.15,459.95,461.47,463.46,465.44,468.47,469.3,471.36,472.4,473.58,477.23,482.84
18,433.43,22.49,367.77,402.78,411.14,418.2,428.9,436.31,442.62,447.58,452.55,461.79,463.27,464.81,466.77,468.03,470.49,471.38,472.87,474.47,477.18,483.33
19,437.06,22.54,367.9,405.91,415.15,422.53,432.89,440.78,444.9,451.03,455.6,466.63,467.25,468.15,469.81,472.82,473.14,473.74,474.39,476.38,477.8,485.58
20,443.34,20.6,377.72,417.39,425.05,431.2,439.25,445.13,451.17,455.98,461.13,469.86,470.73,472.08,473.56,474.77,475.04,476.17,477.75,478.3,480.75,485.87
21,454.37,16.45,398.9,432.38,440.93,447.11,451.2,455.89,460.48,464.17,468.73,474.68,475.2,475.85,476.68,477.24,477.71,478.5,480.04,482.55,484.48,487.73
22,467.79,11.43,427.13,453.57,459.3,463.3,466.66,469.46,471.55,474.2,476.52,480.21,480.83,481.62,482.05,483.57,484.7,485.23,486.65,488.15,490.78,493.88
23,476.11,6.56,458.89,467.64,471.1,473.54,474.71,476.5,477.56,479.05,480.74,484.19,484.53,484.74,485.39,485.87,487.09,488.19,489.03,490.84,492.66,498.02
