datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,606.41,18.98,553.87,582.07,590.45,597.14,602.59,606.35,611.82,615.57,621.87,629.9,632.26,632.89,633.8,635.99,637.11,638.07,641.82,646.86,648.06,660.29
1,606.2,19.16,554.04,581.52,590.91,596.81,602.25,606.42,611.93,616.62,619.98,630.82,631.46,631.66,633.14,634.16,636.95,641.8,642.86,645.58,650.25,665.75
2,606.07,19.73,554.57,578.47,591.83,597.0,601.28,606.99,611.16,614.97,621.25,628.41,629.79,630.65,632.02,634.91,638.48,642.65,645.12,649.11,657.87,671.3
3,605.05,20.18,554.32,577.06,591.18,595.32,600.03,604.54,609.28,612.97,621.34,629.44,631.11,632.62,633.69,636.22,638.34,641.13,646.51,652.2,660.32,673.09
4,604.69,21.52,554.61,576.8,588.98,593.99,598.73,603.83,608.09,612.57,620.89,631.94,633.53,634.3,637.77,640.14,643.42,646.14,649.16,656.92,667.2,678.36
5,607.75,22.66,551.5,578.0,591.27,596.79,600.81,607.81,611.76,616.81,623.95,637.25,639.24,641.18,642.35,644.19,646.99,651.02,653.63,663.07,669.99,677.14
6,610.19,23.27,544.0,579.82,591.52,598.49,603.82,609.89,614.71,620.86,627.83,640.21,641.14,643.29,645.17,647.7,651.83,653.35,656.9,663.02,672.92,679.71
7,611.52,23.53,544.32,580.75,592.08,600.15,605.43,611.29,616.61,621.9,628.84,642.94,643.31,645.28,646.49,649.74,652.9,655.86,657.66,660.44,672.95,682.39
8,611.87,23.56,550.14,580.59,592.87,600.71,606.51,611.25,617.04,621.69,629.41,642.68,643.49,645.15,647.41,650.92,654.14,657.86,659.25,664.48,671.86,683.32
9,611.21,23.53,554.18,580.31,591.87,599.54,605.02,611.11,615.96,622.27,628.93,641.98,643.83,645.37,648.59,650.33,651.9,656.15,659.35,664.08,671.27,680.58
10,609.55,22.24,555.04,580.33,591.16,597.92,604.33,609.53,614.32,619.31,627.12,638.11,640.27,641.55,643.66,646.36,648.31,651.1,652.46,657.74,664.98,682.6
11,598.63,23.8,552.34,569.82,577.27,585.91,589.7,597.21,602.27,609.74,617.89,631.56,633.29,635.14,637.11,638.81,641.5,642.98,644.99,650.8,660.17,682.83
12,566.52,38.85,471.97,521.13,533.98,540.63,549.27,559.4,573.99,591.35,603.24,618.66,622.61,626.57,627.92,631.09,635.32,638.78,640.3,645.65,651.49,677.08
13,535.98,41.05,440.51,490.06,502.85,513.76,519.48,529.12,538.56,554.63,569.8,599.45,601.05,605.73,608.56,610.79,613.29,616.15,622.3,630.68,634.03,641.71
14,527.17,38.68,430.35,477.66,499.09,511.59,518.33,524.37,532.52,539.48,553.87,584.29,587.22,590.39,593.87,596.32,599.44,605.01,608.62,617.64,625.44,637.88
15,525.47,35.76,423.41,478.45,497.25,512.2,519.88,526.67,533.29,539.94,547.2,570.7,574.85,579.1,582.61,583.59,588.93,593.06,597.18,601.67,619.76,628.51
16,526.75,33.15,422.48,482.67,500.94,514.19,522.75,530.64,536.28,540.44,548.26,565.8,570.36,572.1,574.53,576.4,577.87,582.34,591.63,598.06,615.44,634.47
17,529.28,32.3,421.02,487.0,505.27,517.84,526.14,532.66,537.93,543.01,548.88,565.57,568.71,571.91,575.36,579.19,580.19,584.42,593.93,603.33,612.11,635.76
18,533.33,33.14,413.08,492.18,509.98,520.17,528.75,535.46,540.56,546.93,554.6,573.84,576.66,579.54,582.61,583.24,587.92,590.7,601.39,610.1,615.82,640.6
19,539.41,33.67,412.96,499.21,514.34,525.35,533.66,540.44,545.63,551.78,564.69,580.69,583.26,586.5,587.86,590.22,595.09,598.82,605.26,616.63,626.66,648.97
20,547.2,34.96,423.33,503.47,520.9,532.05,540.61,547.59,553.8,561.54,574.28,592.81,594.66,596.98,600.85,601.68,602.61,607.3,612.16,619.29,628.41,649.38
21,563.96,33.55,447.63,522.59,537.49,549.19,556.44,565.99,571.39,582.28,590.02,608.17,609.12,610.55,613.72,615.46,616.31,618.99,621.26,626.31,635.73,668.23
22,588.14,26.21,518.28,557.89,569.1,574.51,582.16,587.37,593.7,600.15,609.11,622.52,624.27,626.09,627.69,628.35,630.44,632.45,633.97,643.69,649.77,670.84
23,603.24,18.87,553.06,578.99,589.46,593.56,598.84,602.57,607.07,611.3,617.41,627.23,628.15,629.94,631.19,632.67,635.73,636.54,639.81,646.95,652.39,667.67
