datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,818.79,67.63,652.29,718.96,759.06,778.77,798.61,824.07,848.86,878.14,878.14,898.97,901.66,902.63,903.79,903.79,903.79,906.64,912.79,924.87,937.07,974.79
1,840.63,61.91,687.3,760.84,782.97,797.69,823.18,842.51,869.9,896.06,901.2,905.51,910.6,914.71,921.49,921.55,921.55,921.57,924.42,938.44,955.41,989.1
2,872.79,55.2,742.32,803.05,821.28,834.25,856.2,875.52,902.15,925.74,925.74,935.09,935.4,935.4,935.4,936.77,939.98,944.0,950.55,955.79,972.39,1006.45
3,922.86,44.21,810.37,863.05,878.27,891.49,909.23,923.55,946.05,965.71,967.93,968.15,970.87,973.37,975.33,978.27,979.89,980.82,983.42,987.6,997.21,1004.05
4,958.34,32.74,857.63,912.32,927.39,938.69,951.6,966.1,978.44,978.44,982.45,999.14,1000.43,1001.96,1004.26,1005.43,1006.94,1009.16,1010.17,1011.65,1014.21,1016.3
5,966.15,28.71,864.12,924.92,942.41,952.45,964.02,972.89,979.42,979.42,985.79,1001.8,1004.11,1005.12,1006.2,1009.32,1009.98,1014.24,1014.93,1016.46,1016.78,1018.17
6,973.79,23.49,904.34,940.39,954.24,966.04,972.12,979.14,979.14,981.94,992.34,1005.19,1006.2,1009.01,1010.09,1011.72,1012.8,1013.81,1015.6,1017.51,1018.0,1019.61
7,975.19,22.3,902.62,943.68,960.18,966.51,973.94,978.37,978.37,984.17,992.02,1007.2,1008.72,1009.23,1010.7,1012.61,1013.27,1015.49,1015.81,1018.41,1019.76,1021.61
8,975.45,22.71,907.7,946.36,959.26,967.1,974.89,977.58,977.58,983.82,992.41,1007.9,1009.18,1010.78,1013.02,1014.59,1015.8,1016.29,1017.9,1020.63,1023.03,1025.1
9,975.39,24.25,901.47,944.3,958.45,965.79,975.78,977.66,977.66,984.05,990.94,1009.22,1010.75,1013.72,1017.33,1018.91,1019.24,1020.68,1022.43,1024.45,1026.19,1028.33
10,973.56,26.52,894.0,936.45,955.34,964.78,975.46,976.49,976.49,984.26,989.52,1007.86,1011.18,1012.47,1014.44,1017.5,1019.32,1021.66,1022.87,1025.13,1029.2,1031.77
11,972.88,27.43,883.26,934.89,954.64,963.84,973.82,976.1,976.57,984.26,990.34,1007.3,1011.14,1012.86,1015.94,1017.02,1019.23,1022.2,1024.45,1025.7,1029.93,1033.98
12,971.42,28.51,878.5,932.52,953.64,961.69,973.11,974.91,976.35,984.56,989.07,1008.2,1009.72,1012.07,1013.77,1015.43,1017.81,1019.37,1020.45,1024.69,1029.11,1036.5
13,972.27,28.35,887.5,931.68,953.97,963.0,972.57,975.42,977.54,985.24,990.56,1009.26,1011.69,1012.62,1014.54,1016.24,1018.5,1020.3,1021.19,1026.92,1031.13,1037.97
14,971.69,29.02,888.88,928.9,951.62,961.29,972.68,974.85,977.5,984.93,991.14,1010.78,1011.73,1012.5,1015.7,1018.17,1019.13,1020.12,1022.79,1026.51,1028.21,1037.17
15,971.97,30.26,866.52,927.14,948.78,963.71,974.45,977.04,978.39,985.7,992.54,1009.9,1012.03,1014.56,1017.14,1018.3,1020.15,1021.32,1022.87,1024.72,1027.29,1035.85
16,969.06,32.11,828.45,922.22,941.86,960.23,972.41,979.57,979.57,981.86,989.81,1005.91,1007.92,1010.48,1012.68,1014.71,1018.5,1020.07,1021.7,1023.89,1026.0,1032.66
17,960.15,35.5,822.31,910.42,928.98,944.58,955.22,970.27,979.27,980.07,985.3,1002.92,1005.4,1006.14,1007.63,1009.83,1012.51,1014.32,1016.11,1017.31,1020.28,1023.1
18,904.29,51.78,748.25,834.84,854.3,873.79,890.2,910.85,932.01,950.54,956.43,956.6,957.83,960.46,961.91,963.18,964.37,966.71,973.59,980.11,985.36,997.6
19,843.59,56.29,694.42,765.68,792.42,810.97,826.44,844.63,866.27,895.35,900.04,900.04,904.89,909.01,912.12,915.36,915.36,917.07,925.72,935.49,941.08,996.94
20,818.11,58.93,664.16,736.63,763.79,787.91,800.81,814.29,834.65,874.15,878.28,883.62,886.56,886.84,886.84,887.16,890.72,892.27,905.01,913.52,936.64,996.39
21,808.17,59.85,648.88,725.77,748.98,776.17,790.93,807.82,830.14,859.21,869.77,872.88,878.71,880.56,883.43,883.43,883.43,889.23,889.72,899.66,927.38,986.37
22,807.09,61.28,644.27,722.57,746.18,774.51,787.77,809.49,827.54,859.86,867.83,876.2,885.12,888.21,888.32,891.59,891.59,891.59,897.56,905.48,922.81,979.44
23,816.86,60.06,655.97,735.71,760.06,777.87,794.26,814.21,838.44,875.18,875.18,889.45,891.03,891.03,896.87,903.92,905.89,905.89,905.89,916.24,924.62,954.32
