datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,437.5,39.73,353.91,385.81,401.61,412.21,421.5,433.86,446.21,459.58,477.63,494.45,495.56,497.16,500.18,502.69,503.92,505.25,507.5,512.45,518.66,528.34
1,439.08,40.07,354.59,387.36,401.7,414.93,423.35,434.39,446.98,463.35,479.0,494.62,495.91,497.03,500.75,503.13,504.83,509.26,510.76,514.81,519.93,528.8
2,437.51,40.43,350.42,383.65,399.13,414.41,424.27,434.03,447.3,462.79,478.48,494.63,496.25,498.4,499.94,500.98,504.01,506.45,510.41,512.75,517.26,528.88
3,435.47,40.84,346.77,381.87,397.56,412.55,423.04,431.92,444.45,461.22,475.75,492.59,494.3,496.01,498.32,500.92,504.93,507.23,510.19,513.16,515.73,528.82
4,423.5,42.28,341.47,366.52,382.77,400.05,409.82,421.94,431.89,446.17,461.81,481.8,484.82,487.94,489.63,491.56,495.17,503.57,506.42,512.7,518.75,525.85
5,416.49,42.36,334.68,359.47,377.12,393.58,402.58,414.03,423.92,439.12,452.66,475.93,476.4,477.14,480.9,484.47,489.17,501.14,503.45,512.92,518.02,524.36
6,412.26,42.21,325.79,355.37,374.3,389.05,399.77,409.44,420.02,434.31,448.38,467.98,469.34,471.86,474.1,478.31,483.63,496.92,502.62,513.62,515.19,528.37
7,410.03,42.42,320.04,354.89,371.49,386.39,397.11,408.25,418.7,432.56,445.45,464.98,468.57,471.57,472.32,476.63,483.7,495.09,503.63,512.99,516.32,531.58
8,410.29,42.2,315.28,356.8,371.38,388.32,397.89,408.26,417.65,432.32,443.42,462.81,468.83,471.4,473.88,477.26,486.02,498.55,503.66,511.89,518.76,531.56
9,413.08,41.18,315.05,361.18,376.76,392.38,401.02,411.48,419.68,434.84,445.01,465.87,471.75,473.4,477.49,478.25,487.22,494.25,500.92,509.73,518.84,533.28
10,417.72,39.93,322.17,366.64,383.4,395.81,405.28,414.58,423.76,439.97,451.05,471.59,475.53,477.79,478.24,479.33,483.16,492.31,494.72,507.13,519.93,533.84
11,421.17,39.11,325.65,369.9,389.01,399.65,411.97,417.96,426.66,440.78,456.52,474.31,477.48,479.34,480.61,482.78,486.26,491.81,495.18,508.35,522.0,529.17
12,424.36,39.41,320.93,373.46,393.43,403.42,411.99,420.98,428.89,442.33,459.22,477.42,479.39,481.86,486.21,488.68,490.36,496.19,504.08,509.04,523.47,531.41
13,426.26,39.99,324.84,375.02,394.37,405.67,412.02,421.11,431.65,445.49,464.53,481.83,483.84,486.36,488.42,491.76,492.97,496.95,501.31,509.66,521.95,538.5
14,427.48,39.94,329.28,376.42,395.16,405.65,414.26,421.69,432.69,448.12,465.88,483.57,484.02,486.42,488.95,492.77,495.0,497.79,500.58,504.76,522.6,533.91
15,428.57,40.51,329.9,377.43,394.74,405.09,416.6,423.74,435.34,453.2,465.46,486.79,487.92,489.48,491.64,492.87,493.96,499.63,504.21,506.55,516.96,536.46
16,427.88,40.75,333.68,376.04,393.94,403.79,414.34,422.57,437.25,450.62,465.48,483.95,486.76,488.28,491.03,492.43,494.83,498.15,504.5,507.98,515.77,536.45
17,426.8,40.62,334.44,376.35,391.69,403.62,412.72,421.76,435.8,448.58,465.13,482.42,483.12,483.94,487.84,490.31,492.42,495.12,503.93,506.99,513.86,537.85
18,425.98,40.64,332.12,374.33,391.65,402.05,411.93,419.56,434.77,448.66,465.24,480.57,482.78,483.68,487.25,489.99,492.7,495.69,501.25,507.64,512.1,532.42
19,425.35,40.55,334.72,374.68,390.06,402.37,410.51,420.41,435.57,450.96,464.54,480.72,481.95,484.0,487.02,490.38,491.65,494.5,495.99,505.64,512.7,536.88
20,425.9,40.91,336.85,375.61,388.11,400.85,410.0,421.02,436.15,448.9,465.71,482.24,483.46,485.94,488.28,491.0,491.81,494.57,499.07,506.13,514.53,535.21
21,428.05,40.95,335.15,376.04,391.09,403.02,412.2,423.38,437.68,452.67,469.06,483.92,484.83,487.06,491.15,493.55,495.04,496.85,504.87,507.8,514.19,533.77
22,431.97,40.11,341.15,378.68,393.63,408.69,416.9,428.42,441.72,456.62,471.2,485.61,490.53,492.35,493.64,498.43,498.94,499.89,503.64,512.04,513.5,530.82
23,435.49,39.87,348.71,383.3,399.84,411.53,420.58,430.29,443.86,460.09,476.67,492.26,493.59,495.32,497.41,498.41,499.44,506.07,508.41,512.3,518.44,534.6
