datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,676.29,68.61,485.81,594.87,621.92,638.31,651.88,668.1,686.59,715.95,736.16,771.52,775.74,781.33,784.78,789.59,794.75,798.05,806.59,816.75,825.38,906.47
1,678.52,67.22,504.55,594.75,624.24,641.97,657.27,673.49,687.81,708.43,742.18,772.48,775.59,778.78,784.21,789.4,793.34,798.6,806.08,808.09,821.47,913.44
2,678.52,69.99,509.82,588.92,618.65,640.7,658.37,670.65,688.91,708.48,745.21,777.25,781.44,785.1,788.68,791.14,799.64,807.59,812.37,817.55,829.5,841.85
3,677.89,76.97,486.36,578.26,610.7,633.67,653.15,670.9,692.43,713.71,746.32,791.05,792.27,802.54,807.1,808.29,813.11,815.51,820.79,831.28,841.37,851.69
4,673.96,83.17,458.7,566.67,600.52,622.83,645.95,668.64,695.82,718.62,747.66,789.64,791.85,795.58,802.38,810.74,819.34,824.46,835.56,846.23,855.25,864.68
5,663.31,90.14,423.06,551.45,584.78,610.97,632.49,661.38,683.41,714.31,742.24,781.38,785.58,789.88,797.98,805.7,819.38,834.78,847.91,855.23,859.15,879.89
6,654.85,96.37,408.57,534.4,572.16,601.6,628.67,653.81,676.63,706.99,739.05,780.84,787.98,800.04,804.15,810.62,812.18,835.44,845.54,855.68,866.31,910.22
7,653.85,99.99,419.3,521.87,565.64,602.43,625.5,653.74,677.42,706.21,736.93,783.83,790.36,794.55,802.98,813.11,825.64,838.67,850.46,861.32,887.96,935.27
8,653.36,101.16,418.77,526.26,565.85,597.61,625.23,654.64,679.7,705.91,736.79,779.21,789.59,799.08,804.68,815.4,833.13,844.21,855.94,865.0,892.08,963.91
9,655.48,98.98,430.62,530.11,571.22,597.4,625.8,654.61,676.73,704.32,736.95,792.67,796.81,804.29,811.47,825.37,830.93,848.24,853.86,866.01,879.13,969.24
10,661.69,94.38,442.53,541.13,582.07,612.52,633.11,652.67,684.1,713.38,738.89,790.63,794.51,803.86,810.2,818.23,826.17,838.77,850.52,860.4,872.88,972.41
11,668.13,88.92,428.27,552.18,593.42,617.62,647.7,663.87,692.29,710.62,737.34,787.36,792.06,797.14,811.57,816.03,822.6,828.79,836.64,851.95,871.09,974.48
12,670.86,79.95,478.11,567.21,602.61,628.49,653.91,671.56,687.11,704.02,729.0,779.67,789.83,794.03,797.09,801.91,813.43,818.16,819.79,837.76,860.22,969.9
13,676.49,74.19,482.8,582.23,612.98,635.54,660.94,675.37,689.24,710.77,735.94,778.71,781.54,792.82,799.31,806.76,810.37,812.42,820.24,825.42,845.32,955.09
14,682.33,72.34,491.39,594.83,619.97,638.5,662.86,681.22,701.57,719.38,744.13,781.07,785.51,790.35,795.58,803.81,808.38,811.14,813.94,815.9,821.05,938.8
15,685.97,72.93,488.59,587.97,623.4,646.52,666.44,684.13,701.52,729.55,749.74,780.7,784.14,791.36,794.01,796.06,801.83,805.49,812.82,822.35,831.55,947.47
16,688.91,74.04,496.64,592.11,628.32,651.18,667.1,684.01,706.69,734.14,757.34,785.47,787.03,788.85,792.96,795.27,797.65,805.01,812.61,823.05,842.89,932.34
17,688.46,75.78,472.72,593.32,624.01,647.03,668.34,686.7,706.27,734.15,760.21,785.43,787.61,789.87,796.86,803.54,808.77,813.9,819.18,830.26,854.48,908.7
18,684.24,77.35,498.96,585.46,613.43,637.16,661.3,682.27,704.6,724.08,756.32,787.5,791.5,797.32,798.9,802.79,805.49,811.51,824.01,838.52,855.15,902.88
19,679.05,78.24,491.71,576.82,604.59,631.28,654.6,675.82,696.11,723.64,750.57,789.33,793.51,795.42,798.12,801.55,807.76,811.45,821.91,837.34,852.36,877.48
20,674.12,77.64,465.61,578.52,600.8,623.91,645.78,669.99,689.15,717.75,746.95,780.42,784.32,791.38,794.74,797.98,804.48,808.1,815.61,821.05,848.36,879.79
21,671.74,76.45,462.87,576.4,602.26,620.98,642.22,665.85,683.31,715.26,746.68,779.23,783.56,786.97,789.77,796.3,801.06,807.54,814.42,821.49,842.94,865.72
22,671.12,74.11,469.61,579.72,603.95,625.57,641.35,668.96,684.27,707.87,739.75,778.06,784.31,785.64,791.78,796.26,800.78,801.83,813.12,820.57,831.97,866.57
23,670.85,70.47,466.29,585.11,610.25,630.04,645.23,665.01,684.09,708.21,734.73,770.53,774.03,778.51,781.16,783.94,791.39,796.62,809.52,820.06,832.08,881.43
