datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,860.95,45.53,747.05,805.69,826.84,836.79,848.88,858.26,867.27,875.25,891.16,921.26,924.61,934.16,939.08,942.31,950.17,956.28,964.34,969.53,979.0,999.6
1,862.0,45.89,747.33,808.86,826.6,837.97,849.23,858.14,867.77,877.3,895.35,925.92,931.16,938.49,942.95,947.76,952.93,957.52,959.94,971.23,979.49,1005.74
2,864.43,47.08,746.65,809.45,825.53,839.96,851.21,856.99,870.06,880.77,897.46,932.68,941.73,946.64,948.36,951.34,954.18,957.58,966.29,974.44,989.61,1016.15
3,865.14,49.23,745.53,808.34,824.8,836.95,847.91,857.31,870.66,883.15,897.73,940.79,944.61,945.56,950.82,953.73,957.74,969.32,977.51,987.65,992.7,1001.41
4,863.64,50.66,735.13,805.74,820.93,831.69,843.33,857.17,868.45,882.83,898.51,940.21,943.79,947.78,955.1,959.28,966.44,973.53,980.31,982.25,987.16,1006.7
5,865.17,51.3,727.61,808.17,823.82,833.7,843.17,855.4,870.74,886.58,906.94,940.21,947.85,954.66,956.2,963.78,968.27,973.98,980.23,984.66,988.78,1000.61
6,866.94,51.48,727.84,810.43,822.04,836.48,847.43,857.26,872.79,888.64,906.22,939.48,941.47,953.49,962.03,966.06,970.65,974.49,983.31,985.38,988.5,998.55
7,864.18,51.32,718.02,805.04,822.41,832.93,843.94,858.11,869.07,882.26,906.33,936.85,941.63,945.19,955.54,960.44,967.8,972.97,976.09,982.32,988.35,1003.41
8,862.79,50.91,708.68,805.55,818.85,833.42,842.33,855.54,867.45,880.34,905.97,934.44,938.48,947.62,952.47,958.76,960.27,969.57,976.18,978.01,997.45,1000.54
9,860.68,50.96,702.64,804.05,817.51,829.23,840.48,852.08,865.86,878.75,904.13,933.39,936.48,941.28,947.74,956.5,964.68,966.88,970.65,979.55,992.74,1001.31
10,861.62,49.42,711.87,806.9,822.69,831.54,843.84,853.92,864.77,877.72,900.14,934.19,937.74,942.28,946.65,953.26,957.86,964.72,969.23,983.38,989.49,1007.41
11,863.1,47.69,714.94,811.19,825.92,835.23,849.24,857.12,867.07,881.68,899.91,931.76,934.2,938.02,946.11,951.3,953.95,961.23,966.49,973.42,983.35,1009.96
12,862.93,46.12,726.92,811.85,826.78,838.09,849.51,859.84,870.61,880.28,897.01,930.05,933.45,933.87,938.61,945.55,951.54,955.09,961.75,967.6,978.4,1001.8
13,862.32,46.94,732.11,807.12,825.04,837.02,848.47,858.44,868.2,877.01,896.61,927.52,931.66,935.29,940.18,946.24,949.11,956.75,966.31,970.2,982.21,998.57
14,860.54,46.64,740.69,803.16,825.06,836.21,848.31,857.81,865.86,876.87,892.92,927.92,930.01,936.67,939.38,944.13,947.08,950.93,962.01,970.16,984.89,1005.86
15,860.41,45.06,743.29,806.12,825.09,838.37,849.1,858.09,866.35,877.21,889.93,924.49,929.69,936.81,937.8,940.26,944.25,949.56,954.51,963.55,984.54,990.93
16,858.88,44.13,752.19,805.6,824.26,838.27,845.84,854.87,863.85,872.66,889.7,920.67,924.58,930.44,934.47,936.86,943.02,945.87,951.55,967.41,982.26,994.18
17,858.07,44.66,752.5,806.18,823.17,836.14,846.28,853.69,862.77,873.79,888.75,919.68,926.75,930.09,935.63,942.22,945.42,949.29,956.92,969.28,983.84,989.48
18,857.32,44.95,754.41,806.31,823.99,834.39,843.72,852.46,861.06,868.9,888.38,927.63,932.45,935.12,937.2,939.13,942.79,950.28,954.55,967.77,976.44,997.22
19,856.1,45.26,746.24,807.35,821.26,832.8,844.16,851.26,861.14,868.78,886.92,924.33,926.44,927.96,932.05,938.58,942.21,955.96,962.69,965.03,971.36,1013.46
20,854.76,45.98,746.35,799.56,820.23,829.92,840.8,851.16,859.43,869.6,883.18,920.36,921.64,927.69,930.13,935.46,942.69,950.02,962.16,971.58,979.57,1002.41
21,853.71,45.73,740.71,799.33,819.06,829.75,841.78,850.95,859.41,868.64,882.11,919.22,921.03,923.55,929.93,934.01,940.16,947.02,960.51,968.72,980.44,1009.32
22,856.21,46.7,730.71,801.75,819.36,831.65,843.21,852.34,863.55,870.78,886.45,922.82,926.91,931.42,934.73,937.6,942.43,948.05,962.85,968.95,975.29,1005.5
23,859.12,46.15,734.26,803.85,824.56,835.81,845.57,856.31,865.1,872.87,890.83,923.49,926.65,935.44,938.09,940.22,945.43,954.48,962.0,971.93,980.27,1008.16
