datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,543.6,55.8,384.78,469.16,489.27,511.86,532.23,545.82,563.03,577.76,595.12,618.52,621.6,626.62,627.73,629.39,629.93,630.94,632.19,636.61,639.06,654.2
1,542.52,56.96,365.24,465.5,485.46,510.53,528.81,545.92,562.1,579.19,594.74,619.37,622.19,623.62,626.34,628.03,629.33,631.13,633.05,637.5,641.12,656.28
2,536.27,57.54,351.32,463.03,482.51,501.56,521.64,540.06,556.02,572.63,588.71,610.56,614.09,615.59,619.83,623.4,625.44,629.75,631.1,632.58,638.32,652.09
3,528.73,58.81,345.86,452.43,473.84,493.85,511.6,530.26,551.09,566.77,582.25,602.89,606.05,610.17,613.7,616.58,621.58,625.55,628.74,630.04,633.21,641.19
4,519.82,59.52,344.46,442.73,463.11,485.74,503.72,521.84,542.42,558.65,577.28,598.21,598.44,599.62,604.79,609.3,612.75,616.54,620.25,624.13,625.57,635.78
5,510.13,59.4,341.33,431.0,454.76,476.34,493.6,509.49,529.75,549.5,564.24,586.22,588.45,590.97,594.67,602.15,604.83,607.89,611.79,614.21,616.94,626.98
6,501.69,58.77,338.68,423.69,445.92,467.99,485.91,506.01,521.9,540.74,555.87,576.69,579.85,582.12,584.78,589.84,595.92,598.22,601.7,606.87,613.26,624.16
7,497.72,58.03,337.38,420.14,444.46,464.62,482.93,501.27,517.94,532.91,551.07,573.08,573.64,577.53,580.21,582.72,589.39,592.56,599.54,602.21,607.55,630.44
8,496.59,57.35,339.13,419.75,445.33,462.36,480.33,499.77,516.83,532.85,548.98,568.31,571.21,575.54,578.3,581.78,583.48,587.61,594.27,597.92,607.75,631.98
9,499.01,56.4,337.65,425.04,450.08,463.79,485.63,502.68,520.09,533.61,549.26,570.22,571.74,575.01,579.85,581.05,584.44,588.55,594.41,597.14,606.8,635.65
10,504.91,55.63,340.42,434.7,455.7,472.64,490.57,509.6,523.64,538.78,553.7,576.5,578.54,581.8,583.57,586.23,588.36,595.28,598.29,601.45,610.01,635.06
11,511.63,54.74,344.72,441.53,463.58,480.58,499.96,515.72,529.96,544.92,561.83,583.56,584.57,586.84,589.73,593.41,597.85,600.65,602.5,603.49,608.06,631.7
12,519.47,53.76,350.26,447.34,470.8,492.32,509.76,525.87,537.73,551.47,566.77,588.7,590.15,593.05,594.28,596.79,602.56,603.5,605.14,613.76,617.34,634.18
13,527.83,55.57,352.42,453.6,478.49,498.21,516.88,534.12,546.57,562.18,576.47,600.27,601.01,602.35,604.63,607.52,610.47,614.01,616.21,623.84,629.98,641.53
14,533.49,56.69,350.43,452.15,485.25,503.86,522.14,542.0,553.27,565.64,584.9,606.43,608.58,609.49,610.76,614.28,618.55,622.16,626.78,628.71,636.97,644.08
15,536.41,57.33,358.01,452.14,486.2,506.18,526.14,542.97,559.24,570.05,588.35,611.77,613.38,614.57,616.36,618.99,622.81,625.23,627.97,631.21,634.66,642.09
16,537.26,57.95,364.12,453.25,482.25,507.12,527.25,544.1,558.24,574.01,590.86,611.95,614.87,616.53,618.15,621.42,624.98,625.75,628.44,631.6,634.25,653.74
17,536.23,58.38,372.15,452.53,479.26,504.06,526.25,543.71,555.55,573.93,591.45,611.9,613.64,615.18,617.67,620.21,621.96,623.62,627.43,631.25,637.12,662.18
18,534.21,58.28,386.94,448.7,480.68,501.3,521.27,540.8,551.25,569.69,588.67,609.77,613.21,614.28,615.84,618.67,620.7,624.53,627.69,630.11,636.09,665.57
19,532.32,57.97,391.1,448.74,478.48,500.04,517.4,536.14,548.68,569.79,587.69,609.26,610.58,613.56,615.75,617.46,620.37,623.56,627.76,629.24,637.39,663.02
20,531.34,57.6,391.98,450.48,478.39,496.96,516.45,533.58,548.96,568.51,586.16,608.92,611.66,613.6,614.9,617.15,618.93,623.69,624.81,628.3,637.11,660.85
21,532.76,57.0,394.88,452.96,477.98,498.57,518.91,536.46,551.97,568.44,587.36,610.18,611.1,613.16,614.43,616.23,618.95,620.67,624.11,631.76,640.2,661.01
22,535.95,55.38,403.44,459.34,482.02,503.28,524.94,539.92,555.42,571.34,585.98,611.01,613.05,613.8,616.48,617.91,618.84,621.69,626.15,630.68,638.45,655.52
23,540.6,54.46,399.51,466.0,486.63,509.07,530.76,543.86,561.32,574.52,589.3,613.69,616.7,619.78,620.58,622.29,624.54,625.77,627.24,629.63,635.31,645.5
