datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,309.44,60.63,198.81,251.7,263.9,274.06,283.45,298.21,311.35,325.76,339.61,370.42,381.72,387.58,401.15,420.1,444.77,462.82,472.35,495.53,534.52,605.91
1,306.99,60.28,215.13,249.9,263.29,272.71,280.98,295.76,308.53,322.77,336.55,360.74,369.34,382.79,397.82,410.55,434.06,454.92,467.84,494.23,528.11,624.48
2,294.73,59.72,202.84,237.4,251.85,260.79,270.26,281.27,295.67,308.68,322.91,350.72,357.98,369.95,391.53,397.01,419.1,442.85,454.62,490.94,529.2,595.99
3,279.62,60.09,200.38,222.65,237.41,246.57,255.88,266.35,279.25,291.47,306.59,338.1,347.21,356.62,370.62,383.37,395.55,422.56,439.73,484.77,517.72,604.15
4,267.35,60.19,178.78,211.25,224.97,233.66,245.68,255.39,264.66,280.42,294.82,323.48,330.34,339.29,357.72,372.52,385.16,410.51,437.87,480.88,505.3,593.33
5,260.43,59.28,163.01,206.75,219.2,229.93,238.6,249.09,257.08,270.01,286.43,315.68,317.76,333.15,343.36,355.42,381.68,403.58,426.04,463.21,500.54,599.9
6,257.45,59.05,156.03,203.76,217.75,227.2,235.38,246.1,254.42,268.03,281.27,310.62,315.54,328.05,340.19,350.73,372.27,394.57,422.8,453.68,502.01,593.32
7,256.62,59.15,148.2,204.18,218.89,226.62,234.96,242.88,253.56,266.79,281.16,305.84,313.02,324.15,337.02,351.81,367.72,396.0,421.65,462.39,503.92,576.75
8,258.4,59.47,147.12,206.07,220.02,229.22,236.35,245.48,255.45,268.01,282.71,307.54,311.96,322.5,341.46,351.83,370.71,404.43,420.9,467.68,504.41,576.72
9,264.04,60.52,151.26,210.27,224.45,234.19,242.28,252.32,260.65,272.19,289.45,313.78,318.57,327.95,351.96,356.53,379.23,409.91,431.29,472.88,509.65,590.84
10,274.65,59.88,163.55,221.13,235.71,246.06,253.71,264.61,271.43,283.89,299.71,325.71,328.54,345.6,360.96,372.57,388.59,423.68,436.21,472.35,522.9,589.1
11,284.25,60.71,174.18,227.77,243.5,255.33,265.58,272.66,280.77,294.58,309.84,334.69,339.25,353.1,372.24,381.02,410.56,435.6,449.78,478.84,537.08,581.65
12,288.9,63.3,174.03,230.75,246.5,258.35,268.81,275.9,285.7,299.16,316.06,342.39,348.07,360.2,375.5,390.71,429.06,448.43,467.76,501.97,549.81,595.45
13,289.04,64.67,165.08,228.37,243.14,256.75,269.62,278.03,287.34,301.36,318.69,343.87,350.14,362.77,376.18,385.38,443.11,450.38,464.69,502.26,550.35,584.86
14,287.63,65.88,159.28,222.64,238.68,253.85,265.13,276.04,286.87,302.51,321.77,347.53,356.11,367.89,375.23,396.49,434.87,449.8,465.73,497.67,554.35,572.75
15,287.89,66.27,153.48,218.77,237.47,253.32,266.1,277.2,289.14,303.85,326.72,363.67,369.9,378.19,383.65,399.38,423.72,449.44,474.87,491.3,526.27,566.63
16,288.25,65.2,152.53,216.64,237.85,251.7,268.51,279.61,291.43,305.97,331.66,363.6,371.61,380.62,388.5,392.93,417.85,446.03,466.25,479.26,496.4,560.49
17,288.89,63.46,161.37,217.98,239.42,251.35,267.4,281.79,294.69,311.36,335.76,362.79,368.38,376.39,385.2,394.71,412.57,429.5,449.53,466.97,491.87,550.96
18,290.31,62.27,166.55,219.07,240.75,254.76,267.74,283.36,299.45,313.6,333.52,360.01,369.9,374.08,380.67,391.03,406.02,428.13,442.87,457.06,485.3,595.97
19,293.72,61.12,167.2,225.76,245.82,260.77,272.15,286.11,299.72,315.05,332.12,358.75,364.44,368.21,380.26,391.2,425.7,434.8,452.04,461.37,481.99,629.93
20,299.43,60.44,177.11,239.36,253.62,265.33,279.01,291.41,302.96,316.94,330.49,358.99,366.87,373.57,386.1,400.86,419.12,457.93,468.71,476.41,489.0,658.49
21,303.13,60.23,194.82,246.68,259.41,269.05,278.92,292.93,304.97,316.49,330.57,368.01,375.7,383.14,392.12,412.6,423.45,463.04,473.18,481.89,507.16,657.11
22,305.84,61.06,211.42,249.29,262.15,271.03,281.08,293.96,306.19,320.05,334.22,374.26,380.57,390.24,400.42,419.0,439.61,467.25,473.91,481.85,516.48,644.75
23,308.32,61.82,200.68,250.42,262.15,271.67,283.0,295.11,308.69,323.9,337.6,375.9,381.73,400.0,409.29,421.67,440.62,466.81,475.55,489.15,523.46,618.43
