datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,82.25,30.07,27.97,45.17,56.36,64.74,72.24,77.84,84.83,97.14,113.1,125.21,127.38,128.64,131.72,133.18,134.32,135.71,137.41,143.36,146.01,168.0
1,79.39,28.7,27.22,42.43,53.84,62.36,70.78,75.87,82.8,92.09,106.0,121.15,122.73,124.6,126.86,128.75,130.63,132.57,133.79,137.55,142.6,156.15
2,80.37,30.24,26.83,41.77,53.47,62.74,70.78,77.43,83.37,92.81,108.45,126.0,127.5,129.43,130.95,132.53,134.38,136.22,137.28,143.92,146.81,164.86
3,83.53,33.05,27.09,42.19,54.27,63.91,72.6,79.21,87.17,95.52,112.2,132.1,134.84,136.78,138.74,138.99,144.47,146.91,151.78,159.31,166.93,176.88
4,88.42,36.03,27.06,43.58,57.08,66.86,75.8,83.99,92.32,101.91,117.29,142.5,144.15,145.04,147.41,150.43,152.41,157.92,167.76,172.38,178.48,191.7
5,95.67,41.49,27.14,44.26,61.52,71.1,80.87,89.66,99.79,112.39,129.12,156.44,157.74,160.37,163.05,164.96,170.63,182.41,192.03,198.49,201.74,218.95
6,102.28,46.21,27.31,43.79,62.55,75.64,84.2,96.56,106.88,122.02,140.59,168.21,170.75,174.34,176.33,180.63,191.53,200.82,207.95,214.24,217.36,225.89
7,106.46,50.05,27.24,40.96,61.07,79.05,89.0,101.05,111.64,127.86,147.71,178.17,182.21,186.49,192.36,196.15,199.11,204.7,217.41,226.69,233.35,239.15
8,109.4,52.63,26.94,40.21,61.84,81.37,91.13,103.81,115.35,131.31,154.56,182.84,189.48,194.09,196.6,203.28,209.16,212.96,227.64,234.37,244.38,249.18
9,111.3,54.45,27.75,39.85,62.06,82.92,92.28,106.77,116.06,131.7,159.84,190.18,194.74,199.84,204.98,208.87,215.94,218.96,226.02,239.52,244.83,252.0
10,111.05,54.81,27.64,39.7,60.49,81.84,90.27,104.31,116.26,131.03,161.67,193.16,194.6,197.96,205.87,211.34,213.84,222.16,226.56,239.41,245.86,249.34
11,108.6,53.61,27.73,39.6,59.81,80.01,88.79,100.56,114.0,129.65,158.26,189.85,192.27,194.58,196.44,200.05,207.44,213.78,220.24,233.37,238.41,249.75
12,101.98,49.24,27.54,39.58,58.41,75.49,83.5,94.97,106.47,120.44,151.1,171.35,173.98,176.37,181.35,185.02,188.42,199.08,206.52,210.62,220.54,244.37
13,92.61,42.33,26.94,39.59,56.64,68.93,77.95,84.99,95.69,108.46,133.1,152.45,153.58,155.46,158.46,163.5,167.55,172.31,177.96,187.66,206.23,235.69
14,90.52,40.93,26.7,41.58,56.26,67.44,75.19,82.03,92.74,102.88,127.37,149.49,150.82,154.32,156.54,161.49,165.36,166.94,186.74,189.84,204.86,228.77
15,93.29,43.07,26.57,42.21,59.57,68.73,76.35,84.88,94.43,109.25,127.87,154.95,159.37,163.25,166.26,169.42,172.22,180.91,196.08,202.99,212.87,234.62
16,94.86,43.49,26.52,43.89,59.79,70.03,78.53,87.09,94.3,109.87,132.97,156.85,161.4,166.71,168.75,174.2,176.9,185.02,193.08,198.57,210.66,230.08
17,95.75,43.47,26.59,44.05,59.14,71.38,79.02,86.19,95.82,114.52,137.09,158.8,163.64,167.55,169.64,171.87,178.88,182.95,191.75,195.78,205.62,226.86
18,96.97,43.59,27.1,44.44,61.54,72.89,80.16,86.34,97.71,115.88,138.01,159.77,162.57,164.21,169.71,174.95,178.09,185.09,189.94,198.66,203.73,230.55
19,97.63,43.26,27.08,46.86,60.02,73.54,80.98,87.21,97.85,117.43,137.2,161.07,165.32,166.95,171.74,176.63,178.96,181.56,187.88,194.78,199.72,221.6
20,98.37,43.49,27.35,46.95,61.75,73.96,81.02,87.95,99.18,117.19,136.78,163.07,166.03,169.44,171.71,176.2,179.28,181.57,187.97,192.22,198.14,220.47
21,98.06,43.23,27.41,47.56,59.99,74.0,80.15,86.94,98.94,119.63,137.24,163.94,166.2,168.4,170.03,173.56,178.7,182.16,184.88,186.86,195.16,216.49
22,96.48,42.01,27.41,47.54,60.5,72.67,78.73,85.83,97.21,114.06,138.47,162.47,163.71,166.67,167.58,169.26,172.45,177.56,180.35,187.12,188.52,208.43
23,90.56,36.81,28.1,47.18,58.77,70.64,75.34,82.31,92.14,106.27,125.34,144.29,146.38,149.71,151.77,156.01,158.74,160.69,164.52,167.58,172.48,202.3
