datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,24.32,1.47,23.82,23.95,23.98,23.99,24.0,24.0,24.0,24.0,24.12,24.69,24.83,24.93,25.06,25.35,25.47,25.64,26.04,27.29,30.28,42.93
1,24.13,0.63,23.87,23.96,23.97,23.99,24.0,24.0,24.0,24.0,24.0,24.46,24.49,24.56,24.59,24.72,24.84,25.02,25.17,25.45,25.89,33.17
2,24.09,0.36,23.86,23.95,23.97,23.99,23.99,24.0,24.0,24.0,24.0,24.29,24.36,24.44,24.54,24.62,24.84,24.94,25.09,25.47,25.64,26.93
3,24.08,0.39,23.88,23.95,23.97,23.98,23.99,24.0,24.0,24.0,24.0,24.24,24.26,24.32,24.36,24.47,24.71,24.98,25.12,25.34,25.52,28.57
4,24.1,0.49,23.88,23.95,23.97,23.98,23.99,24.0,24.0,24.0,24.0,24.3,24.33,24.37,24.47,24.54,24.66,24.97,25.03,25.18,25.97,29.54
5,24.26,0.88,23.85,23.94,23.97,23.99,23.99,24.0,24.0,24.0,24.18,24.79,24.88,25.13,25.24,25.31,25.56,25.91,26.24,27.09,28.28,34.15
6,24.36,1.15,23.76,23.95,23.97,23.98,23.99,24.0,24.0,24.0,24.23,25.25,25.38,25.76,25.95,26.07,26.26,26.58,27.42,28.44,29.92,33.46
7,25.03,3.21,23.74,23.94,23.97,23.99,23.99,24.0,24.0,24.0,24.93,26.7,26.88,27.06,27.72,28.52,29.83,30.85,31.88,37.71,42.38,48.3
8,25.59,4.57,23.76,23.94,23.97,23.99,24.0,24.0,24.0,24.2,25.48,28.61,29.14,29.99,30.41,31.99,32.46,34.7,36.82,39.76,49.5,63.28
9,25.97,5.09,23.71,23.93,23.97,23.99,24.0,24.0,24.0,24.49,26.04,30.24,30.9,32.32,33.47,34.7,36.31,38.1,39.92,41.35,47.56,68.12
10,26.39,6.18,23.71,23.93,23.97,23.99,24.0,24.0,24.0,24.55,26.47,31.6,33.03,33.87,34.31,35.28,37.62,40.75,42.02,48.82,53.3,72.45
11,26.56,6.34,23.73,23.93,23.97,23.99,24.0,24.0,24.0,24.69,26.52,33.07,33.64,35.15,36.08,37.76,38.87,43.87,47.26,49.39,53.8,65.4
12,25.74,4.91,23.79,23.93,23.97,23.99,24.0,24.0,24.0,24.48,25.5,29.1,29.47,30.81,31.1,31.67,34.1,36.52,39.7,44.2,49.7,63.91
13,24.6,2.9,23.83,23.93,23.96,23.98,23.99,24.0,24.0,24.0,24.38,25.14,25.29,25.36,25.49,25.8,26.19,27.45,28.54,29.86,34.41,60.98
14,24.45,1.98,23.85,23.93,23.96,23.98,23.99,24.0,24.0,24.0,24.42,25.16,25.27,25.45,25.59,25.79,25.9,26.09,26.24,28.6,30.79,52.17
15,24.6,2.15,23.81,23.93,23.96,23.98,23.99,24.0,24.0,24.0,24.62,25.41,25.51,25.67,25.7,25.92,26.33,26.46,27.42,33.57,36.14,42.82
16,24.62,2.37,23.82,23.94,23.97,23.99,24.0,24.0,24.0,24.0,24.54,25.45,25.66,25.74,25.97,26.12,26.33,26.77,28.41,29.74,38.36,45.72
17,24.7,2.71,23.77,23.94,23.97,23.99,24.0,24.0,24.0,24.0,24.56,25.45,25.66,25.82,26.24,26.69,26.83,27.19,28.66,33.62,38.99,52.2
18,24.61,2.32,23.81,23.94,23.97,23.99,24.0,24.0,24.0,24.0,24.52,25.19,25.44,25.53,26.3,27.0,27.13,27.46,27.89,29.2,37.56,47.1
19,24.67,2.13,23.83,23.95,23.98,23.99,24.0,24.0,24.0,24.0,24.56,25.5,25.74,26.75,26.89,27.38,27.69,28.4,30.43,31.88,36.07,42.07
20,24.86,2.71,23.8,23.95,23.98,23.99,24.0,24.0,24.0,24.0,24.71,26.38,26.64,26.94,27.3,28.08,28.96,29.85,30.98,34.61,38.36,46.22
21,25.09,3.91,23.81,23.95,23.98,23.99,24.0,24.0,24.0,24.0,24.7,26.17,26.57,27.21,28.02,28.48,29.85,31.76,32.9,35.53,48.76,61.36
22,24.98,3.62,23.81,23.95,23.98,23.99,24.0,24.0,24.0,24.0,24.65,25.87,26.13,26.75,27.12,27.89,28.69,30.42,32.9,36.67,42.63,61.97
23,24.67,2.48,23.71,23.95,23.98,23.99,24.0,24.0,24.0,24.0,24.39,25.48,25.65,25.91,26.08,26.17,26.42,28.68,30.92,31.97,39.95,44.69
