datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,24.57,4.03,23.96,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.07,24.09,24.11,24.13,24.16,24.23,24.34,24.75,33.2,40.6,70.38
1,24.16,1.45,23.96,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.02,24.03,24.04,24.05,24.05,24.09,24.13,24.18,24.28,28.24,41.81
2,24.11,1.61,23.96,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.01,24.03,24.03,24.05,24.07,24.08,24.14,24.19,24.41,53.97
3,24.07,0.75,23.94,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.01,24.03,24.03,24.05,24.07,24.08,24.1,24.13,24.47,33.97
4,24.11,1.0,23.92,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.02,24.03,24.04,24.05,24.06,24.07,24.11,24.16,24.19,26.85,38.27
5,24.19,1.59,23.95,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.06,24.08,24.1,24.12,24.15,24.21,24.25,24.32,24.66,31.16,48.26
6,24.38,2.86,23.93,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.12,24.15,24.22,24.25,24.27,24.31,24.45,24.6,25.34,40.79,56.58
7,26.56,10.64,23.95,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.64,25.03,29.41,33.11,38.99,40.9,47.44,54.3,62.77,88.88,115.44
8,28.19,13.75,23.94,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.03,35.17,40.37,46.11,52.55,54.69,58.52,61.62,68.81,83.9,92.51,116.1
9,29.79,16.58,23.94,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.16,50.06,52.16,55.29,58.68,62.53,66.76,68.55,73.27,93.5,111.02,124.0
10,30.53,18.2,23.94,23.99,24.0,24.0,24.0,24.0,24.0,24.03,24.36,52.51,56.03,57.62,60.69,64.59,70.14,72.5,76.97,94.37,122.17,137.79
11,30.22,17.73,23.96,23.99,24.0,24.0,24.0,24.0,24.0,24.03,24.39,47.12,54.46,58.54,60.11,63.79,67.67,74.61,82.16,97.59,109.02,146.16
12,28.02,12.68,23.98,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.2,36.11,39.96,44.09,50.1,51.4,53.52,57.34,65.66,72.2,84.54,126.35
13,25.48,7.69,23.96,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.13,24.19,24.26,24.34,27.69,32.91,35.2,39.37,47.83,60.59,116.76
14,24.95,5.6,23.96,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.13,24.15,24.17,24.19,24.26,24.36,25.49,34.36,41.22,61.4,84.26
15,25.58,7.72,23.96,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.23,24.28,24.39,24.57,26.73,30.37,34.5,43.12,53.62,74.38,85.36
16,25.78,8.1,23.94,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.01,24.22,24.24,24.42,26.69,32.67,34.02,36.52,45.32,58.04,73.75,86.3
17,26.38,9.66,23.94,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.17,24.18,24.3,29.17,35.2,44.07,53.02,57.16,69.88,74.14,92.75
18,26.33,9.19,23.95,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.03,24.34,24.54,28.19,34.07,38.74,42.92,49.01,50.25,62.98,73.92,99.45
19,26.6,10.34,23.95,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.03,24.37,26.14,29.29,34.83,40.45,44.14,50.0,53.89,68.67,83.07,103.68
20,27.12,11.89,23.95,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.08,28.92,32.31,35.16,37.21,40.44,47.87,51.72,56.53,69.11,95.78,115.64
21,27.66,13.62,23.95,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.06,31.48,32.62,35.11,39.26,43.86,51.53,58.73,66.96,76.9,100.25,131.05
22,27.45,13.1,23.96,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.02,28.47,30.56,34.04,39.55,45.35,49.86,54.3,65.34,74.62,94.38,134.32
23,25.8,8.17,23.94,23.99,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.18,24.36,24.65,27.87,29.89,33.41,37.22,47.91,59.06,74.69,95.24
