datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,32.31,12.94,24.0,24.0,24.0,24.07,24.88,26.58,29.2,32.19,38.24,50.4,50.85,54.22,56.21,57.41,59.2,63.05,65.73,72.2,84.45,101.64
1,30.98,10.23,24.0,24.0,24.0,24.0,25.25,27.12,29.0,31.09,36.55,43.52,44.71,46.15,47.39,48.79,51.15,55.17,59.31,64.01,70.56,86.34
2,31.29,10.36,24.0,24.0,24.0,24.0,25.36,27.44,29.33,32.35,37.4,44.17,45.93,46.48,48.23,49.28,50.62,53.7,57.02,61.17,73.04,89.11
3,32.09,11.8,24.0,24.0,24.0,24.11,25.37,27.58,30.17,33.6,38.01,46.04,47.51,49.14,51.4,52.96,54.31,56.77,62.48,68.66,80.79,97.23
4,33.19,13.45,24.0,24.0,24.0,24.57,25.95,28.15,30.82,34.79,39.59,48.85,50.12,53.2,55.19,56.48,59.4,61.56,66.65,72.68,86.31,119.22
5,34.8,15.9,24.0,24.0,24.0,24.96,26.76,28.52,31.21,35.89,41.04,52.88,55.82,59.06,62.43,64.74,66.22,69.35,77.85,82.95,94.24,135.97
6,36.14,17.71,24.0,24.0,24.02,25.08,27.0,28.9,33.14,38.36,42.88,55.59,58.81,61.32,66.34,67.91,71.24,74.75,79.39,99.44,112.97,128.99
7,37.84,20.16,24.0,24.0,24.12,25.24,27.07,29.99,33.21,39.65,46.72,61.5,62.81,64.88,68.07,70.97,73.61,90.13,98.81,106.47,122.77,139.1
8,39.61,22.6,24.0,24.0,24.29,25.35,27.63,29.68,34.58,40.8,48.95,69.05,70.38,74.58,77.61,83.88,91.84,97.08,105.37,115.02,121.19,163.11
9,40.38,23.66,24.0,24.0,24.22,25.55,27.39,30.13,35.32,41.51,50.41,70.03,72.77,80.24,84.47,98.07,100.8,105.11,110.49,115.74,120.51,148.43
10,40.42,24.1,24.0,24.0,24.0,25.29,27.16,30.21,34.39,42.19,49.83,71.67,75.61,80.84,91.2,94.28,100.07,105.73,109.51,116.13,128.07,144.5
11,39.25,22.07,24.0,24.0,24.0,25.1,27.11,29.88,33.55,41.76,49.11,69.54,76.56,78.04,81.46,85.27,88.23,99.57,104.49,107.82,118.31,138.19
12,38.18,21.54,24.0,24.0,24.0,25.17,26.69,28.6,32.93,38.89,45.2,68.15,72.74,73.93,77.17,84.09,91.04,95.68,102.91,110.62,117.42,132.54
13,36.23,18.3,24.0,24.0,24.0,24.9,26.16,28.15,31.49,36.65,44.3,63.25,64.18,65.49,69.77,72.07,78.23,82.39,89.63,94.01,105.82,124.82
14,35.79,17.44,24.0,24.0,24.0,24.74,26.27,29.21,31.51,35.19,43.16,59.34,62.81,63.66,66.35,71.01,76.96,81.29,82.33,93.96,98.54,127.25
15,37.85,20.0,24.0,24.0,24.04,25.17,27.12,30.29,33.58,38.94,44.77,61.97,67.64,70.8,75.06,81.72,87.0,90.83,99.45,100.53,110.17,139.79
16,39.78,21.64,24.0,24.0,24.12,25.18,27.92,30.56,35.66,41.52,49.92,70.78,74.81,78.78,82.54,89.78,93.19,97.58,104.43,107.88,112.7,134.63
17,40.14,22.0,24.0,24.0,24.24,25.66,28.01,30.38,34.63,42.09,51.62,74.11,76.4,79.46,84.25,88.25,91.88,96.05,101.74,109.56,113.42,131.34
18,40.34,22.1,24.0,24.0,24.0,25.39,27.87,31.03,35.82,42.19,52.36,73.57,77.08,82.21,83.75,85.77,88.78,95.45,104.27,108.25,113.02,138.97
19,40.21,21.54,24.0,24.0,24.2,25.52,27.84,30.93,35.86,42.31,51.73,71.86,74.44,81.81,83.91,86.07,88.61,91.82,97.47,107.47,113.63,131.11
20,40.22,20.95,24.0,24.0,24.28,25.75,27.63,30.74,36.86,43.28,54.88,71.83,72.91,74.91,79.59,82.49,86.39,90.5,98.49,105.31,110.14,117.61
21,40.74,21.67,24.0,24.0,24.2,25.18,27.69,31.76,37.56,44.62,56.07,70.6,72.51,76.04,78.37,81.59,88.21,95.4,101.35,106.07,116.39,123.21
22,38.81,20.06,24.0,24.0,24.08,25.04,26.41,29.79,34.47,41.68,52.86,66.91,68.55,70.77,73.36,77.72,82.32,88.0,91.81,96.38,112.42,130.74
23,35.14,16.55,24.0,24.0,24.0,24.26,25.46,27.42,31.11,36.19,44.29,58.12,59.66,61.44,63.51,66.22,69.37,74.55,78.04,87.15,101.49,111.93
