datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,491.3,99.34,230.12,340.9,392.23,457.63,489.05,516.62,536.87,554.46,578.57,601.75,604.14,604.74,609.75,611.84,613.93,616.06,619.74,625.33,643.37,696.5
1,498.72,93.8,272.18,355.78,405.5,469.35,493.83,515.04,537.91,555.17,584.26,605.93,607.11,610.1,610.73,612.3,616.96,626.63,634.88,642.52,647.26,724.99
2,498.15,90.19,283.08,364.71,413.58,469.69,495.5,513.47,530.95,548.29,579.73,603.12,604.09,606.75,609.16,612.46,614.47,617.76,624.49,645.49,653.76,722.55
3,495.21,90.86,273.33,358.62,413.28,462.06,494.5,509.03,527.16,544.84,576.41,604.24,606.11,606.76,609.79,612.37,615.27,619.56,628.81,638.79,653.78,714.21
4,490.7,91.91,255.59,353.37,413.08,451.82,493.94,504.14,522.26,542.09,571.32,599.1,601.14,604.13,607.46,613.45,616.56,616.76,620.56,633.87,645.12,698.69
5,489.92,93.13,271.4,353.7,410.8,449.21,488.74,500.17,522.44,546.18,571.45,604.06,605.73,608.49,612.88,615.06,615.97,616.91,619.63,621.52,644.65,768.04
6,487.31,98.53,247.08,338.6,398.47,445.24,487.88,498.64,518.35,544.25,578.66,604.88,607.08,609.14,612.48,614.85,616.8,620.0,621.25,630.96,659.98,796.78
7,486.28,99.64,229.78,324.46,409.67,442.78,487.32,497.57,517.49,546.8,574.53,606.96,610.31,612.21,616.18,617.56,618.67,620.95,624.12,628.6,637.26,765.99
8,490.6,98.13,228.1,341.87,419.74,447.79,489.64,500.36,520.24,554.65,577.92,608.3,609.08,611.25,615.88,617.53,618.9,620.77,625.14,630.61,641.53,768.98
9,493.26,95.99,228.89,346.23,418.13,460.07,492.75,507.56,523.06,555.85,576.13,608.51,611.01,611.78,613.21,615.48,617.41,619.58,624.6,631.56,643.75,765.58
10,495.43,95.21,242.34,350.24,423.37,460.55,490.84,507.32,530.47,557.61,581.33,604.22,609.23,611.47,614.5,616.31,618.8,619.84,623.55,630.22,640.28,804.9
11,498.45,95.15,246.12,349.26,428.4,466.02,493.1,509.27,534.94,562.65,585.45,608.83,609.88,611.6,613.59,616.16,617.24,619.77,623.53,633.19,637.4,784.37
12,502.32,93.89,249.18,353.41,428.9,473.54,497.11,514.49,539.2,562.25,591.42,611.08,611.29,611.69,612.92,614.88,616.27,617.88,622.28,628.27,653.89,745.76
13,499.38,104.33,206.55,335.46,424.08,473.65,496.94,517.64,539.79,568.89,592.6,612.19,612.96,614.32,615.37,617.23,619.28,620.17,621.94,638.43,659.03,726.7
14,489.71,112.49,151.71,310.52,395.03,466.4,497.33,513.34,539.51,567.1,588.19,603.01,605.25,609.66,610.35,612.17,613.87,618.37,619.78,629.88,642.43,701.41
15,478.26,111.97,152.16,290.78,385.39,448.25,481.81,507.74,530.22,555.05,573.75,597.68,599.38,601.56,603.84,604.71,606.5,609.45,613.06,614.99,618.32,659.65
16,474.28,110.29,138.82,305.88,372.67,434.68,470.83,502.69,531.55,550.01,572.74,590.96,591.81,593.24,594.29,597.54,599.59,603.51,606.2,614.27,619.17,634.05
17,474.87,107.52,124.04,320.2,373.17,432.77,471.37,501.1,528.7,550.99,575.43,589.26,591.19,593.08,593.94,597.09,599.54,603.37,606.61,609.88,615.14,624.33
18,475.78,106.91,127.0,324.67,376.15,434.69,467.16,498.3,532.41,552.96,575.48,589.98,591.75,593.32,595.94,596.58,597.59,599.84,603.62,606.57,614.61,627.33
19,473.88,107.39,122.15,318.38,371.47,427.78,466.09,496.78,527.09,554.63,574.94,589.06,590.61,592.72,593.21,594.74,596.8,599.68,601.38,603.98,610.49,626.54
20,472.84,106.16,126.01,304.63,377.61,422.64,468.05,496.6,523.3,555.83,572.69,586.72,589.04,589.97,591.8,594.04,597.08,599.13,600.61,601.88,602.99,625.42
21,472.37,103.72,120.92,304.92,379.34,426.86,467.13,494.92,522.57,547.78,565.37,583.56,585.56,587.09,592.99,594.67,595.47,597.6,602.11,603.07,609.85,644.58
22,473.81,100.95,126.88,318.66,372.0,435.5,470.05,495.47,523.66,548.09,562.87,585.02,587.57,589.57,590.67,592.54,595.04,596.46,600.0,603.38,614.57,646.99
23,480.84,99.43,166.81,323.29,387.63,445.06,477.83,504.01,529.08,549.64,569.74,588.98,590.5,593.56,595.28,599.34,604.4,606.27,609.87,618.86,624.46,651.3
