datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,319.83,115.3,43.44,164.73,223.53,255.51,291.29,320.27,345.87,384.47,425.53,474.22,478.62,485.25,489.06,495.89,502.09,505.81,519.37,523.65,547.32,583.56
1,329.18,115.94,45.68,170.74,229.35,266.91,300.54,336.4,359.44,401.96,445.7,480.59,481.93,484.59,490.5,501.24,508.04,513.28,525.26,535.63,543.24,579.16
2,344.37,113.91,47.02,200.61,240.2,288.02,320.05,349.65,379.18,413.01,446.99,490.31,493.34,499.61,505.93,508.55,516.93,520.49,526.66,539.16,558.03,603.68
3,360.55,113.79,48.69,222.16,263.73,309.76,335.19,364.75,386.97,422.25,461.26,505.74,511.93,517.4,526.71,532.06,537.91,551.21,558.87,569.88,580.55,621.46
4,381.14,117.35,60.06,236.51,279.85,320.47,358.23,387.01,408.6,441.22,472.33,533.41,541.85,552.75,557.99,565.04,570.97,582.72,595.36,608.98,624.7,679.02
5,403.58,124.8,54.39,254.83,297.76,347.66,379.8,407.11,433.45,460.87,503.32,566.65,576.44,583.28,596.88,603.55,611.38,619.48,633.79,639.63,670.96,708.96
6,416.52,134.95,46.65,249.83,318.2,354.22,391.67,424.21,452.35,482.38,524.92,584.51,592.81,611.97,621.21,628.21,637.61,645.49,648.73,670.59,701.55,732.69
7,423.39,145.09,45.47,237.24,310.13,362.83,403.02,431.33,464.7,506.61,538.15,599.78,609.83,618.74,637.26,643.56,654.28,675.55,679.86,687.53,709.85,749.94
8,426.81,147.7,43.2,229.48,325.39,368.22,403.56,440.41,473.26,510.08,537.59,614.88,617.99,627.43,633.02,643.96,659.35,676.29,688.23,694.24,716.23,758.73
9,428.57,149.81,41.32,207.49,326.54,365.39,406.94,443.78,478.04,509.31,543.73,616.64,622.81,629.74,637.39,646.08,657.65,670.34,677.92,697.79,714.07,761.16
10,424.76,149.88,43.0,210.98,324.05,362.33,402.6,439.22,475.9,510.65,544.98,608.66,615.33,627.67,632.93,646.06,652.97,660.55,670.99,688.05,711.12,750.06
11,416.11,148.0,51.28,200.02,311.1,356.63,393.99,427.72,461.74,496.47,543.2,597.8,602.52,609.3,626.79,635.78,644.9,649.6,659.81,678.21,699.1,722.28
12,396.51,136.72,41.04,204.09,295.19,335.68,371.0,403.81,436.9,465.67,512.54,573.15,578.46,585.08,591.5,598.56,605.13,610.95,631.65,640.18,659.46,705.16
13,377.62,125.34,41.06,209.52,290.1,322.34,347.22,383.4,410.17,443.6,485.44,534.38,542.49,548.07,552.33,563.08,576.88,582.53,596.76,606.38,619.19,678.17
14,370.78,120.0,41.3,215.26,283.96,322.39,351.79,373.21,401.13,435.71,473.76,525.52,529.75,534.96,543.82,550.04,557.27,563.29,572.06,583.73,597.99,617.58
15,359.2,119.58,46.16,195.91,268.75,308.33,340.37,369.04,399.28,432.36,466.48,508.09,511.88,514.33,518.81,520.92,528.11,537.05,549.76,559.29,570.2,578.78
16,341.15,119.74,47.81,177.54,236.35,285.51,310.32,342.68,385.07,421.3,450.39,492.96,498.94,503.23,508.79,512.67,517.37,520.76,525.71,533.51,539.99,575.75
17,331.08,119.35,43.63,170.86,224.87,271.01,301.74,336.89,374.53,409.81,442.91,488.47,491.96,495.1,500.32,506.0,517.5,522.94,525.89,530.89,544.3,565.59
18,326.35,118.24,45.66,168.69,223.23,259.63,299.18,331.25,370.41,402.93,433.1,482.5,487.27,491.64,493.57,497.06,508.18,515.83,528.85,533.97,542.41,551.97
19,323.23,116.62,45.98,169.09,217.87,259.35,294.95,327.98,361.29,388.46,432.52,481.74,488.17,491.19,492.47,495.48,499.99,507.51,524.49,529.97,540.09,547.1
20,318.3,114.39,46.48,174.94,218.58,256.69,288.89,320.98,347.55,386.18,422.16,476.91,482.25,486.9,488.31,491.82,501.86,510.78,518.19,529.69,532.6,545.27
21,313.6,113.72,46.48,176.69,212.36,248.8,278.93,314.29,336.81,380.7,419.85,472.87,478.59,480.18,489.71,492.24,497.32,504.56,512.13,517.79,526.13,569.05
22,314.99,114.67,44.43,178.27,211.61,251.15,280.64,309.87,340.18,385.35,420.31,475.76,478.97,485.62,488.8,494.03,500.52,505.7,507.65,516.7,532.93,585.89
23,318.67,117.81,42.07,172.78,217.21,251.55,280.94,312.76,339.75,391.08,433.68,477.23,483.16,498.43,503.34,506.78,511.54,522.98,532.09,539.87,546.38,618.79
