datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,464.96,65.36,300.67,382.64,401.65,422.92,440.66,460.75,480.83,506.06,533.0,555.68,558.1,561.11,562.01,564.07,567.93,572.29,576.26,578.79,585.86,595.29
1,498.94,46.93,331.16,438.36,460.81,474.68,488.57,498.86,507.45,522.44,541.91,562.09,564.19,565.7,567.54,571.77,575.79,580.22,583.4,585.44,591.93,594.56
2,517.42,35.04,391.68,474.15,488.97,499.37,507.53,516.8,525.29,534.0,548.25,563.47,564.62,568.1,571.12,575.06,578.65,582.57,584.06,587.14,593.53,596.41
3,524.17,32.68,419.69,483.8,497.83,507.18,513.82,522.96,531.13,540.24,552.61,568.88,571.22,574.27,574.74,578.7,579.79,582.29,584.7,589.88,599.66,606.68
4,530.76,33.56,433.54,487.69,501.46,511.0,520.71,529.73,539.86,547.01,561.69,577.41,578.58,579.85,581.35,584.94,587.79,590.18,594.75,596.1,606.31,613.15
5,537.67,33.38,454.61,495.09,508.9,517.3,526.57,536.58,547.06,557.21,568.55,582.66,585.11,586.75,587.52,589.68,592.1,596.99,599.61,604.1,607.1,619.63
6,542.27,34.52,454.55,498.21,511.94,521.41,529.65,540.54,551.49,563.22,575.61,589.13,590.77,591.89,593.76,596.09,599.85,600.51,603.21,606.21,613.55,619.24
7,547.96,35.39,447.86,502.93,517.32,525.45,532.99,547.28,559.08,571.16,582.43,596.83,598.14,599.33,600.5,601.55,604.02,608.55,610.05,612.88,618.13,637.41
8,550.52,36.2,445.54,503.46,516.61,527.5,537.92,549.09,563.57,574.01,583.65,597.24,600.46,601.67,604.29,605.42,608.39,611.44,616.15,619.46,624.47,637.85
9,551.98,36.92,453.39,503.96,517.47,528.47,538.5,550.53,566.08,576.54,586.1,601.49,602.36,604.88,606.08,610.04,611.32,613.7,618.56,621.62,625.3,638.94
10,552.91,37.03,452.32,504.97,517.8,530.15,538.48,551.23,566.59,576.2,585.9,603.26,605.64,607.31,608.36,610.8,612.13,615.06,618.21,622.06,624.6,633.48
11,552.43,37.31,454.47,504.81,517.04,528.77,539.93,551.52,564.18,577.48,585.65,602.62,605.93,607.87,609.47,611.28,612.53,615.62,618.06,623.51,626.1,633.6
12,549.08,37.48,443.36,499.65,516.97,525.37,535.83,548.21,563.38,572.36,582.78,598.15,599.92,604.4,606.42,609.52,610.76,613.4,617.5,622.72,624.67,627.48
13,533.02,45.26,375.0,475.78,491.96,507.43,520.89,534.63,544.37,559.95,575.01,591.44,593.98,595.44,598.06,602.67,605.64,607.18,611.11,612.68,616.23,626.01
14,490.34,63.41,306.08,401.72,430.81,451.55,478.12,496.28,516.91,535.02,550.32,567.58,569.81,574.18,574.89,576.1,578.16,582.65,585.16,588.66,594.78,613.8
15,435.4,66.76,280.3,348.32,368.48,390.01,415.87,439.4,456.28,472.86,495.76,524.24,526.13,534.84,539.14,541.05,548.94,550.89,559.09,570.21,581.11,600.81
16,395.11,58.2,265.29,323.67,338.81,355.63,376.82,395.62,408.81,422.92,444.94,465.83,468.41,475.08,481.82,485.34,494.33,503.43,507.71,524.82,555.62,614.01
17,380.98,54.4,265.99,313.51,331.3,345.15,362.03,381.68,395.02,409.51,423.0,450.41,454.23,459.43,462.78,464.1,470.65,478.47,492.53,498.5,509.9,604.95
18,378.15,54.38,261.64,307.77,326.36,342.0,360.88,381.96,396.05,410.08,423.99,444.16,447.08,451.84,454.81,459.23,464.16,468.37,472.01,490.5,500.61,604.24
19,379.39,55.12,260.31,303.98,325.65,340.14,360.21,382.12,401.22,415.5,426.47,444.94,447.51,450.54,453.44,456.68,459.36,466.6,482.26,491.39,499.32,590.78
20,380.97,55.72,257.62,306.38,325.3,343.05,362.71,382.15,403.8,418.52,431.74,447.35,449.02,450.47,451.55,457.01,464.97,473.16,482.12,486.29,496.26,585.02
21,384.8,57.62,271.04,306.01,328.95,347.66,367.09,383.47,403.96,423.08,435.7,454.49,456.32,461.0,465.06,473.34,477.22,481.84,491.83,501.96,511.93,594.93
22,396.14,59.23,283.31,316.59,337.5,359.28,379.9,393.62,414.5,431.7,444.57,470.26,474.96,476.46,483.74,485.97,493.97,499.21,509.31,521.61,536.57,596.76
23,423.55,64.59,293.06,336.43,360.38,378.94,402.56,426.48,447.15,460.86,480.92,505.55,512.17,516.82,521.25,522.88,526.54,535.14,543.12,552.83,560.24,600.54
