datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,691.1,108.1,300.28,535.26,623.8,654.53,673.3,695.59,725.92,759.32,791.61,818.54,820.91,821.94,823.99,827.52,832.22,838.91,851.01,857.18,861.33,884.88
1,692.48,106.07,307.07,533.29,623.9,658.51,676.1,697.93,733.06,760.95,787.32,815.49,816.59,821.31,824.3,825.8,830.69,834.45,841.6,847.3,861.89,869.98
2,693.04,105.36,316.81,541.54,622.69,658.04,679.12,701.41,735.67,760.39,784.71,813.43,818.6,822.4,825.69,826.9,828.05,831.69,836.63,842.52,850.83,873.19
3,693.44,106.15,342.97,536.89,613.49,658.36,679.1,706.32,737.08,763.06,785.48,818.97,821.73,823.2,824.22,825.16,826.31,833.85,840.55,845.04,850.92,869.68
4,695.26,105.97,350.19,545.16,616.96,657.35,679.66,705.31,736.4,764.34,791.28,822.22,823.58,825.2,827.93,828.94,831.7,839.2,847.23,852.66,858.12,865.6
5,695.59,106.03,333.86,551.34,620.22,650.23,675.3,706.59,737.73,766.41,789.9,823.54,825.99,827.54,830.27,832.34,836.62,840.29,843.86,849.83,854.38,879.71
6,693.02,109.16,333.73,524.08,619.38,652.88,677.85,698.29,733.11,768.96,794.6,823.7,826.61,829.77,830.86,831.93,837.14,842.38,845.52,851.29,856.3,878.53
7,686.76,113.58,345.27,507.35,605.64,647.76,668.03,700.96,727.15,762.34,794.25,821.57,823.18,824.41,827.02,829.57,829.91,835.65,842.37,849.91,857.91,877.95
8,682.31,116.73,353.49,508.13,594.64,643.76,665.84,691.64,722.2,758.92,796.01,821.99,824.76,828.08,830.81,831.96,833.69,836.44,838.28,850.42,854.61,878.66
9,678.81,119.42,319.79,502.95,584.26,636.56,662.59,692.06,719.92,755.46,797.14,821.2,823.18,824.37,826.28,828.57,831.2,835.42,839.48,846.48,854.22,878.36
10,678.42,121.32,322.08,502.7,578.2,641.92,666.26,684.6,719.91,757.3,794.64,822.56,824.87,826.73,828.1,828.75,833.87,839.69,843.98,846.48,849.63,879.14
11,679.14,122.31,325.51,501.48,584.68,642.12,668.91,688.05,718.11,759.09,801.54,822.96,824.69,828.44,829.81,832.74,838.05,842.53,844.95,849.48,855.12,874.56
12,679.58,122.82,321.16,498.65,572.2,640.94,665.92,686.56,722.22,766.62,803.19,825.66,828.92,829.3,832.85,836.63,838.57,841.79,844.03,850.0,854.89,877.6
13,682.44,120.83,327.91,505.88,582.29,642.76,665.67,688.9,724.93,766.27,801.29,824.38,827.24,831.04,834.94,838.31,843.71,846.18,849.96,855.75,859.98,871.08
14,687.4,117.55,356.15,510.21,597.66,646.75,672.3,693.38,733.32,769.57,798.11,825.72,827.44,830.01,832.57,839.66,845.04,849.37,852.34,854.09,860.11,873.22
15,690.3,116.63,350.24,509.64,606.25,653.14,670.24,696.58,732.33,770.77,796.81,828.97,832.9,833.51,838.47,846.42,850.18,851.94,854.81,858.38,864.5,874.28
16,691.9,115.84,331.26,516.19,602.67,656.08,675.73,697.36,732.1,768.22,799.04,831.61,833.73,834.46,837.81,842.26,846.69,850.71,855.86,857.99,866.39,879.9
17,692.58,115.91,321.01,524.53,601.81,655.71,676.93,700.9,730.7,768.51,800.84,828.53,831.67,837.86,840.2,842.98,846.2,850.9,855.74,857.4,865.0,879.57
18,691.03,115.36,315.5,518.49,604.98,656.9,677.84,698.94,725.22,764.67,796.7,828.06,831.76,834.31,837.48,841.12,848.91,853.01,857.61,859.1,861.2,885.33
19,688.67,115.01,311.27,512.38,608.46,651.75,674.51,696.1,724.63,764.59,791.82,828.87,831.25,834.48,836.42,841.59,845.73,851.8,856.1,859.51,863.65,886.12
20,686.72,114.28,308.43,514.38,605.78,648.37,673.44,694.67,723.31,758.74,792.8,824.96,827.4,828.84,830.47,833.5,841.67,848.62,852.79,856.37,865.97,889.79
21,683.97,112.98,298.75,521.38,601.57,641.61,670.51,692.71,721.82,755.63,786.05,816.41,822.45,825.22,828.74,835.2,837.53,843.77,849.14,853.58,865.05,887.21
22,683.99,112.97,303.49,525.85,603.82,644.06,666.75,695.36,723.21,754.96,789.62,816.71,818.58,819.72,825.99,829.03,834.31,843.28,847.83,853.96,865.28,882.15
23,687.64,110.42,310.93,531.76,615.31,651.3,671.06,692.12,722.89,759.55,790.81,818.99,820.4,824.29,826.53,829.88,832.94,841.79,846.54,854.65,859.84,879.16
