datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,643.09,120.56,338.12,469.76,530.64,582.56,609.53,642.8,683.78,731.42,755.53,794.9,800.03,805.24,810.33,817.52,823.54,835.31,838.67,860.94,875.33,894.19
1,682.54,102.32,465.5,550.73,588.17,611.03,649.81,680.51,708.09,742.63,781.21,819.71,827.73,830.14,833.65,840.18,845.85,858.36,867.42,885.59,896.62,914.01
2,703.11,94.24,477.51,581.78,614.53,642.1,668.42,701.74,729.04,759.85,791.23,828.35,833.13,839.07,842.46,848.71,855.81,863.18,879.16,893.41,901.25,914.06
3,709.13,93.05,476.65,589.64,625.22,649.18,676.58,704.64,734.32,762.9,796.69,831.26,838.39,843.55,849.3,853.8,861.71,869.21,888.83,896.83,906.41,912.47
4,713.06,94.89,496.31,590.67,628.23,649.51,682.72,706.56,740.24,768.67,805.42,839.46,845.64,849.99,853.02,858.46,872.52,886.09,893.34,903.29,912.48,923.03
5,718.93,98.09,500.33,591.6,628.06,656.51,688.39,711.68,747.84,780.53,813.6,851.05,854.63,857.99,866.12,873.1,880.63,894.12,902.76,911.58,921.75,936.38
6,724.0,101.25,519.06,597.43,626.2,658.18,687.85,718.03,755.82,788.66,826.07,862.52,866.35,871.23,875.64,881.43,891.1,895.91,909.2,919.26,926.51,935.6
7,728.84,105.31,509.9,594.13,625.73,655.29,690.34,727.13,758.89,793.42,831.75,873.25,877.83,883.2,890.41,898.67,902.91,905.38,912.33,923.67,932.72,940.38
8,732.16,111.61,493.05,593.29,623.03,655.61,689.67,727.03,762.35,798.37,849.06,887.99,894.72,898.8,904.81,911.33,920.1,921.31,930.83,933.76,938.05,947.02
9,733.18,113.69,502.34,590.82,623.07,654.95,691.32,724.86,759.97,804.31,849.68,896.18,898.88,904.81,909.69,914.43,920.69,924.85,927.54,934.2,944.06,949.74
10,735.08,113.46,496.04,591.64,626.04,656.43,693.19,729.02,754.45,802.95,860.68,898.29,903.82,905.86,912.7,915.66,919.51,922.74,928.82,940.32,943.88,949.55
11,735.72,113.93,475.28,590.19,628.23,664.08,690.52,723.97,755.88,805.17,863.28,900.15,901.79,906.63,909.37,915.43,917.62,926.88,931.56,937.9,947.1,954.95
12,733.76,112.21,483.72,590.4,627.84,663.36,688.01,716.81,749.88,804.34,857.94,900.5,901.49,903.87,905.62,906.97,912.05,920.23,929.67,935.4,941.56,946.85
13,713.08,109.08,410.87,582.31,613.3,646.94,669.13,696.33,722.19,780.3,833.68,872.68,876.38,879.98,883.07,884.8,888.48,894.14,900.66,912.01,922.5,931.65
14,672.64,106.88,385.29,533.67,585.24,608.67,634.97,667.97,698.81,738.58,779.96,812.56,818.09,820.51,826.01,830.77,840.96,844.12,853.48,862.9,867.84,898.17
15,629.22,112.08,335.24,478.99,538.4,571.31,596.38,635.07,664.51,697.22,739.13,770.45,772.97,773.89,779.28,787.08,789.47,797.76,807.44,831.13,842.38,860.81
16,599.0,118.44,309.42,434.09,499.32,538.19,567.59,601.01,639.11,676.02,719.06,749.71,757.14,759.19,762.35,766.89,772.92,783.83,793.77,804.86,814.38,827.06
17,582.7,122.76,267.05,412.48,477.01,522.47,546.66,585.3,626.86,654.64,705.28,748.23,751.62,752.21,757.47,760.76,764.33,769.86,783.3,785.43,795.0,809.57
18,572.6,125.86,234.32,402.77,457.05,506.37,541.29,573.49,612.28,650.08,697.31,744.3,745.43,748.47,749.53,750.33,752.57,760.36,768.22,775.15,783.59,793.19
19,566.49,128.86,220.33,383.31,448.87,496.31,534.45,563.98,611.96,652.55,697.62,735.15,739.77,743.1,748.74,751.93,754.72,756.87,761.16,772.97,779.69,811.06
20,562.87,131.38,211.93,378.61,439.77,486.92,526.68,564.55,604.02,653.03,695.39,735.75,739.64,742.37,747.5,754.03,757.22,763.44,766.5,768.24,789.42,805.75
21,560.93,132.7,220.12,377.34,433.69,482.03,522.64,563.11,598.88,646.23,699.17,737.75,741.83,747.06,754.74,760.04,762.34,764.61,769.83,780.29,791.5,811.95
22,571.02,131.47,239.44,389.72,446.61,489.66,532.95,576.6,617.6,664.64,703.98,744.8,748.27,755.58,758.08,762.17,764.61,768.88,777.8,783.83,798.57,817.84
23,599.1,129.55,262.64,412.18,473.36,521.02,564.38,611.4,648.03,694.72,723.33,765.43,771.04,773.03,776.57,778.2,780.55,789.84,792.23,796.88,810.19,847.78
