datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,201.79,84.98,48.68,80.64,112.12,154.73,177.52,207.37,231.24,251.64,282.42,313.49,316.75,322.98,325.06,329.23,336.39,339.77,346.63,354.56,381.43,431.79
1,205.89,86.9,46.97,82.23,113.19,157.37,188.17,213.79,232.43,255.89,281.24,323.7,331.51,333.57,336.35,337.66,343.92,347.42,355.64,368.23,384.26,426.9
2,211.73,88.1,46.4,86.34,109.55,156.83,192.83,221.78,244.77,265.64,285.34,327.86,335.48,342.04,345.38,349.51,351.38,357.8,366.59,376.06,380.56,412.5
3,220.38,91.47,44.8,89.66,121.06,166.83,198.9,227.47,250.52,275.09,303.8,340.09,342.86,350.34,356.82,363.96,372.91,374.96,381.27,391.73,404.73,440.88
4,231.16,97.96,43.24,95.09,126.07,169.47,207.32,238.87,261.27,287.16,317.67,366.17,371.33,373.48,377.23,380.95,391.28,398.33,400.82,412.57,442.34,469.0
5,247.44,106.51,44.26,102.24,138.35,173.16,217.81,256.07,284.59,313.57,344.88,385.32,387.5,392.35,398.74,404.31,409.23,428.32,437.43,451.76,489.96,507.06
6,263.63,112.28,46.0,111.05,149.6,189.98,229.09,273.3,305.03,334.57,367.04,401.27,407.1,413.31,422.17,426.28,439.45,453.93,463.85,484.34,503.45,527.18
7,276.12,114.58,45.62,117.39,171.11,203.57,243.53,279.7,316.33,346.9,375.51,426.39,435.05,437.95,446.1,454.98,462.89,469.47,491.43,496.07,504.39,559.08
8,281.5,116.63,43.32,119.26,176.18,215.49,248.61,286.34,320.74,355.44,384.52,437.07,440.98,449.21,454.25,461.38,467.81,479.76,486.88,496.29,502.51,597.36
9,283.72,117.48,42.32,120.6,176.74,216.96,250.98,287.65,327.52,357.55,388.94,437.22,442.5,447.59,454.19,469.5,474.28,477.61,492.57,497.11,517.0,606.28
10,280.28,116.58,43.22,115.88,172.01,209.69,245.46,287.82,325.04,350.26,387.25,429.34,433.22,441.1,447.32,452.06,473.55,481.58,487.75,495.36,507.74,608.23
11,276.49,112.66,44.54,119.74,173.16,212.82,244.11,287.52,316.69,342.66,377.85,418.86,425.25,428.5,435.27,441.3,446.87,458.81,473.93,484.65,501.9,601.07
12,260.55,103.77,47.13,114.24,165.76,203.41,242.47,274.57,296.99,318.79,354.98,392.09,398.54,400.89,405.76,408.83,412.76,418.36,430.38,444.24,499.2,560.62
13,241.35,95.86,49.1,102.96,146.5,188.86,218.56,253.71,272.52,298.83,325.3,361.2,364.71,370.63,374.2,377.39,381.64,387.31,397.46,412.12,452.06,523.97
14,235.24,95.56,42.91,101.84,146.42,180.41,209.75,240.34,265.31,289.45,316.92,355.83,359.32,364.87,368.22,373.44,380.75,392.04,411.2,422.08,458.49,504.78
15,232.24,93.14,44.35,96.0,140.15,183.48,215.44,241.49,262.65,288.12,314.92,352.78,356.32,360.15,365.37,369.11,371.87,380.26,384.86,394.43,407.74,485.06
16,224.11,88.63,45.65,90.01,133.33,179.66,206.88,236.52,253.87,278.06,304.7,337.41,340.22,342.25,345.82,350.75,354.23,361.38,367.22,370.18,376.33,434.42
17,217.06,86.43,46.62,88.42,128.55,171.2,196.82,226.56,246.25,268.6,297.31,331.05,333.36,337.16,344.78,346.04,348.29,349.99,355.48,363.61,370.26,414.57
18,215.58,86.27,48.95,87.19,128.7,168.67,194.13,222.62,247.49,269.13,295.97,328.79,329.85,334.4,336.12,338.79,350.57,357.9,362.9,364.84,374.56,409.23
19,212.98,87.17,50.1,86.41,129.04,157.24,189.58,218.7,244.43,269.45,293.45,324.34,327.97,331.53,333.6,338.27,347.74,357.44,362.43,376.66,378.79,394.71
20,211.86,88.52,50.58,84.01,123.91,154.6,189.77,218.21,245.43,271.27,292.37,327.32,328.79,332.39,335.03,341.92,349.05,358.83,363.72,368.31,380.48,397.45
21,210.84,87.74,50.3,82.52,117.86,157.98,189.25,220.8,241.62,263.46,299.03,321.95,323.76,329.51,330.96,335.98,344.73,351.31,356.48,360.46,373.99,401.57
22,209.87,87.75,49.69,81.36,115.82,155.69,190.02,218.21,241.95,267.67,300.13,320.79,322.68,326.7,330.87,338.15,343.0,346.58,350.52,355.64,367.29,401.17
23,206.39,86.98,49.38,80.93,109.69,153.4,180.63,215.42,242.44,264.78,286.61,317.95,320.69,323.33,326.57,333.47,338.79,345.84,351.53,357.13,373.25,421.5
