datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,166.24,60.52,30.19,68.89,118.39,143.29,161.62,177.69,189.53,204.59,220.51,235.87,236.53,239.71,242.1,243.9,247.69,249.28,253.17,259.03,262.97,290.5
1,169.96,61.33,28.51,65.44,126.71,147.55,164.58,181.4,195.86,211.08,222.75,237.5,238.67,240.85,241.9,244.91,247.23,253.5,256.47,260.59,264.38,274.39
2,173.13,63.42,27.65,68.72,130.63,150.67,168.37,181.78,201.12,215.56,226.83,238.51,240.08,243.84,247.81,250.08,251.77,257.09,261.91,265.72,272.55,401.65
3,175.18,65.04,29.17,68.73,130.45,152.17,168.19,183.73,202.34,218.75,232.07,246.53,247.03,248.31,248.82,249.91,256.38,257.6,267.57,272.65,283.84,408.04
4,177.75,67.18,29.17,70.22,127.78,149.6,171.08,188.99,202.88,220.52,237.86,250.63,256.29,257.69,259.31,260.29,262.15,266.11,276.02,285.79,295.56,399.16
5,183.07,69.98,29.35,74.54,133.07,154.56,172.98,191.83,207.97,223.5,242.84,261.33,266.0,270.25,273.22,275.59,278.73,286.44,290.64,298.86,307.48,399.31
6,183.98,72.47,29.78,64.37,136.69,156.61,169.89,192.88,205.28,224.8,249.48,269.1,270.62,274.67,277.77,285.26,289.55,294.37,297.88,308.47,314.92,392.07
7,183.23,74.4,30.01,58.59,128.08,155.38,169.28,184.47,203.72,227.24,250.08,271.05,273.79,277.28,281.04,284.17,287.15,296.88,303.58,314.42,330.55,389.16
8,184.13,75.91,29.91,60.74,124.51,157.87,173.77,185.77,205.88,224.1,251.32,274.4,277.83,280.38,282.57,288.14,291.87,301.46,309.68,317.86,342.48,424.85
9,185.59,77.1,30.45,56.8,127.26,157.84,175.65,187.34,209.12,227.29,252.23,280.48,281.79,286.09,289.17,291.91,297.44,300.79,307.9,321.13,336.24,437.71
10,186.0,77.51,30.83,55.68,125.11,156.85,175.31,185.56,209.43,227.17,252.05,278.31,282.52,287.45,291.27,293.66,298.67,301.75,312.97,318.49,344.14,431.51
11,185.88,77.72,30.73,59.26,123.49,159.17,175.07,186.43,205.94,227.17,250.01,281.14,285.49,287.68,291.5,294.09,297.9,302.7,317.76,328.82,347.58,439.49
12,185.04,77.15,29.9,55.84,124.1,157.12,172.86,187.7,204.88,230.35,255.5,277.44,281.59,282.83,285.45,287.48,290.1,301.03,311.69,323.0,350.67,440.2
13,177.56,71.68,29.52,59.26,119.83,154.79,168.01,181.62,197.67,219.9,239.61,259.72,262.73,269.74,275.45,277.33,282.2,288.87,294.42,302.45,324.7,393.6
14,172.02,68.9,29.19,62.01,116.82,142.64,159.88,177.44,194.6,211.48,232.87,251.62,256.3,259.01,265.4,271.81,277.31,286.36,290.04,296.7,306.63,391.79
15,170.29,68.12,28.98,62.82,119.62,142.91,158.05,173.58,191.28,212.41,229.48,245.51,252.77,257.08,263.45,269.35,276.61,281.74,286.79,295.75,309.79,374.06
16,168.49,67.58,28.65,63.44,117.5,141.5,153.66,169.29,187.38,207.53,228.76,250.8,252.87,255.23,259.74,267.2,273.46,278.34,282.63,289.07,301.99,381.64
17,167.34,68.18,26.85,58.24,115.98,138.65,152.69,167.43,184.5,208.0,230.68,250.5,254.16,256.26,258.88,264.68,269.64,275.4,280.05,283.73,305.62,402.48
18,166.83,67.33,27.12,65.33,115.68,136.61,151.93,163.41,183.67,209.99,229.75,252.5,255.76,256.8,261.62,262.75,265.86,268.99,277.21,283.92,295.97,388.04
19,166.17,66.64,27.57,64.72,115.17,136.63,150.41,162.85,180.4,211.22,230.38,249.29,252.82,256.8,258.24,259.27,265.67,271.21,274.09,277.81,286.33,353.66
20,166.41,66.07,28.16,62.89,115.26,136.02,150.65,163.25,185.35,210.61,230.77,249.52,251.09,254.08,257.78,258.52,260.29,264.02,270.7,276.28,283.84,349.6
21,166.03,65.24,29.58,61.51,116.76,133.32,151.93,165.01,186.07,209.05,227.7,247.73,249.52,252.24,253.67,255.32,257.93,260.37,265.02,275.75,285.04,351.64
22,166.65,65.31,29.44,64.98,115.31,135.87,153.9,166.97,184.63,208.13,231.77,248.29,249.27,250.68,255.35,257.2,260.54,264.02,266.77,274.07,288.4,351.46
23,165.69,63.7,29.48,67.34,112.94,136.7,152.83,167.69,187.16,204.23,226.77,242.37,244.19,247.17,248.15,251.37,254.35,256.12,264.22,271.69,285.2,355.94
