datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,571.02,124.4,270.02,385.98,460.08,512.88,547.6,583.37,618.98,646.91,685.42,721.6,726.1,730.25,734.0,747.94,752.23,760.15,769.41,775.4,797.72,834.65
1,568.46,121.09,283.46,395.94,456.84,506.69,545.29,580.62,612.35,652.04,674.37,717.29,724.14,729.27,732.15,738.39,747.23,756.08,766.21,774.73,783.49,851.86
2,557.97,118.94,267.31,395.7,442.07,491.15,529.43,566.77,597.04,629.67,667.73,709.6,723.27,726.32,730.93,735.87,739.85,747.68,757.88,769.07,780.32,842.1
3,547.41,121.15,271.01,389.38,428.04,469.61,515.29,553.9,580.23,620.4,664.08,710.92,716.28,723.05,727.18,739.54,743.54,755.73,762.6,773.15,781.09,816.97
4,540.14,124.59,274.46,377.61,425.57,458.23,502.48,533.54,576.61,609.55,659.98,711.31,715.95,727.64,733.46,737.38,743.98,762.14,769.46,775.43,791.78,830.44
5,539.54,123.83,276.33,385.07,430.56,460.66,497.78,525.86,567.52,603.6,661.89,713.2,720.24,732.09,737.34,738.09,756.05,768.72,773.8,783.76,809.99,850.63
6,542.13,122.92,289.97,391.79,430.26,467.9,497.18,531.11,562.55,608.84,654.31,714.1,723.4,726.71,734.29,749.57,757.57,765.29,781.34,803.22,820.04,849.03
7,545.85,123.86,292.92,391.69,443.28,470.36,498.43,532.21,570.57,612.42,651.97,716.64,724.08,732.36,744.04,756.88,772.44,777.95,790.2,807.03,834.06,865.21
8,550.39,124.55,292.59,392.98,449.95,470.05,504.89,540.09,570.61,606.09,661.25,724.83,738.28,749.84,758.97,764.62,767.96,778.6,793.56,818.03,833.91,867.56
9,556.56,126.37,294.68,394.29,444.75,479.67,515.56,542.43,577.71,623.0,674.12,739.2,746.18,752.53,756.94,764.75,768.57,782.24,793.2,821.01,832.5,896.74
10,564.02,128.44,279.21,400.31,456.11,492.89,518.83,546.32,590.55,631.44,685.79,746.58,757.17,767.49,769.08,772.41,781.14,785.25,804.76,811.34,836.47,892.1
11,572.36,129.86,277.37,408.11,465.05,501.68,526.56,559.64,598.09,637.58,696.93,759.58,765.63,774.3,776.36,779.87,789.05,796.59,808.38,827.34,842.68,886.98
12,579.32,130.57,271.0,408.31,471.54,505.75,543.27,575.89,613.59,650.61,700.83,758.34,763.25,773.26,784.14,788.31,793.7,802.37,810.36,825.47,838.49,901.59
13,577.38,127.38,281.17,394.64,469.81,512.48,548.24,579.09,609.02,660.41,697.72,745.74,750.33,753.78,760.25,768.22,776.34,781.95,789.78,798.25,811.24,836.43
14,570.66,123.46,295.55,390.53,459.64,508.9,541.42,578.59,613.05,650.49,690.98,722.59,729.61,740.7,746.93,756.69,761.43,768.32,773.19,782.23,788.93,804.59
15,560.53,122.47,279.87,381.04,440.83,496.62,533.52,571.87,600.69,637.1,680.39,721.15,724.54,729.44,731.48,741.65,746.52,752.51,760.74,771.34,786.72,802.23
16,555.51,124.32,277.31,380.63,432.11,484.1,524.06,566.21,602.2,636.37,672.65,720.13,723.17,727.69,731.61,736.56,744.55,750.37,755.7,764.85,769.66,799.8
17,554.31,126.57,283.11,365.13,430.13,478.39,523.34,564.81,608.72,641.89,672.33,719.95,724.44,726.69,729.6,738.9,742.53,744.45,753.31,756.52,766.92,819.57
18,554.08,127.17,282.1,375.63,432.68,474.08,524.51,572.55,610.38,647.76,674.87,709.92,716.42,724.86,728.96,731.48,735.82,739.64,742.6,749.1,761.34,793.52
19,552.97,126.33,274.59,370.31,430.22,467.72,519.97,559.62,619.19,646.17,673.5,710.18,712.83,718.45,724.34,728.9,732.54,735.82,741.42,748.38,761.04,786.32
20,550.11,125.17,273.4,368.98,435.63,465.84,515.53,556.31,605.02,639.95,672.17,705.98,711.58,715.42,719.75,723.36,728.94,736.62,740.58,754.85,767.83,793.13
21,548.66,124.04,264.14,377.43,430.89,474.49,508.32,553.99,603.41,638.7,667.92,703.59,707.01,711.86,713.87,722.22,728.45,731.77,744.47,767.68,776.45,786.32
22,550.57,126.21,253.81,376.18,425.79,477.28,517.64,561.78,600.44,642.48,671.83,703.79,710.98,713.91,718.36,722.96,728.16,734.08,749.37,764.74,785.18,800.39
23,562.04,127.99,246.32,375.75,444.15,491.83,534.54,575.81,613.26,649.07,681.36,716.41,719.01,728.66,736.77,743.44,751.79,759.26,766.18,775.97,797.91,815.54
