datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,120.92,47.59,37.67,60.4,73.56,82.82,98.36,121.79,139.21,151.05,163.43,189.46,191.34,193.49,196.5,200.53,201.96,203.9,205.22,210.31,219.44,228.7
1,118.3,47.09,37.78,59.75,71.11,81.18,94.89,118.78,134.89,147.65,162.7,185.25,189.93,190.73,194.58,197.21,199.72,201.57,203.06,207.58,210.77,228.81
2,119.15,48.75,37.62,58.76,71.46,82.94,95.6,116.29,135.88,150.51,165.27,189.58,192.63,195.94,200.37,202.91,204.09,206.22,208.76,212.12,215.91,230.86
3,120.92,51.02,37.44,57.13,71.32,83.53,97.74,114.87,135.97,151.65,167.13,192.7,202.37,203.94,208.25,212.09,214.0,216.62,219.09,226.21,229.7,240.69
4,123.94,53.41,37.95,58.24,73.46,84.69,99.03,117.94,138.88,156.11,172.0,201.51,207.46,209.23,218.51,222.82,228.68,232.19,233.59,237.38,241.47,246.96
5,130.65,58.2,39.57,59.42,77.55,88.68,103.26,120.09,142.21,163.3,181.65,215.59,218.91,224.68,229.14,236.81,247.58,250.48,256.97,261.25,262.87,274.14
6,135.66,62.45,40.88,59.18,80.26,89.04,105.55,124.63,149.03,172.43,189.11,218.07,233.14,235.18,244.57,251.44,259.98,269.44,271.55,278.16,280.2,283.68
7,138.11,65.27,43.21,56.69,81.1,91.67,106.72,124.06,149.31,173.28,195.46,232.06,236.25,244.07,248.23,252.53,266.93,275.03,278.99,286.78,297.1,305.36
8,140.98,67.32,46.35,57.05,80.36,94.64,108.01,128.11,153.83,175.24,200.38,235.96,241.78,250.89,254.05,258.23,273.96,283.34,286.2,300.96,305.31,314.86
9,142.82,68.56,47.1,56.49,81.35,97.93,110.04,127.64,155.6,178.51,202.93,236.85,242.8,251.76,255.82,263.51,282.19,290.31,292.38,300.34,310.32,323.39
10,143.24,69.05,46.58,56.86,82.18,97.63,111.17,126.38,155.88,178.94,203.46,236.8,248.5,254.08,256.44,260.0,286.71,289.48,294.36,301.16,311.07,322.42
11,141.7,68.43,44.73,57.27,80.55,95.3,110.99,124.73,155.87,177.29,203.99,237.06,242.94,246.6,254.91,260.09,275.25,285.81,290.92,297.54,305.87,314.21
12,136.31,65.11,40.82,54.9,75.95,91.01,104.9,119.61,152.68,173.5,198.37,227.46,229.56,240.37,245.4,249.84,259.51,265.68,277.7,283.75,289.06,308.3
13,128.03,59.0,40.88,53.99,74.84,86.17,97.91,115.05,142.11,158.68,180.22,210.02,217.56,222.18,228.66,231.85,236.45,242.61,251.88,258.88,271.38,295.42
14,125.08,57.06,39.5,55.77,73.82,83.51,99.16,117.45,136.24,153.13,170.11,206.18,212.55,215.99,227.51,232.4,237.06,243.63,249.11,253.63,264.32,286.25
15,126.27,57.9,38.2,56.4,74.91,85.1,100.15,117.35,137.25,150.8,171.7,211.7,218.96,223.31,230.15,236.67,242.78,249.27,252.54,259.91,266.84,279.46
16,127.23,57.66,38.53,58.71,75.61,85.13,101.48,116.8,140.05,152.5,175.97,211.78,217.66,225.13,229.7,235.98,241.52,246.83,251.79,255.93,264.82,270.01
17,128.31,57.39,38.3,59.85,75.64,87.35,103.39,117.75,142.02,155.93,180.41,211.48,217.51,224.26,225.07,232.64,238.64,248.97,250.79,255.17,259.04,277.9
18,129.91,57.27,38.43,62.14,76.39,88.5,104.97,121.6,142.99,160.0,182.47,212.6,215.67,222.78,225.41,231.06,236.65,246.2,250.43,256.02,257.94,278.04
19,131.27,56.64,39.7,61.92,77.33,89.53,104.31,124.53,144.83,163.88,183.38,213.42,219.4,221.16,222.83,227.82,233.19,243.22,246.65,250.64,257.7,275.04
20,132.57,56.57,40.27,62.11,78.72,92.9,107.26,127.39,146.36,164.91,184.8,212.3,215.93,219.79,221.17,227.49,229.32,241.78,246.42,251.88,257.82,272.97
21,132.78,56.02,40.43,61.62,78.19,93.64,106.67,131.27,147.41,164.67,186.81,212.15,214.2,217.82,220.17,223.63,228.47,237.47,241.29,245.61,252.7,267.5
22,131.96,54.91,39.22,63.3,78.13,93.12,106.75,129.77,149.35,165.15,184.17,207.95,210.29,214.21,217.65,221.35,226.27,231.06,235.69,238.33,249.37,256.37
23,127.29,51.26,37.74,60.94,77.0,89.37,104.21,125.95,145.72,157.06,173.83,197.54,202.36,204.29,207.31,209.82,215.84,220.6,224.43,228.41,234.44,245.25
