datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,56.06,19.89,24.75,32.19,39.03,43.16,47.36,52.33,57.98,63.81,74.62,85.54,86.17,88.43,90.05,91.81,92.74,94.03,95.7,98.73,104.09,115.24
1,54.26,19.33,24.73,31.26,37.37,41.65,45.54,50.87,55.89,62.06,73.19,82.87,84.32,86.05,86.6,87.76,89.87,91.54,94.18,96.0,102.27,107.15
2,55.07,20.73,24.67,31.12,36.79,41.88,45.54,50.43,56.05,64.4,75.31,86.83,87.88,88.68,91.46,92.64,94.74,95.81,97.18,99.67,106.55,113.46
3,56.93,22.13,24.64,31.4,38.06,41.99,47.22,52.42,59.53,66.66,77.19,90.87,92.35,94.01,95.52,97.5,98.83,100.58,102.87,105.08,109.7,119.26
4,59.76,24.11,24.68,32.08,38.77,43.29,48.25,54.13,63.45,71.55,81.94,95.19,97.12,98.48,99.54,102.08,105.17,108.41,109.8,113.05,119.12,134.29
5,67.01,30.85,24.91,33.39,41.2,45.33,50.82,57.71,72.35,81.82,92.12,111.96,116.87,119.21,120.19,123.51,127.19,130.19,135.33,141.95,152.91,162.97
6,73.36,36.43,24.79,32.55,41.45,47.41,52.44,61.35,79.29,92.19,106.49,126.26,129.35,132.36,135.08,140.74,142.51,147.62,153.33,157.1,163.46,175.08
7,76.7,40.02,24.44,32.46,41.36,47.44,53.49,62.59,85.11,97.75,113.7,138.38,141.49,143.7,146.64,150.54,157.0,158.89,163.13,167.38,170.01,178.27
8,78.58,42.29,24.25,31.46,40.39,47.08,54.91,62.93,85.79,102.83,119.32,142.45,143.88,146.77,149.93,158.02,160.61,163.04,167.86,172.32,178.71,186.15
9,79.58,43.64,24.25,31.56,39.59,47.17,54.62,64.77,87.07,102.74,121.57,146.05,147.36,152.38,154.49,157.64,162.14,171.48,173.77,175.37,179.69,189.88
10,79.45,43.82,24.07,30.66,39.21,46.65,54.37,63.27,86.43,100.98,122.36,147.07,148.83,150.63,154.06,157.93,161.02,168.88,174.25,177.1,178.02,184.45
11,78.1,42.87,24.28,31.38,39.13,46.18,53.16,62.17,84.71,100.95,121.32,142.9,144.86,148.71,150.19,156.14,157.68,165.88,169.74,171.18,174.21,183.33
12,73.92,39.25,24.31,30.87,38.4,45.03,50.27,59.7,80.7,94.06,114.1,132.26,132.81,133.77,134.93,141.97,144.18,148.63,156.39,161.28,164.71,181.88
13,64.92,30.87,24.1,29.77,37.31,43.93,48.75,55.88,67.66,80.1,93.35,106.61,108.02,111.32,112.64,114.31,119.23,122.5,125.55,144.13,156.47,177.52
14,63.05,29.11,24.49,31.18,38.53,43.78,48.72,56.1,64.44,77.29,86.73,101.37,102.14,102.84,105.53,108.96,117.26,119.6,121.96,139.47,157.82,171.57
15,65.16,30.14,24.66,31.3,39.53,44.66,51.02,57.57,67.39,79.18,88.99,106.51,108.43,110.97,112.96,118.42,122.26,128.86,133.72,138.34,155.4,176.94
16,66.51,30.36,24.77,31.68,40.6,46.16,51.84,59.05,67.5,79.37,94.11,110.77,112.39,114.09,117.53,120.04,124.01,128.44,130.95,135.47,148.1,174.62
17,67.05,30.46,24.79,31.94,40.77,47.12,52.59,59.4,67.56,78.79,95.76,111.86,113.92,116.28,117.27,118.03,123.25,128.05,132.22,134.45,139.3,177.58
18,67.7,30.32,24.84,31.97,41.21,48.25,53.84,60.25,67.67,82.39,98.25,112.18,115.85,117.91,119.52,121.35,123.42,126.06,130.79,133.91,139.79,161.94
19,67.94,30.18,24.83,32.7,41.86,48.63,54.67,59.76,67.46,80.5,97.12,115.06,116.57,118.36,119.22,121.22,123.56,126.68,129.55,134.43,141.99,155.04
20,68.14,30.63,24.72,32.08,42.35,50.04,54.16,59.18,66.49,79.7,98.48,116.94,117.82,118.58,120.64,122.91,123.54,128.47,132.03,135.9,144.16,153.6
21,67.78,30.65,24.67,31.9,42.21,50.09,53.92,58.25,66.0,78.08,100.29,117.12,119.16,120.57,121.82,123.18,125.88,127.26,132.51,135.9,140.01,152.29
22,66.37,29.59,24.66,32.39,42.03,48.57,52.7,57.6,64.21,76.29,96.06,114.45,116.45,118.43,119.05,120.77,123.01,124.82,126.67,131.37,135.34,138.5
23,61.76,25.1,24.73,33.57,40.91,45.83,51.13,55.42,61.59,70.12,86.06,100.3,101.88,103.12,105.76,107.42,107.86,109.94,112.34,118.89,123.76,137.07
