datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,758.72,67.46,575.48,673.39,700.52,723.3,739.6,757.73,773.33,793.83,817.65,852.4,854.1,858.37,862.2,863.59,868.86,875.35,882.02,884.66,903.51,928.12
1,757.03,64.52,605.58,678.0,699.77,718.22,734.05,755.66,772.19,787.79,815.56,848.58,849.77,854.33,855.83,860.5,866.74,869.52,875.68,890.09,901.14,915.68
2,752.27,64.17,617.51,673.95,695.95,713.56,728.03,742.68,763.46,786.56,812.96,848.27,851.37,856.14,858.71,863.47,869.7,871.48,872.89,881.98,889.58,917.56
3,748.82,66.16,608.74,669.54,691.7,706.98,723.66,740.48,760.14,780.21,807.11,847.12,850.01,859.56,864.81,866.88,869.67,876.71,880.87,883.33,896.13,936.37
4,750.74,69.79,591.39,668.36,691.35,707.6,725.98,738.98,758.73,787.66,814.1,849.99,857.2,861.96,865.79,867.51,877.92,885.42,892.25,899.2,917.19,950.37
5,761.41,72.98,591.37,671.17,698.49,716.54,734.26,756.17,776.44,799.91,824.17,861.69,864.43,872.15,878.29,885.59,891.13,902.29,904.27,922.16,931.29,961.64
6,768.47,73.87,581.4,673.35,707.45,728.65,745.19,764.4,784.63,810.33,829.17,860.42,865.09,868.42,887.7,893.57,900.15,909.43,915.57,922.06,943.61,963.19
7,773.99,73.4,603.47,682.14,713.4,732.25,753.62,770.57,790.92,811.47,835.76,867.97,869.39,877.15,884.85,895.33,905.81,913.03,922.02,934.26,943.18,969.73
8,777.1,75.97,590.71,688.92,710.85,730.9,754.2,771.45,793.37,818.12,843.43,876.87,886.39,891.12,893.98,899.36,913.38,922.51,929.53,937.56,952.17,970.51
9,780.23,77.1,578.64,689.56,715.2,732.63,755.79,774.75,799.51,822.72,846.02,884.64,889.79,894.49,898.83,902.77,911.86,924.14,929.33,939.6,953.13,975.51
10,785.39,76.1,595.91,688.18,716.87,742.87,763.71,785.37,805.85,828.79,850.98,884.48,892.13,894.79,900.43,904.45,913.46,918.33,928.08,936.13,952.71,981.66
11,789.03,74.57,610.61,690.36,719.63,746.64,767.11,794.35,810.31,830.31,856.29,882.09,893.56,894.96,898.45,902.54,904.97,913.6,925.09,935.14,950.9,964.59
12,791.13,70.82,606.43,697.01,728.04,751.93,774.24,793.26,813.37,834.0,854.47,880.16,881.55,883.66,887.03,893.55,896.66,904.33,912.08,931.09,938.28,958.96
13,784.93,68.53,599.88,685.79,725.97,752.89,770.17,787.71,805.17,826.51,844.47,867.37,869.32,877.21,880.67,885.41,888.12,898.43,903.73,912.32,924.49,943.28
14,783.12,69.72,567.02,683.06,727.46,752.26,767.4,784.44,805.17,824.18,843.57,866.11,874.48,877.72,880.12,882.05,888.47,901.91,906.08,918.8,926.2,947.48
15,776.87,72.24,547.59,681.8,718.77,737.01,758.53,778.67,797.82,820.54,841.44,865.25,866.61,871.29,874.24,880.28,885.82,895.36,904.41,917.34,924.06,939.6
16,774.2,73.75,520.46,675.6,709.91,734.05,758.48,777.98,795.39,817.68,840.22,871.78,873.67,875.52,876.83,880.99,884.12,894.23,901.9,915.84,923.7,935.13
17,771.55,74.69,514.71,674.98,705.35,730.27,751.99,773.61,791.17,812.96,839.39,873.21,876.31,879.6,880.71,884.37,889.32,890.53,901.53,909.03,920.69,935.61
18,768.13,76.84,519.17,664.4,699.31,725.36,750.56,770.98,792.43,811.41,839.79,869.85,874.92,876.62,881.28,885.45,891.49,896.9,900.64,902.58,918.81,932.15
19,765.4,75.98,547.1,664.15,696.36,725.1,746.54,767.95,786.02,806.23,832.31,862.61,867.16,878.32,881.16,886.82,889.32,892.19,900.91,910.48,919.8,930.12
20,759.27,75.31,557.43,658.02,684.44,720.33,744.09,759.67,781.14,800.33,821.93,859.99,864.39,869.9,875.18,881.48,885.56,888.49,898.5,904.48,908.13,926.65
21,754.81,73.62,548.44,655.53,686.24,712.38,737.48,758.93,775.57,796.5,818.26,856.07,860.19,862.26,867.84,872.41,875.21,882.26,890.45,896.4,905.73,926.43
22,753.84,71.25,546.38,662.83,693.34,713.0,732.67,751.57,769.03,792.22,820.02,850.05,853.34,855.26,861.34,868.81,871.9,876.04,884.22,892.67,912.77,925.17
23,756.2,69.86,554.1,667.58,696.96,720.58,736.04,755.71,769.68,791.94,815.94,855.97,857.36,858.94,862.66,866.11,870.45,875.47,883.57,890.87,902.67,931.96
