datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,295.65,28.36,227.72,261.38,270.54,279.52,286.26,292.73,298.88,307.92,321.3,335.52,337.39,339.45,342.8,345.69,348.25,350.66,353.17,357.18,362.5,374.11
1,291.89,28.37,221.11,257.46,268.01,275.59,283.68,288.72,296.33,304.66,316.89,330.31,332.74,334.3,338.3,343.29,345.52,346.95,349.86,353.82,361.0,370.33
2,285.16,28.12,211.63,249.72,261.22,268.81,277.02,282.55,290.87,298.43,310.92,322.8,323.82,327.82,329.85,331.75,334.03,335.29,341.43,345.24,351.95,362.1
3,279.79,28.53,199.95,243.05,255.67,263.39,270.96,277.63,286.6,292.59,306.59,318.27,320.13,322.44,324.18,326.69,329.27,331.34,335.02,338.9,343.06,356.6
4,273.72,28.69,194.63,238.33,248.5,258.37,266.2,271.96,278.81,285.54,298.7,313.27,314.69,316.16,317.13,319.19,324.73,325.87,332.82,334.74,343.22,349.94
5,269.8,29.25,196.28,235.03,244.91,253.63,260.5,267.56,275.08,282.73,294.94,308.84,311.92,313.76,316.19,318.55,320.97,324.94,328.45,331.77,340.08,352.14
6,267.16,29.04,185.4,230.83,243.2,250.89,257.72,264.9,272.74,281.17,291.71,306.01,307.91,311.27,313.69,315.51,318.56,320.66,322.89,328.69,333.67,345.44
7,265.84,29.41,183.51,230.02,240.91,250.12,256.7,262.99,272.06,279.76,292.42,307.0,309.2,310.71,311.96,316.56,318.2,322.11,324.69,325.64,331.42,349.14
8,266.21,29.11,188.5,230.26,239.89,250.52,257.48,263.96,272.45,279.74,290.36,306.76,308.87,310.65,311.18,316.29,319.24,320.61,323.8,329.14,331.04,348.57
9,268.38,28.51,190.08,233.23,245.23,252.86,259.52,266.81,274.84,282.41,290.25,308.49,309.6,310.68,313.55,314.96,317.21,321.03,326.69,328.5,331.99,350.01
10,272.59,27.99,196.66,239.16,250.39,257.3,263.58,271.75,278.04,286.08,295.65,308.52,309.91,312.28,315.19,319.02,321.95,325.96,328.16,330.25,338.08,360.81
11,277.59,28.17,198.26,241.09,254.61,262.63,268.74,277.05,284.87,291.83,300.28,313.26,314.26,317.64,321.26,322.57,325.43,329.0,332.02,334.88,346.69,366.22
12,282.13,28.93,203.64,245.21,258.38,265.21,274.07,281.72,289.82,296.07,306.75,318.55,320.2,320.84,325.26,326.7,329.48,335.9,339.13,343.47,352.25,366.92
13,283.94,29.32,212.88,244.63,259.76,267.13,275.43,283.32,289.99,298.02,309.13,324.61,325.33,326.43,327.69,329.62,333.6,338.81,342.14,347.17,351.19,361.57
14,283.25,30.63,193.82,244.19,258.19,265.91,273.9,282.41,290.45,297.83,310.33,324.84,326.66,329.2,330.59,334.07,337.73,339.23,342.03,346.44,351.46,360.47
15,282.66,32.2,184.69,243.32,255.74,265.17,272.64,280.08,289.58,299.26,309.68,327.1,328.89,330.89,332.86,334.17,337.8,342.71,346.59,350.75,354.08,366.05
16,282.86,32.55,184.0,241.77,256.21,265.15,271.96,280.26,290.95,301.09,310.78,327.38,329.27,331.35,332.32,334.05,335.81,340.97,347.55,353.64,358.0,368.03
17,282.73,32.5,183.87,241.86,256.57,263.9,273.05,280.46,290.14,300.38,311.23,326.26,329.03,329.78,331.78,334.33,336.61,341.97,348.33,351.42,356.51,365.6
18,282.94,32.33,183.98,241.24,256.77,264.65,273.16,281.57,290.42,299.71,310.96,326.29,328.61,330.75,331.51,333.09,335.98,338.15,342.8,349.94,354.35,372.21
19,284.05,31.28,192.98,244.72,257.14,266.45,274.9,282.63,289.65,301.07,312.47,327.09,328.38,329.88,331.74,334.32,335.86,338.13,344.34,347.12,350.86,370.76
20,287.92,29.98,214.93,251.5,263.11,270.5,279.75,286.73,293.42,303.52,314.13,328.53,330.38,333.01,334.33,336.02,338.96,342.76,347.36,348.97,352.77,366.75
21,292.5,28.67,224.23,255.76,267.83,277.03,284.1,290.72,298.26,307.31,317.99,331.92,334.47,336.44,339.24,340.93,342.3,345.55,346.9,350.51,353.96,368.94
22,296.05,28.21,224.48,260.22,271.34,280.89,286.96,293.69,299.84,311.25,320.41,334.69,337.83,340.83,342.47,343.48,346.07,348.86,351.18,353.79,360.75,369.32
23,297.46,28.62,225.66,261.17,273.52,281.68,287.56,293.89,301.34,311.11,322.66,338.83,340.86,341.6,344.46,347.75,350.2,351.31,353.83,358.29,364.06,373.76
