datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,472.87,28.76,384.27,437.51,446.59,452.62,463.15,471.87,481.07,490.43,499.15,509.18,510.78,514.95,517.08,519.04,520.73,523.47,526.44,533.47,536.41,542.42
1,476.67,29.81,387.89,440.58,449.45,457.35,466.02,476.09,485.65,494.95,504.21,514.47,515.53,518.13,520.97,523.85,527.32,529.05,531.74,534.75,541.16,551.0
2,479.8,28.75,396.87,443.59,454.28,461.97,470.33,478.57,487.35,496.41,505.32,517.97,518.62,519.22,523.87,528.59,530.02,531.81,533.68,537.82,541.64,552.97
3,479.58,28.38,394.97,443.79,455.91,463.8,469.65,478.94,486.48,492.74,502.83,516.85,520.33,521.48,526.68,528.04,532.68,534.03,535.9,539.94,543.99,564.25
4,475.95,28.69,397.1,442.56,453.17,460.62,466.47,473.62,481.24,488.24,496.59,514.52,516.32,518.3,522.13,525.58,526.88,534.74,536.52,540.94,544.21,576.98
5,471.72,28.8,388.48,438.23,450.63,456.83,461.85,469.77,475.94,482.81,491.95,512.69,512.99,514.56,515.76,521.02,522.45,528.93,531.97,536.65,543.79,585.41
6,468.84,28.64,372.61,435.74,448.5,454.36,460.12,467.01,472.19,481.28,488.93,508.5,510.59,512.46,513.32,516.81,519.58,522.51,527.67,535.74,539.61,551.89
7,467.98,28.94,365.88,433.27,447.31,453.53,458.88,466.46,472.77,480.35,489.47,506.92,508.39,512.06,514.98,516.97,519.85,524.93,528.11,531.59,541.53,552.92
8,467.77,29.15,362.13,433.12,445.92,453.58,458.69,466.14,471.9,480.24,489.45,507.75,510.41,512.81,514.58,517.34,518.47,526.65,529.64,532.7,544.98,552.5
9,468.53,28.44,360.71,434.24,447.27,453.92,459.06,467.12,473.41,480.3,490.51,505.99,509.62,512.77,514.09,516.43,519.02,525.55,528.62,533.15,539.96,550.73
10,468.59,26.89,359.66,434.9,449.21,454.93,460.52,468.13,474.58,480.43,490.14,504.04,507.41,508.1,510.65,512.3,515.44,517.55,520.74,527.19,535.21,547.4
11,466.59,25.56,363.9,434.53,445.64,454.39,460.46,465.65,471.96,479.67,488.59,499.46,500.88,502.87,504.98,505.75,507.05,509.16,512.79,519.19,523.95,542.84
12,458.57,27.12,367.42,422.64,436.15,446.94,452.77,458.46,465.95,471.94,479.92,492.53,494.82,496.5,498.57,500.97,502.89,505.14,509.3,515.46,519.39,540.76
13,448.93,29.23,356.65,408.74,424.86,435.03,443.3,449.14,458.49,464.88,473.28,483.44,484.45,488.28,490.52,491.46,496.53,499.62,502.99,506.55,511.57,527.31
14,444.81,30.25,348.87,403.85,418.94,430.51,438.32,445.03,453.64,461.07,471.27,480.0,481.54,483.05,485.96,489.75,492.59,496.27,501.15,506.5,511.56,518.55
15,444.36,31.91,347.74,403.21,417.63,429.55,437.11,445.36,454.54,463.42,470.81,482.74,483.7,486.73,490.64,492.33,495.89,499.08,500.12,507.02,512.78,522.31
16,444.58,32.85,350.75,404.38,418.0,428.88,437.54,445.2,454.09,464.0,472.04,483.83,485.2,488.09,492.68,495.22,499.66,502.27,505.52,507.04,514.01,523.32
17,444.64,33.19,351.75,403.11,417.51,427.79,435.56,446.35,455.18,465.93,473.07,485.85,487.16,489.01,492.4,495.16,497.61,499.13,501.36,507.77,515.77,526.96
18,444.29,32.89,353.3,401.93,417.46,428.61,436.44,446.99,455.0,462.19,472.92,484.04,485.05,488.8,490.66,493.61,496.4,499.82,501.11,505.56,513.69,530.22
19,443.81,32.27,357.39,401.98,416.09,429.85,435.85,446.4,453.45,461.51,468.95,481.82,483.28,484.79,487.94,492.46,497.98,501.09,502.96,506.56,513.78,531.96
20,444.87,31.83,354.51,404.64,417.22,429.51,440.01,445.88,453.07,461.58,469.9,483.32,483.94,486.16,487.84,495.05,498.96,503.21,503.83,514.25,517.71,532.36
21,450.2,30.79,360.82,412.0,424.71,436.58,445.0,450.08,457.09,465.39,472.78,489.31,490.81,491.92,492.92,495.66,501.69,507.93,511.94,518.43,526.48,535.88
22,459.79,29.1,379.87,422.36,437.46,445.86,451.73,458.52,465.41,472.7,480.33,497.75,499.88,502.17,504.77,506.75,511.57,518.91,522.68,527.12,531.77,539.69
23,468.18,27.41,408.33,433.4,443.14,450.21,458.5,468.06,474.22,481.54,491.91,506.03,507.81,509.47,510.98,512.01,516.72,519.89,523.72,528.34,532.23,543.71
