datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,456.37,59.38,289.54,358.91,407.32,442.37,457.8,469.54,477.05,486.49,498.97,517.78,521.65,530.5,537.45,541.75,550.99,556.12,559.08,561.21,565.15,571.14
1,482.12,44.91,341.34,415.01,444.12,464.98,478.32,489.16,495.75,503.05,512.97,532.55,536.27,541.86,550.29,557.17,560.98,563.75,569.8,573.88,577.03,587.74
2,491.73,41.51,365.56,433.05,456.36,472.75,484.52,500.23,506.97,513.99,522.08,539.21,541.25,545.78,553.09,556.88,562.13,564.55,570.99,575.08,580.18,587.57
3,493.17,42.15,357.37,433.35,458.57,472.21,487.36,502.26,510.88,516.56,523.05,538.29,546.42,549.5,553.85,558.41,562.77,566.5,570.11,581.58,582.89,586.73
4,494.22,43.19,360.17,433.92,457.62,475.56,486.84,502.73,512.79,519.58,524.77,541.94,544.75,554.68,557.18,559.59,563.78,570.01,572.82,576.79,580.33,603.05
5,494.52,44.39,362.45,433.26,455.38,474.33,486.63,500.49,512.72,521.25,529.24,545.31,548.58,552.5,555.38,559.62,565.66,571.54,575.15,578.07,583.18,602.49
6,492.59,45.82,368.06,429.98,451.87,469.7,484.45,497.46,510.2,520.91,527.91,547.97,549.06,553.51,555.93,558.12,564.89,571.33,573.71,580.63,585.2,593.16
7,490.77,47.22,349.68,427.76,446.34,468.1,483.67,495.92,509.13,518.66,529.4,545.42,546.51,550.56,556.28,558.41,562.23,570.26,572.8,579.37,584.72,597.32
8,487.71,49.32,351.79,419.0,444.93,463.76,481.48,493.17,504.85,518.18,529.31,547.83,550.73,552.46,555.67,558.63,561.8,567.06,572.27,574.51,580.73,593.4
9,486.29,51.2,351.54,418.26,440.33,462.05,480.87,493.06,503.38,517.12,529.64,550.8,552.45,554.69,557.04,559.11,562.33,565.58,569.18,572.22,578.03,592.07
10,485.93,51.45,352.38,417.02,438.9,461.53,479.45,493.16,504.09,516.94,529.3,551.85,553.73,554.53,557.01,560.59,561.36,564.09,568.47,574.51,580.1,599.76
11,486.27,50.37,357.47,423.07,441.77,460.88,480.39,493.24,504.32,515.77,528.67,548.56,551.48,553.82,554.85,558.61,560.02,564.45,566.51,572.06,577.43,594.01
12,487.39,48.47,362.67,422.9,440.3,464.31,480.51,493.68,504.49,515.44,527.99,548.85,549.63,550.67,553.35,557.52,562.34,564.22,565.68,569.64,575.07,592.76
13,482.43,48.38,358.7,415.26,439.49,461.2,477.36,486.77,494.98,509.59,523.24,545.66,550.28,552.08,554.5,556.15,559.4,563.54,565.71,569.04,575.32,595.59
14,460.4,56.35,306.05,375.54,409.53,434.75,455.83,469.23,481.96,491.75,506.03,529.72,536.88,538.79,540.76,545.75,548.56,549.51,551.32,555.59,562.63,572.63
15,432.12,60.8,276.28,340.05,372.16,408.61,426.78,447.68,459.79,469.35,479.86,505.62,508.69,509.65,511.14,512.83,515.51,518.7,525.43,529.85,537.26,559.62
16,414.54,63.39,249.8,314.66,357.99,387.25,413.48,426.76,443.17,454.1,465.8,487.01,489.81,491.84,495.22,498.41,503.08,504.86,508.83,514.06,521.6,547.57
17,407.8,66.27,230.38,298.95,355.38,381.38,403.78,422.19,435.26,452.83,463.29,481.12,484.43,487.79,489.26,490.52,495.74,502.35,504.12,510.82,518.41,532.97
18,405.89,68.02,223.56,301.47,351.15,378.04,402.9,419.86,437.0,453.95,463.07,478.95,481.58,483.72,486.22,490.22,495.43,500.68,502.63,506.96,515.45,531.64
19,406.78,69.63,219.08,299.42,343.2,381.26,406.82,422.96,437.58,454.77,467.61,479.39,480.38,481.62,485.32,491.08,495.8,500.67,506.09,509.87,511.66,538.4
20,407.23,70.46,207.91,301.99,343.11,376.8,407.57,425.52,438.55,457.31,467.99,480.94,481.51,482.69,483.6,487.93,493.88,498.38,502.77,507.68,513.04,539.66
21,409.14,70.02,204.63,304.9,344.69,378.48,408.73,428.4,444.71,458.37,468.68,482.03,483.18,484.22,485.48,486.61,491.43,496.27,502.64,507.12,515.24,556.24
22,415.24,67.72,202.39,315.19,355.23,390.36,413.54,432.88,448.86,463.5,472.56,484.15,485.43,486.24,488.21,489.35,492.46,498.68,501.94,507.93,519.1,567.3
23,430.47,66.35,225.54,327.3,366.92,414.91,434.74,449.35,462.73,471.1,479.34,496.62,500.44,501.1,507.6,511.11,512.3,518.23,525.25,530.85,536.07,561.94
