datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,608.72,60.94,449.1,526.68,554.1,574.72,592.8,609.77,628.41,648.07,661.87,679.51,685.72,687.38,688.73,691.52,696.63,713.74,723.24,739.99,752.3,775.88
1,629.9,51.94,497.52,558.9,586.81,604.36,619.14,634.6,642.68,658.52,672.72,696.34,697.81,699.89,703.07,710.9,711.56,716.28,719.82,729.23,733.72,761.59
2,633.74,52.12,482.26,560.49,593.71,609.75,624.16,637.71,651.2,664.02,676.47,697.34,699.98,702.49,706.58,708.48,710.06,713.18,718.29,723.27,742.47,762.37
3,633.05,53.76,483.53,557.98,589.68,607.42,622.71,635.82,649.15,669.2,679.36,700.22,703.57,706.61,708.2,710.4,714.23,719.15,722.99,727.3,740.9,747.78
4,634.3,56.91,477.98,553.87,584.65,605.39,624.01,639.45,653.19,670.81,686.71,706.22,708.63,711.35,711.83,713.84,716.72,721.65,724.35,731.44,736.06,764.1
5,638.08,58.86,470.89,553.78,590.96,611.8,627.62,643.49,658.56,674.33,691.13,711.35,713.73,715.02,717.47,719.45,721.13,726.17,731.26,739.86,747.63,791.5
6,638.97,64.03,472.38,546.9,584.77,606.46,628.15,644.67,659.93,677.31,693.5,719.87,722.09,724.78,728.08,733.78,735.34,738.33,743.3,747.56,759.81,804.5
7,641.41,67.88,457.8,546.93,581.07,605.19,628.29,647.25,666.72,680.72,701.1,726.54,730.6,732.43,736.65,737.67,743.25,748.51,754.63,757.91,770.65,809.06
8,644.64,70.05,440.02,551.12,583.56,607.02,629.51,647.46,670.37,687.45,709.23,729.6,733.49,735.03,740.77,746.52,751.56,757.69,762.83,769.28,774.26,825.02
9,647.95,72.31,434.53,544.07,585.89,611.38,634.09,651.42,673.35,693.6,713.86,736.76,738.5,741.46,744.57,750.97,753.77,761.84,768.76,775.5,784.72,819.53
10,650.45,72.51,436.47,547.32,587.26,617.17,636.57,657.98,673.34,694.47,717.02,739.79,743.05,745.27,748.51,750.85,755.79,766.97,769.24,779.59,787.84,803.81
11,651.36,70.35,440.19,550.61,590.43,618.82,638.94,656.03,674.69,690.51,714.35,738.87,740.77,745.21,750.53,753.69,755.63,758.58,765.38,778.52,783.44,803.22
12,649.55,67.6,443.43,556.0,589.38,618.04,638.57,652.8,670.92,691.17,709.54,736.94,737.83,739.96,743.43,747.12,749.15,754.83,759.28,768.4,777.77,816.75
13,628.93,64.08,453.85,544.12,565.08,589.5,612.73,634.26,647.07,669.24,690.95,712.28,716.44,719.93,721.34,722.3,728.49,730.82,735.0,739.04,752.12,779.95
14,592.21,67.3,442.34,507.62,526.48,548.09,570.17,592.33,617.21,635.76,655.89,676.53,677.53,681.62,687.23,693.54,704.32,707.39,708.99,717.67,724.97,757.34
15,557.05,67.38,373.98,466.52,493.58,513.88,536.97,562.35,581.92,599.58,620.01,641.9,642.94,644.72,648.93,651.31,657.95,666.93,674.56,686.73,693.96,721.7
16,542.12,67.9,360.26,451.8,473.26,504.47,526.9,548.88,568.85,585.24,607.9,626.79,629.1,630.95,632.26,636.12,638.36,640.47,644.56,653.6,673.94,694.67
17,539.14,68.66,355.2,444.51,470.86,501.2,526.05,549.37,567.13,585.33,604.74,620.81,623.36,625.67,627.12,629.97,632.32,635.0,637.43,646.58,662.92,673.27
18,538.54,69.93,346.35,443.03,469.19,501.4,523.6,551.34,570.8,586.0,603.88,621.33,623.24,626.4,628.21,630.78,633.49,635.03,642.51,646.27,653.84,696.59
19,537.99,71.16,331.03,442.15,465.57,497.33,523.89,549.57,572.81,586.17,605.47,623.79,625.35,626.45,628.71,630.93,632.22,636.85,638.27,645.34,653.85,687.56
20,539.23,71.56,325.44,439.87,467.99,499.7,526.77,549.54,573.22,588.82,607.36,622.29,624.25,625.45,628.67,631.56,635.56,637.83,645.47,648.44,651.74,695.46
21,542.78,70.15,344.81,443.25,475.69,505.39,528.34,554.19,575.68,589.56,608.23,627.01,628.31,630.38,631.26,632.69,634.74,639.93,642.22,647.84,654.2,691.38
22,552.04,68.31,350.59,456.07,487.3,517.73,538.87,563.82,580.94,596.89,614.21,633.49,637.36,639.17,641.77,646.64,649.4,651.5,653.43,659.9,667.23,685.39
23,575.96,66.04,387.76,485.02,514.97,540.51,564.27,584.3,601.23,616.46,635.21,655.93,658.32,660.09,661.54,667.98,671.09,673.11,676.8,699.66,704.94,744.69
