datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,565.31,129.7,264.22,385.57,444.92,496.63,536.7,561.6,599.21,643.93,684.0,733.34,740.23,745.62,750.46,757.05,763.55,783.12,790.14,812.31,831.29,875.97
1,588.35,126.22,259.96,428.56,478.07,525.17,555.05,593.16,632.57,659.74,699.46,746.61,751.97,755.91,766.3,778.7,785.54,794.21,810.35,838.67,852.49,886.32
2,592.28,125.45,264.35,420.21,487.81,528.6,556.29,601.79,631.97,666.9,700.3,748.88,758.41,765.1,770.65,775.35,782.27,792.12,803.99,824.49,861.5,909.04
3,590.49,127.64,277.29,415.11,483.97,525.44,552.62,588.18,627.22,672.94,700.79,758.84,761.09,767.31,775.57,779.17,781.03,793.94,820.73,824.49,852.57,893.15
4,594.67,131.46,269.02,413.39,485.63,530.42,555.97,601.41,633.14,676.83,710.58,760.56,766.13,777.7,784.77,790.42,798.05,804.98,819.14,839.52,857.84,906.97
5,606.24,134.71,260.74,425.25,493.16,540.04,568.57,604.34,642.12,688.24,729.61,781.83,785.41,795.89,800.69,811.14,819.16,825.85,833.96,855.36,879.03,921.32
6,612.35,142.69,253.11,424.61,490.3,533.64,565.58,609.55,651.4,703.84,738.92,803.75,807.47,810.7,820.23,830.6,836.6,841.89,859.73,869.32,892.36,961.0
7,618.25,150.81,234.41,415.49,486.3,539.67,570.27,612.78,662.72,712.68,752.31,833.34,840.43,843.45,847.11,855.12,861.28,869.73,874.29,880.59,905.34,976.04
8,625.92,153.88,224.08,416.5,498.77,538.67,577.17,620.86,669.62,717.63,776.69,836.57,850.84,854.26,860.37,864.8,873.26,881.39,886.81,891.15,911.45,958.83
9,632.35,157.4,230.03,423.07,492.25,544.02,583.04,626.13,676.0,739.23,784.68,846.1,849.72,855.76,867.87,875.95,878.72,885.52,890.26,900.49,928.82,959.77
10,637.89,159.33,231.64,420.01,490.86,543.12,590.11,638.27,693.75,737.19,794.15,853.78,857.42,866.25,870.53,874.93,878.16,887.72,894.18,907.77,920.16,969.49
11,641.56,158.63,228.9,434.44,505.59,544.82,587.54,636.7,688.76,740.64,805.33,849.69,854.32,860.97,865.46,873.8,881.09,890.02,897.98,916.72,930.87,956.57
12,642.31,156.48,232.87,433.08,511.99,551.36,595.22,637.62,690.73,748.51,805.39,849.45,852.26,855.1,861.2,865.38,876.02,882.3,895.16,902.09,923.2,959.76
13,624.9,145.93,251.16,419.46,484.86,543.7,587.48,628.16,676.88,724.27,761.43,808.64,813.78,819.79,825.49,834.42,837.53,840.58,852.94,864.42,881.25,912.98
14,594.95,140.63,247.62,386.44,464.81,519.56,563.32,602.72,657.05,691.09,723.08,763.25,767.11,775.74,782.15,787.02,791.46,805.04,817.32,828.42,841.05,899.02
15,561.73,141.13,204.43,348.6,428.22,488.38,529.32,568.41,624.95,657.28,685.88,733.04,736.97,740.96,747.9,751.63,765.81,773.45,788.83,793.83,812.0,869.05
16,541.78,142.73,198.86,323.5,404.89,466.77,511.32,561.0,600.55,635.68,680.42,716.55,719.86,727.4,731.15,735.72,741.28,742.34,748.83,777.09,787.07,835.73
17,532.06,142.57,190.35,313.4,403.97,454.65,507.6,549.85,586.09,625.67,666.18,707.38,710.84,714.91,722.8,728.07,734.21,737.72,744.31,752.43,772.54,848.55
18,525.0,143.58,192.52,310.75,399.69,445.58,497.76,542.57,582.38,627.0,657.42,699.34,702.89,711.53,716.98,725.4,728.11,733.93,748.24,751.7,770.35,840.12
19,516.99,142.66,189.43,307.44,392.39,435.39,484.96,534.89,574.73,615.03,645.79,688.35,695.34,697.69,707.3,713.54,719.07,726.14,734.89,757.59,777.93,826.84
20,509.17,139.25,181.71,296.31,390.97,441.24,475.7,523.59,564.01,600.94,638.72,678.47,684.44,689.52,694.7,701.75,705.82,710.05,714.5,757.66,787.3,837.27
21,505.6,135.79,186.72,306.57,391.34,437.85,475.28,517.3,552.93,594.81,632.43,664.52,666.95,673.73,680.66,697.59,702.95,708.94,731.78,737.2,753.83,812.81
22,509.92,134.54,188.83,304.75,392.4,437.6,483.65,522.73,558.64,595.71,637.0,671.54,679.45,684.16,690.63,706.29,712.68,721.54,731.73,748.42,755.89,797.93
23,534.09,133.02,219.05,351.08,414.13,458.4,504.1,539.02,580.65,619.51,658.37,696.69,702.96,707.3,714.3,716.86,725.81,738.11,749.59,768.27,807.36,857.4
