datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,275.54,61.38,129.67,186.29,212.49,240.87,264.55,288.84,306.09,323.02,332.73,340.82,342.17,344.26,345.74,350.18,355.54,358.83,367.63,370.26,374.85,382.95
1,291.29,53.61,164.01,212.23,240.99,259.6,275.47,305.62,319.67,333.24,340.02,349.15,350.93,352.28,353.76,356.74,360.3,367.64,372.5,376.35,380.38,388.98
2,297.42,50.51,180.87,219.38,250.58,266.9,285.45,308.61,326.29,336.85,343.62,351.36,353.41,355.26,357.98,361.15,366.85,369.26,371.11,374.77,380.86,392.43
3,296.18,51.11,177.32,217.09,246.81,268.63,285.95,305.18,324.24,333.55,343.98,351.89,353.38,354.63,357.3,362.2,366.42,368.97,371.34,373.21,377.82,385.2
4,292.36,51.25,170.77,212.73,247.85,264.32,279.34,299.78,319.24,330.67,340.27,351.41,352.74,354.16,356.35,360.91,361.58,363.23,366.4,368.23,370.67,381.26
5,285.72,50.7,152.08,207.46,241.6,260.57,273.45,294.24,308.7,321.17,333.2,345.57,347.0,349.18,351.33,352.89,353.98,356.57,360.29,362.95,367.58,371.0
6,274.55,48.39,138.18,199.43,235.34,250.7,261.99,284.28,294.9,305.26,319.31,331.52,333.55,335.66,337.71,340.6,342.96,344.38,347.38,352.34,358.05,368.21
7,263.94,46.37,136.7,193.94,230.32,242.2,252.8,269.16,281.28,293.46,304.94,319.6,321.43,324.23,325.89,327.05,327.91,329.74,333.57,338.18,352.38,367.07
8,256.97,47.18,128.62,183.77,224.79,233.17,245.79,259.13,274.11,285.76,298.82,316.53,317.3,318.19,319.08,320.76,323.13,326.16,331.13,337.1,348.09,360.96
9,252.74,47.71,120.69,177.91,217.9,230.63,240.91,257.14,268.72,282.27,295.98,313.74,314.77,315.84,317.3,318.59,320.84,323.98,326.59,335.48,348.54,361.91
10,250.49,47.45,128.61,174.94,214.57,228.91,238.56,254.52,267.38,279.59,290.31,310.2,310.94,313.89,314.93,316.85,318.76,321.56,324.87,338.74,350.08,364.02
11,251.05,46.49,140.13,176.56,215.34,230.69,240.87,254.8,267.67,279.88,289.88,307.47,309.21,311.03,312.85,316.52,319.3,320.66,330.56,335.05,350.21,365.63
12,254.68,45.33,148.49,186.72,217.98,232.09,244.47,257.87,272.44,281.57,294.17,310.14,311.61,313.01,316.43,318.29,321.07,323.48,330.45,339.59,349.32,370.76
13,255.49,44.02,150.33,195.34,212.09,231.68,248.57,256.23,267.3,277.91,293.38,314.14,315.55,315.95,318.64,322.47,324.08,328.71,331.5,340.4,350.46,373.71
14,246.99,46.35,134.27,181.03,199.52,225.14,239.45,251.27,261.61,272.11,286.55,308.03,309.91,312.28,315.32,317.29,320.18,321.86,325.87,332.73,340.88,372.38
15,233.06,48.98,122.13,161.6,184.84,209.21,228.68,238.72,251.01,262.34,276.01,291.21,292.49,294.86,296.79,299.06,305.06,307.04,311.42,318.07,333.46,364.56
16,224.21,52.62,101.11,142.82,172.67,200.46,216.95,232.99,243.8,258.08,269.92,285.36,286.11,288.2,290.79,296.04,298.62,304.36,309.96,316.93,330.88,344.66
17,222.11,56.64,96.98,137.49,167.14,190.92,212.12,233.08,245.49,260.76,272.35,288.32,290.4,292.5,295.54,296.39,302.87,305.41,309.88,317.43,330.73,339.47
18,223.08,60.08,95.38,134.67,166.77,186.63,209.32,233.63,250.5,265.61,277.56,295.08,297.08,298.64,301.5,305.92,308.93,311.34,316.57,323.88,331.09,344.1
19,228.24,64.72,86.46,136.1,167.22,186.28,208.29,233.43,257.01,276.5,291.63,307.29,308.49,310.65,314.63,316.57,320.55,323.23,325.46,329.8,334.94,357.85
20,233.15,69.37,80.22,135.58,167.23,186.04,208.99,236.83,262.19,284.45,306.83,320.42,323.12,325.96,328.2,330.01,331.33,332.51,333.65,336.54,339.97,363.82
21,237.4,72.0,81.63,137.76,170.85,187.74,209.18,241.29,270.85,297.65,313.75,326.66,329.03,330.03,331.86,333.73,335.56,337.91,339.96,340.89,346.49,370.33
22,244.31,72.0,80.85,144.03,175.88,196.84,220.02,247.4,278.38,303.64,320.49,331.03,332.69,333.99,334.29,334.78,337.21,338.56,343.15,348.16,351.18,368.08
23,257.41,67.35,90.03,158.09,188.63,216.48,244.47,266.47,290.68,310.01,324.44,333.75,334.7,336.28,336.77,340.17,341.26,344.66,352.08,356.31,362.23,368.21
