datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,615.56,109.81,288.57,468.55,524.51,548.67,594.46,622.18,651.98,675.91,709.02,743.1,755.89,767.4,772.98,776.55,788.69,806.8,827.69,840.32,861.88,875.02
1,647.57,93.92,352.95,525.53,567.01,596.86,629.7,659.87,680.25,707.01,724.42,755.46,761.02,765.8,771.62,779.91,787.37,798.33,813.31,841.98,849.29,867.36
2,659.91,87.2,341.24,550.35,586.92,616.63,638.13,670.09,694.3,713.97,733.93,755.71,758.31,759.44,768.39,777.17,790.42,802.94,811.63,835.43,839.87,853.58
3,664.11,83.85,373.8,558.16,594.73,624.67,644.66,669.02,693.26,714.63,736.08,761.45,763.8,768.58,774.19,783.06,784.35,795.5,811.05,826.02,840.14,851.36
4,666.71,83.14,395.14,566.62,597.41,620.72,648.08,669.38,693.98,717.71,741.65,771.33,774.33,778.7,780.2,783.51,786.47,793.13,809.05,821.09,842.11,859.81
5,668.52,83.64,407.49,565.64,597.78,626.29,653.01,670.2,693.63,715.25,739.35,775.71,782.83,789.21,791.65,795.3,801.8,803.31,809.22,825.89,841.47,857.11
6,666.41,85.3,413.11,561.31,598.56,620.92,646.78,664.93,684.6,708.53,736.94,785.75,790.63,795.03,796.63,801.66,815.14,822.08,826.38,840.72,852.7,861.56
7,666.34,85.72,391.14,568.77,601.07,623.01,647.0,662.49,679.41,700.41,743.59,781.54,785.43,789.89,793.88,802.74,815.75,827.73,831.58,837.02,849.9,859.57
8,667.42,85.33,404.47,569.0,599.26,625.91,644.26,664.7,682.79,707.88,742.22,778.87,781.33,784.61,791.88,801.32,811.79,822.22,827.67,843.82,856.08,871.28
9,669.97,86.89,404.64,570.36,601.54,628.89,650.03,667.65,684.54,712.73,744.2,782.97,793.43,798.71,805.5,814.94,818.57,824.23,837.31,842.66,860.8,871.56
10,673.1,88.73,397.75,564.74,602.86,630.31,652.55,671.18,688.23,711.77,748.33,789.97,795.74,805.12,811.29,821.09,825.59,835.65,839.32,846.7,864.3,958.76
11,673.35,88.4,410.71,568.08,604.8,632.43,651.54,671.16,690.53,713.64,745.8,794.57,799.75,805.7,812.0,822.02,827.18,831.39,841.11,847.57,864.16,897.58
12,671.61,88.2,407.08,565.77,603.97,631.66,650.83,672.32,693.85,711.76,740.73,790.81,796.84,806.49,814.58,819.08,820.35,828.89,836.43,841.24,856.25,893.04
13,653.43,89.13,402.94,547.54,582.06,609.03,629.39,651.03,671.38,699.88,726.42,770.23,777.27,785.56,794.59,799.53,804.43,809.67,816.29,833.58,848.42,885.72
14,611.5,96.59,341.1,494.75,534.09,558.03,584.84,606.53,625.73,660.92,696.92,745.09,750.91,753.37,759.06,763.89,768.87,783.07,796.9,809.92,828.61,866.22
15,567.17,102.26,276.38,439.51,483.58,509.99,538.3,561.52,582.38,614.28,657.6,712.38,719.4,722.44,728.34,735.63,738.83,748.06,759.11,771.25,781.07,809.98
16,542.68,102.18,203.01,420.74,456.53,487.96,515.75,533.53,559.81,589.27,630.99,689.68,694.07,697.56,703.03,712.34,715.12,722.19,732.64,742.52,754.71,796.16
17,532.06,101.77,189.49,412.48,451.57,478.96,496.06,522.32,545.86,579.35,633.63,681.55,685.93,690.84,691.96,694.42,704.61,709.4,721.8,726.18,742.38,785.67
18,528.54,101.77,173.8,409.07,443.81,473.71,492.64,516.84,543.32,578.35,629.1,674.25,677.72,680.53,683.98,689.75,693.26,701.28,705.4,724.09,739.74,780.05
19,529.88,102.01,167.41,406.51,443.98,472.15,496.02,520.83,550.52,585.3,630.71,673.28,674.79,678.68,684.9,692.76,696.28,702.48,716.33,722.52,733.86,768.34
20,532.53,103.3,176.16,411.39,447.62,474.16,492.9,525.35,556.28,593.46,633.17,671.34,674.78,677.58,681.52,692.99,697.49,704.34,711.49,726.99,743.69,760.22
21,534.72,102.9,175.89,410.32,446.87,474.85,501.55,526.97,556.41,598.29,634.02,669.02,671.49,675.7,679.52,688.01,694.04,703.08,719.59,735.17,742.71,772.0
22,543.96,104.33,184.42,417.01,459.05,487.42,510.85,539.21,570.95,606.28,645.54,678.02,681.2,684.59,691.98,694.31,706.18,715.28,730.1,748.71,757.66,794.91
23,573.0,109.67,212.78,437.28,485.6,511.36,538.0,565.88,606.1,639.54,667.11,713.73,724.14,727.73,734.55,744.31,753.75,761.37,777.85,792.79,812.28,839.48
