datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,368.38,54.1,264.15,303.94,323.61,337.0,345.51,360.63,376.33,394.95,411.69,438.24,441.0,449.56,459.16,465.97,476.28,480.86,487.57,492.81,511.74,551.65
1,355.8,52.66,241.34,298.63,313.59,324.64,334.75,343.61,358.65,376.55,398.51,427.1,431.05,432.54,439.37,443.03,447.79,462.71,467.83,473.5,488.09,629.98
2,355.61,54.06,249.78,297.76,309.43,324.12,334.24,344.05,359.52,377.28,394.97,422.97,427.66,431.68,438.84,451.09,456.65,464.59,475.72,482.91,501.5,648.84
3,361.41,58.41,251.34,300.61,312.99,325.67,336.66,347.38,361.59,385.56,408.1,431.86,434.94,443.33,450.42,457.62,459.98,474.39,485.93,507.1,550.63,652.61
4,376.37,67.6,244.84,304.96,318.23,333.11,343.58,356.08,380.87,410.05,436.51,471.17,474.27,480.6,484.8,489.2,493.98,499.73,506.03,527.86,576.05,644.3
5,395.99,68.99,253.73,313.81,335.87,351.91,364.46,384.76,402.05,429.4,462.65,492.27,494.43,498.26,501.47,507.24,512.6,520.03,539.57,555.32,576.69,625.09
6,410.87,70.8,275.39,322.3,346.74,366.84,381.63,399.58,423.39,455.62,481.39,500.09,505.78,509.06,515.2,523.97,528.68,532.1,547.06,568.8,583.88,654.48
7,425.5,67.09,274.09,338.56,359.37,375.87,401.09,427.26,447.6,467.98,489.09,513.82,517.33,518.9,522.8,526.98,528.61,532.18,537.64,553.18,571.74,590.37
8,430.54,70.77,264.85,339.23,358.35,380.55,412.22,433.35,450.42,475.14,501.02,522.48,524.47,528.27,529.42,537.01,543.21,546.21,560.54,565.29,569.46,589.34
9,438.22,74.05,260.79,343.71,363.87,388.03,418.83,439.52,459.63,486.51,514.71,535.77,536.76,538.16,540.55,547.37,552.11,558.7,565.26,573.43,585.89,603.84
10,441.66,74.93,261.5,344.62,368.0,390.31,424.89,441.96,463.74,492.07,516.71,538.4,540.58,543.79,546.88,553.5,557.73,563.5,569.88,580.67,595.99,609.78
11,440.83,76.88,237.26,339.03,365.15,393.32,420.4,445.15,463.14,484.36,515.87,539.09,544.15,550.54,553.01,555.14,560.76,563.89,572.8,583.55,597.64,613.49
12,428.87,79.35,241.72,321.12,348.32,383.92,406.59,432.18,453.65,473.08,502.58,534.57,536.39,540.65,543.95,549.89,557.26,560.1,570.54,581.25,594.2,613.21
13,408.35,71.5,232.21,312.61,340.07,360.45,384.57,403.65,428.55,450.42,473.99,505.89,510.28,512.59,514.71,517.01,521.48,527.63,539.78,543.85,571.58,595.76
14,394.14,69.03,244.48,310.14,328.64,346.3,367.63,387.79,413.72,437.97,460.27,483.76,485.86,489.88,497.97,500.89,510.62,518.47,524.22,536.15,546.71,589.68
15,392.82,62.81,255.52,312.84,332.08,353.89,369.33,387.28,410.32,433.91,452.91,476.81,478.53,481.61,488.59,492.81,495.25,504.6,506.42,510.13,524.93,549.85
16,386.73,62.67,258.18,302.95,327.72,349.56,364.85,386.32,406.3,427.35,446.0,473.13,477.35,479.76,483.44,485.69,487.33,494.72,497.9,501.93,507.66,528.01
17,381.17,63.2,254.94,297.42,319.82,344.9,363.49,380.2,401.81,425.0,441.45,461.21,463.27,467.47,477.52,482.47,483.89,487.98,491.91,496.76,501.19,518.17
18,379.34,62.41,254.49,294.51,319.45,340.78,360.31,378.24,403.22,418.79,437.37,458.65,464.12,468.1,470.2,474.51,481.17,484.54,487.32,494.9,503.42,515.65
19,376.92,60.6,251.35,294.99,322.14,339.93,359.22,375.32,397.4,413.83,430.01,455.66,461.26,468.19,470.82,473.2,476.27,479.59,486.95,498.33,504.56,515.31
20,377.92,58.71,246.03,295.43,326.24,344.21,362.89,376.17,394.19,412.04,430.34,458.73,461.05,463.33,465.26,468.12,470.63,476.15,481.39,489.2,494.62,522.39
21,377.32,59.13,240.92,297.85,321.78,345.29,360.34,375.7,390.29,408.63,432.94,458.39,460.79,466.2,467.2,469.61,472.18,478.26,482.5,493.73,507.57,522.82
22,378.58,59.76,244.81,301.7,325.28,342.05,361.42,374.64,389.69,411.36,434.12,458.84,463.39,464.39,468.22,475.9,483.23,487.14,490.62,503.1,518.62,541.0
23,379.15,61.51,248.68,304.58,322.79,338.15,355.56,372.06,393.33,412.94,434.03,462.68,464.79,472.37,479.02,484.26,486.02,494.67,503.36,517.38,525.9,539.93
