datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,364.71,53.37,177.05,300.65,317.11,333.29,349.8,360.85,374.82,395.19,413.94,438.42,440.88,444.83,449.81,453.53,455.93,460.41,461.3,465.9,472.11,489.37
1,367.42,55.58,170.81,303.46,318.22,334.01,352.72,363.62,374.44,396.43,419.42,441.92,447.25,449.77,458.06,459.54,468.35,470.66,473.31,477.93,480.38,498.34
2,369.88,55.5,179.28,304.93,322.25,339.14,351.79,364.85,379.11,397.95,420.1,450.04,451.79,453.98,459.38,463.74,469.22,476.01,479.98,483.6,487.46,499.43
3,371.95,54.75,179.29,307.39,324.52,339.81,355.48,366.93,380.84,401.37,420.98,448.32,451.01,456.28,460.56,465.69,469.68,475.71,481.35,484.92,492.54,505.56
4,372.21,54.24,184.86,304.76,324.9,341.07,354.14,368.12,382.47,402.36,422.68,445.29,447.46,449.72,455.72,461.43,464.08,468.72,472.28,482.48,501.45,507.9
5,371.87,52.84,180.27,307.38,325.6,338.76,356.28,369.76,382.12,404.38,419.04,440.28,443.19,448.18,450.61,452.09,459.06,461.16,465.12,470.9,491.91,524.94
6,370.16,51.05,184.03,307.6,323.32,339.04,356.02,369.85,382.76,401.31,418.9,434.81,436.07,438.35,441.9,446.51,448.24,450.91,457.33,461.16,477.19,525.29
7,367.79,50.02,185.21,306.06,322.99,339.25,355.13,369.22,381.76,397.84,411.66,430.42,431.83,434.39,436.08,439.31,442.86,446.36,452.38,455.48,469.67,522.02
8,367.13,48.87,189.61,307.37,324.18,338.99,355.35,368.17,380.98,396.96,411.72,428.06,430.12,432.14,433.27,434.67,436.78,442.16,448.81,454.33,466.95,518.51
9,368.54,47.73,187.52,309.56,327.28,341.16,357.31,370.4,382.21,397.44,411.43,427.66,429.65,431.3,432.02,433.94,436.73,440.32,446.0,455.39,466.5,518.4
10,370.26,46.85,198.44,309.37,329.76,344.98,357.09,371.88,384.59,397.52,411.89,429.6,431.54,432.67,435.19,437.46,442.21,444.22,448.62,457.87,468.73,514.73
11,369.14,47.18,205.24,309.72,328.74,343.84,355.67,370.27,380.86,396.73,411.46,429.2,431.03,436.87,438.88,440.81,444.08,448.0,456.95,462.94,472.18,501.84
12,367.29,48.58,203.81,308.42,323.84,337.02,353.88,366.83,376.91,390.81,412.19,431.84,434.43,436.58,440.59,446.07,448.89,453.86,458.19,462.49,474.44,491.1
13,365.89,51.26,202.23,300.96,318.74,334.03,350.52,364.04,376.09,389.98,414.27,438.51,440.4,444.09,447.87,450.65,454.83,461.16,464.75,470.65,476.23,504.83
14,364.44,51.7,186.47,298.98,318.52,331.02,348.61,361.8,373.57,386.43,413.53,439.99,442.92,446.18,449.93,452.38,454.43,455.44,462.88,470.8,476.56,495.8
15,363.43,50.92,182.42,300.71,318.23,334.17,345.36,360.38,371.03,390.5,409.59,436.54,440.68,442.55,445.5,448.2,453.11,455.36,457.92,460.84,472.31,492.42
16,362.76,49.95,180.17,299.38,316.42,335.66,347.76,357.95,372.08,390.47,410.63,431.96,434.31,438.72,442.66,447.48,448.54,450.0,453.36,456.38,461.51,482.14
17,362.08,49.1,176.22,300.07,317.83,335.13,348.61,357.46,375.17,391.48,409.8,427.49,428.96,432.21,434.72,438.69,442.8,446.31,448.05,451.17,457.29,470.75
18,361.68,48.38,179.41,297.81,314.61,335.68,346.3,358.95,374.79,393.28,408.5,424.61,426.98,428.27,429.67,433.41,439.03,440.99,444.99,446.53,454.18,466.11
19,360.89,48.15,180.54,297.16,316.78,334.08,343.85,358.62,375.28,394.21,407.58,422.98,424.96,425.74,427.13,429.96,435.06,438.58,443.82,445.02,453.44,462.55
20,360.12,48.26,179.18,296.19,315.91,332.34,344.81,357.7,374.46,393.29,406.38,421.36,423.89,426.58,429.29,431.63,433.66,438.22,440.7,444.56,450.11,463.01
21,361.15,48.62,178.47,296.7,317.39,335.09,347.19,362.02,376.17,394.42,408.18,422.19,423.59,426.53,428.71,432.01,434.23,437.08,442.03,446.46,452.28,465.03
22,362.32,48.75,183.02,299.76,316.67,332.86,347.79,360.09,378.76,396.38,409.24,422.91,425.75,428.89,431.11,433.54,436.91,440.27,447.16,451.62,453.97,467.33
23,362.94,50.24,183.49,301.05,314.63,334.02,345.95,358.98,376.75,395.59,411.48,429.29,431.82,433.04,436.84,442.42,447.37,449.43,452.14,456.94,458.81,477.32
