datetime,mean,std,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,445.83,76.25,243.17,335.28,371.12,409.09,434.87,456.31,473.41,495.03,511.84,539.24,542.32,544.98,547.11,549.1,553.43,557.43,565.12,572.24,585.44,605.4
1,445.39,75.18,239.95,331.62,372.66,410.12,442.4,457.76,476.87,491.7,510.5,530.32,533.73,540.55,545.1,550.93,552.86,557.09,561.33,567.63,577.97,600.69
2,432.91,75.92,236.94,326.71,358.72,396.96,422.1,442.74,461.63,477.43,503.14,525.7,528.12,533.37,540.44,543.96,546.61,552.75,554.21,558.96,565.05,597.65
3,417.52,76.67,223.38,313.0,344.44,375.16,400.0,425.19,439.6,460.79,489.18,518.34,523.49,525.51,528.69,531.91,538.32,541.05,544.16,550.16,556.18,586.02
4,402.62,80.33,193.28,300.63,324.41,355.08,383.77,406.35,422.85,449.04,477.55,510.72,513.52,517.58,519.78,524.98,528.91,533.65,540.9,546.12,555.25,582.95
5,389.26,85.29,158.02,279.02,308.8,340.33,368.04,389.95,409.21,437.97,471.52,505.56,509.44,511.81,516.27,518.44,523.81,529.31,532.92,541.85,556.96,573.75
6,380.17,89.59,138.97,259.55,299.29,329.24,357.41,380.65,404.86,431.19,471.13,505.23,506.68,511.14,513.6,517.2,523.42,525.72,533.07,540.76,552.35,566.59
7,376.15,92.0,136.67,248.36,290.66,321.87,356.91,379.53,404.42,428.58,464.82,499.44,501.46,509.61,512.24,515.83,520.18,525.1,527.68,535.22,548.4,571.2
8,377.49,94.27,140.63,241.88,289.33,318.2,356.75,384.49,409.18,435.16,467.78,501.42,504.24,513.33,515.3,517.46,520.74,523.43,527.45,541.11,552.0,573.44
9,382.16,95.69,140.63,244.48,290.6,323.4,359.03,389.06,417.44,444.85,471.27,509.9,513.82,516.21,521.14,523.49,526.59,528.53,535.66,547.76,555.93,572.54
10,390.66,94.36,138.32,258.04,301.38,332.4,369.31,401.43,428.18,452.8,476.41,514.19,517.56,520.58,524.2,526.17,529.99,532.66,540.66,547.37,556.48,574.85
11,403.13,91.15,137.89,274.99,320.58,347.1,385.18,413.21,439.66,465.28,487.56,521.55,525.69,526.21,527.82,529.13,530.79,535.71,544.13,547.63,558.05,575.54
12,411.4,86.61,135.65,291.64,331.53,360.74,389.65,420.9,442.5,470.21,494.62,520.65,524.14,525.48,526.71,527.04,529.24,533.93,541.58,545.19,556.8,572.34
13,402.88,82.14,130.42,289.32,327.43,355.27,380.83,411.88,435.29,463.38,480.67,506.14,509.75,511.76,514.5,516.2,518.83,522.74,528.11,531.67,538.23,571.94
14,388.21,77.94,162.62,291.13,313.8,339.29,359.22,391.95,414.88,444.76,466.56,489.86,491.64,493.3,494.87,499.76,502.99,504.89,507.68,513.77,522.68,573.08
15,385.46,75.66,170.87,284.23,318.34,339.84,360.38,391.2,413.47,438.21,463.39,479.49,481.76,483.69,486.89,487.75,492.42,494.43,498.76,505.24,520.2,568.61
16,389.3,75.45,176.66,285.69,318.51,342.25,370.67,403.29,421.77,441.78,461.26,482.06,482.84,485.18,486.87,488.82,490.85,492.63,497.03,506.38,522.27,562.82
17,394.38,75.82,176.73,290.46,319.72,349.98,385.79,405.01,429.93,443.97,463.67,484.21,485.48,488.68,492.85,494.05,498.41,502.0,504.71,506.34,521.96,547.86
18,398.05,75.03,180.64,290.3,327.52,355.47,387.5,411.44,433.15,448.39,464.47,487.28,490.34,493.02,494.41,498.27,500.3,503.27,508.63,510.5,514.84,531.39
19,399.18,74.04,180.35,292.02,330.85,359.12,391.26,414.75,436.1,449.61,466.22,488.51,490.52,492.23,493.45,495.12,497.48,501.51,504.31,506.62,513.16,523.94
20,398.43,73.24,172.59,291.84,326.44,359.78,389.7,417.86,433.7,449.43,461.67,484.28,486.32,490.26,491.32,492.89,494.7,497.62,501.59,505.52,510.7,515.95
21,398.76,73.29,170.96,292.76,326.67,358.75,391.85,418.78,435.22,448.96,465.74,484.94,486.43,489.03,491.86,493.48,496.48,497.85,499.29,504.85,512.04,521.37
22,406.26,73.54,172.69,299.59,331.32,364.67,403.01,423.89,438.29,457.79,472.8,489.57,491.42,497.55,500.51,504.18,507.02,509.87,513.09,516.27,520.9,528.93
23,427.72,76.93,199.83,323.34,352.11,386.14,415.56,438.38,459.96,476.56,497.59,520.41,521.89,525.35,527.26,530.51,534.51,538.93,541.94,550.41,568.55,589.51
