City,Company,State
Kenai,Tesoro Alaska Petroleum Co,AK
Phoenix,Air Liquide,AZ
Vancouver,BOC,BC
Bakersfield,"Equilon Enterprise, LLC",CA
Bakersfield,Lone Star Gas Processing,CA
Bakersfield,San Joaquin Refining Co,CA
Benicia,Valero Energy Corp,CA
Carson,Air Products and Chemicals; Inc.,CA
Carson,ARCO Products Co,CA
Carson,Tosco Corp,CA
City of Commerce (just sou,Henkel Corp,CA
El Segundo,Chevron Products Co,CA
Fresno,Praxair; Inc.,CA
Los Angeles,Air Products and Chemicals; Inc.,CA
Martinez (San Fransisco),Air Products and Chemicals; Inc.,CA
Martinez (San Fransisco),Air Products and Chemicals; Inc.,CA
Martinez (San Fransisco),Shell Oil Co,CA
Martinez (San Fransisco),Tosco Corp,CA
Ontario,Praxair; Inc.,CA
Ontario,Praxair; Inc.,CA
Richmond,Chevron Products Co,CA
Rodeo,Tosco Corp,CA
Sacramento,Air Products and Chemicals; Inc.,CA
San Carlos,Praxair; Inc.,CA
San Francisco,Air Liquide,CA
Santa Clara,Air Products and Chemicals; Inc.,CA
Santa Clara,Air Products and Chemicals; Inc.,CA
South San Francisco,Praxair; Inc.,CA
South San Francisco,Praxair; Inc.,CA
Torrance,ExxonMobile,CA
Torrance,Praxair; Inc.,CA
Wilmington,Air Products and Chemicals; Inc.,CA
Wilmington,Air Products and Chemicals; Inc.,CA
Wilmington,"Equilon Enterprise, LLC",CA
Wilmington,"Equilon Enterprise, LLC",CA
Wilmington,Tosco Corp,CA
Denver,Air Products and Chemicals; Inc.,CO
Denver,AirGas,CO
Loveland,Praxair; Inc.,CO
Barber's Point,Chevron Products Co,HI
Honolulu,Air Liquide America Corp,HI
Honolulu,BOC Group; Inc,HI
Kapolei,BHP Hawaii Refinery,HI
Kapolei (Ewa Beach),The Gas Co,HI
Billings,Conoco Inc,MT
Billings,Exxon Company,MT
Butte,Praxair; Inc.,MT
Great Falls,Montana Refining,MT
Laurel,CENEX,MT
Henderson,Kerr-McGee Chemical Corp,NV
Henderson,Pioneer Chlor Alkali Co; Inc,NV
Portland,Air Liquide,OR
Portland,Air Liquide America Corp,OR
Portland,Elf Atochem North America Inc,OR
Cedar City,Western Electrochemical Co,UT
Garfield,Praxair; Inc.,UT
Salt Lake City,PraxAir,UT
Salt Lake City,Praxair; Inc.,UT
Bellingham,Georgia-Pacific West; Inc,WA
Blaine (Ferndale),ARCO Products Co,WA
Elma,Morton International,WA
Kalama,Messer - MG Industries,WA
Longview,Solvay Interox,WA
Longview,Weyerhaeuser Co,WA
Moses Lake,Eka Chemicals,WA
Tacoma,Pioneer Chlor Alkali Co; Inc,WA
Cheyenne,Frontier Refining,WY
Wright,Western Gas Resources Inc,WY
Sante Fe Springs,CENCO Refining Company,CA
Wilmington,Shell Chemical Co,CA
Tacoma,Atofina,WA
Anniston,Solutia Inc,AL
Burkville,GE - Plastics,AL
Decatur,Air Products and Chemicals; Inc.,AL
Decatur,BP Amoco,AL
Decatur,Lagus Corp,AL
Decatur,Solutia Inc,AL
Huntsville,Teledyne Advanced Materials,AL
McIntosh,Olin Corp,AL
McIntosh,Praxair; Inc.,AL
Mobile,Occidental Petroleum Corp,AL
Muscle Shoals,Air Products and Chemicals; Inc.,AL
Muscle Shoals,Occidental Petroleum Corp,AL
Perdue Hill,442 Corp,AL
Theodore,Air Products and Chemicals; Inc.,AL
Theodore,Degussa Corp,AL
Tuscaloosa,Hunt Refining Co,AL
Stuttgart,Riceland Foods,AR
Hartford,AirGas,CT
Suffield Depot,Praxair; Inc.,CT
Delaware City,Air Products and Chemicals; Inc.,DE
Delaware City,"Motiva Enterprises, LLC",DE
Delaware City,Prime Gas Inc,DE
New Castle,Air Products and Chemicals; Inc.,DE
New Castle,BOC Group; Inc,DE
New Castle,Occidental Chemical Corp,DE
New Castle,SPI Polyols Inc,DE
Ft Lauderdale,TriGas,FL
Gonzalez,BOC North America,FL
Orlando,Air Liquide,FL
Orlando,Praxair; Inc.,FL
Orlando,Praxair; Inc.,FL
Pace,Air Products and Chemicals; Inc.,FL
Pensacola,Solutia Inc,FL
Tampa,Air Products,FL
Tampa,Air Products and Chemicals; Inc.,FL
Augusta,DSM Chemicals North America,GA
Augusta,Holox Inc,GA
Augusta,Huron Tech Corp,GA
Augusta,Olin Corp,GA
Augusta,,GA
Augusta,,GA
Brunswick,Millennium Specialty Chemicals,GA
Conyers,Air Products and Chemicals; Inc.,GA
Gainesville,Cargill,GA
Macon,Archer Daniels Midland Comp,GA
Norcross,Praxair; Inc.,GA
Rincon,Fort James Corp,GA
Valdosta,Sunoco,GA
Bradley (Kankakee),Brown Industries,IL
Bradley (near Kankakee -87,Bunge Foods Group,IL
Champaign,AC Humko,IL
Chicago,Air Products and Chemicals; Inc.,IL
Chicago,Airgas,IL
Chicago,Airgas,IL
Chicago,BOC,IL
