City,Company,State,Latitude,Longitude,Capacity (million standard cubic feet per day),Process,Reference
Kenai,Tesoro Alaska Petroleum Co,AK,60.5549341706504,-151.189566327234,13,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Phoenix,Air Liquide,AZ,,,,,
Vancouver,BOC,BC,,,,,
Bakersfield,"Equilon Enterprise, LLC",CA,,,,,
Bakersfield,Lone Star Gas Processing,CA,,,,,
Bakersfield,San Joaquin Refining Co,CA,35.3581972784809,-119.057484380156,4,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Benicia,Valero Energy Corp,CA,38.0776890917355,-122.161346601153,135,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Carson,Air Products and Chemicals; Inc.,CA,33.840620533626,-118.259281462633,100,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Carson,ARCO Products Co,CA,,,,,
City of Commerce (just sou,Henkel Corp,CA,,,,,
El Segundo,Chevron Products Co,CA,33.9196809249922,-118.414417308215,74,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Fresno,Praxair; Inc.,CA,,,,,
Los Angeles,Air Products and Chemicals; Inc.,CA,,,,,
Martinez (San Fransisco),Air Products and Chemicals; Inc.,CA,37.9915638937146,-122.114609358662,88,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Martinez (San Fransisco),Air Products and Chemicals; Inc.,CA,,,,,
Martinez (San Fransisco),Shell Oil Co,CA,,,35,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Martinez (San Fransisco),Tosco Corp,CA,,,,,
Martinez (San Fransisco),Martinez Refining Co LLC,CA,,,179,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Ontario,Praxair; Inc.,CA,34.0487313807824,-117.631932454394,20.5,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Richmond,Chevron Products Co,CA,,,330,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Rodeo,Tosco Corp,CA,,,,,
Rodeo,ConocoPhillips,CA,37.9413230349846,-122.354288835016,120,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Sacramento,Air Products and Chemicals; Inc.,CA,,,,,
San Carlos,Praxair; Inc.,CA,,,,,
San Francisco,Air Liquide,CA,,,,,
Santa Clara,Air Products and Chemicals; Inc.,CA,,,,,
Santa Clara,Air Products and Chemicals; Inc.,CA,,,,,
South San Francisco,Praxair; Inc.,CA,,,,,
South San Francisco,Praxair; Inc.,CA,,,,,
Torrance,ExxonMobile,CA,,,,,
Torrance,Praxair; Inc.,CA,,,,,
Wilmington,Air Products and Chemicals; Inc.,CA,33.7836419551727,-118.266624943142,160,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Wilmington,Air Products and Chemicals; Inc.,CA,,,,,
Wilmington,"Equilon Enterprise, LLC",CA,,,,,
Wilmington,"Equilon Enterprise, LLC",CA,,,,,
Wilmington,Tosco Corp,CA,,,,,
Wilmington,Phillips Petroleum Co,CA,33.7836419551727,-118.266624943142,105,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Denver,Air Products and Chemicals; Inc.,CO,,,,,
Denver,AirGas,CO,,,,,
Loveland,Praxair; Inc.,CO,,,,,
Barber's Point,Chevron Products Co,HI,,,,,
Honolulu,Air Liquide America Corp,HI,,,,,
Honolulu,BOC Group; Inc,HI,,,,,
Kapolei,BHP Hawaii Refinery,HI,21.340435062175,-158.069329015923,18,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Kapolei (Ewa Beach),The Gas Co,HI,,,,,
Billings,Conoco Inc,MT,45.7752075949249,-108.547892102644,36,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Billings,Exxon Company,MT,45.7752075949249,-108.547892102644,23,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Butte,Praxair; Inc.,MT,,,,,
Great Falls,Montana Refining,MT,47.5042027586061,-111.287722490785,20,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Laurel,CENEX,MT,45.6745473749227,-108.771078528724,70,SMR,https://h2tools.org/hyarc/hydrogen-data/captive-purpose-refinery-hydrogen-production-capacities-individual-us
Henderson,Kerr-McGee Chemical Corp,NV,,,,,
Henderson,Pioneer Chlor Alkali Co; Inc,NV,,,,,
Portland,Air Liquide,OR,,,,,
Portland,Air Liquide America Corp,OR,,,,,
Portland,Elf Atochem North America Inc,OR,,,,,
Cedar City,Western Electrochemical Co,UT,,,,,
Garfield,Praxair; Inc.,UT,,,,,
Salt Lake City,Praxair; Inc.,UT,,,,,
Salt Lake City,Linde,UT,40.7542381337446,-111.891131435553,31,SMR,https://h2tools.org/hyarc/hydrogen-data/merchant-hydrogen-plant-capacities-north-america
Bellingham,Georgia-Pacific West; Inc,WA,,,,,
Blaine (Ferndale),ARCO Products Co,WA,,,,,
