Location,Power (kW),Status,Latitude,Longitude,Notes
Corpus Christi TX,1250000, Planned,27.800583,-97.396378,
LaSalle IL,320000, Planned,41.362553,-89.065414,
Amarillo TX,240000, Planned,35.2220,-101.8313,
Laramie County WY,240000, Planned,41.4270,-104.8455,
Lubbock County TX,240000, Planned,33.6754,-101.7980,
Pueblo County CO,240000, Planned,38.18015375,-104.47463012,
Delta UT,220000, Planned,39.353145,-112.573656,
Alabama NY,200000, Planned/Under Construction,43.0964,-78.3909,
Nederland TX,120000, Planned/Under Construction,29.9744,-93.9924,
Young County TX,120000, Planned/Under Construction,33.2200,-98.7481,
Yuma AZ,120000, Planned,32.698437,-114.650398,
Fresno CA,80000, Planned,36.746841,-119.772591,
AZ,40000, Planned,32.9110,-111.7734,"https://www.denora.com/dam/jcr:9df1755f-a810-4421-9331-95ecf3d50c7a/DN%20Presentation%20November%2022last.pdf, slide 13"
Kingsland GA,40000, Installed,30.799955,-81.689827,
Kingsland GA,40000, Planned/Under Construction,30.799955,-81.689827,
Niagara Falls NY,35000, Planned,43.092461,-79.047150,
Okeechobee FL,25000, Planned/Under Construction,27.2439,-80.8298,
Donaldsonville LA,20000, Planned/Under Construction,30.1010,-90.9929,
Lake Preston SD,20000, Planned,44.3636,-97.3773,
New Albany OH,20000, Planned/Under Construction,40.0738,-82.8190,
Corpus Christi TX,5000, Planned/Under Construction,27.800583,-97.396378,
Douglas County WA,5000, Planned/Under Construction,47.7791,-119.7475,
Ferndale WA,5000, Planned/Under Construction,48.8465,-122.5910,
Kingsland GA,5000, Installed/Operational,30.799955,-81.689827,
Ontario CA,5000, Planned/Under Construction,34.068871,-117.651215,
Mountain View CA,4000, Installed/Operational,37.386051,-122.083855,
DeBary FL,2000, Planned/Under Construction,28.8713,-81.3289,
Durham NC,2000, Planned/Under Construction,35.9940,-78.8986,
Oak Harbor OH,2000, Planned/Under Construction,41.512773,-83.146578,
Palm Springs CA,2000, Installed/Operational,33.830517,-116.545601,
Southwest WA,1500, Installed/Operational,46.5031756405448,-122.044681294472,
Arvada CO,1250, Installed/Commissioning,39.802765,-105.087486,
Oswego NY,1250, Installed/Operational,43.455345,-76.510498,
CA,1250, Planned/Under Construction,36.391845,-122.365625,
Borrego Springs CA,1000, Planned/Under Construction,33.255871,-116.375015,
Champaign Urbana IL,1000, Installed/Operational,40.116421,-88.243385,
Denver CO,1000, Installed/Operational,39.742043,-104.991531,
Kansas City MO,1000, Installed/Operational,39.099724,-94.578331,
Moses Lake WA,1000, Planned/Under Construction,47.1301,-119.2781,
South Harrison NJ,1000, Planned/Under Construction,39.7001,-75.2580,
Tuscaloosa AL,1000, Installed/Operational,33.2098,-87.5692,
CA,900, Planned/Under Construction,37.16611,-119.44944,
Orlando FL,500, Planned/Under Construction,28.538336,-81.379234,
Prairie Island MN,500, Planned/Under Construction,44.6317,-92.6512,
Sonoma CA,500, Installed,38.294788,-122.461510,
CA,250, Installed/Commissioning,37.16611,-119.44944,
Idaho Falls ID,250, Installed/Operational,43.4927,-112.0408,
Red Wing MN,250, Planned/Under Construction,44.5661,-92.5370,
Austin TX,180, Installed,30.2672,-97.7431,
Austin TX,180, Installed,30.2672,-97.7431,
Boston MA,180, Planned/Under Construction,42.3601,-71.0589,
CA,180, Installed,38.3577602595847,-123.697468280251,
CA,180, Installed,38.3577602595847,-123.697468280251,
CA,180, Installed,38.3577602595847,-123.697468280251,
CA,180, Installed,38.3577602595847,-123.697468280251,
CA,180, Installed,38.3577602595847,-123.697468280251,
CA,180, Installed,38.3577602595847,-123.697468280251,
Columbus IN,180, Installed,39.2014,-85.9214,
Columbus OH,180, Installed,39.983334,-82.983330,
Costa Mesa CA,180, Installed,33.641132,-117.918671,
Emeryville CA,180, Installed,37.831318,-122.285248,
GA,180, Installed,33.505731,-83.798657,
GA,180, Planned/Under Construction,31.9783943825071,-83.4331093348536,
HI,180, Installed,19.6603774461609,-155.506156189373,
HI,180, Installed,19.6603774461609,-155.506156189373,
HI,180, Installed,19.6603774461609,-155.506156189373,
Leesport PA,180, Installed,40.443893,-75.968137,
Lexington MA,180, Installed,42.447357,-71.234619,
MA,180, Planned/Under Construction,42.3707270419839,-71.9418329814737,
Mahwah NJ,180, Installed,41.0886,-74.1436,
NJ,180, Installed,40.1531768232881,-74.4992265913797,
Oakland CA,180, Installed,37.804363,-122.271111,
San Francisco CA,180, Installed,37.7749,-122.4194,
San Francisco CA,180, Installed,37.7749,-122.4194,
San Francisco CA,180, Installed,37.7749,-122.4194,
San Jose CA,180, Installed,37.3387,-121.8853,
San Jose CA,180, Installed,37.3387,-121.8853,
Santa Clara CA,180, Installed,37.354107,-121.955238,
SC,180, Planned/Under Construction,33.7632517782166,-80.6360291929276,
Tempe AZ,180, Installed,33.4255,-111.9400,
WA,180, Planned/Under Construction,47.5813066902709,-120.380917210097,
Braintree MA,120, Installed,33.4255,-111.9400,
CA,120, Planned/Under Construction,33.4240488305019,-119.131759655124,
CA,120, Installed,33.4240488305019,-119.131759655124,
CA,120, Installed,33.4240488305019,-119.131759655124,
Canandaigua NY,120, Installed,42.8875,-77.2817,
Hertford Cty NC,120, Installed,36.3762,-77.0564,
KY,120, Installed,37.649506413364,-84.8727116498196,
KY,120, Installed,37.649506413364,-84.8727116498196,
Lincoln RI,120, Installed,41.9110,-71.4418,
MA,120, Installed,41.9533695352649,-70.9420771955756,
NC,120, Installed,35.5262360082102,-79.0020974376348,
NY,120, Installed,43.810431799792,-75.1552522037484,
NY,120, Installed,43.810431799792,-75.1552522037484,
NY,120, Planned/Under Construction,42.1915751177935,-74.6334016561642,
OH,120, Installed,41.0761605971601,-82.8292821468322,
PA,120, Installed,40.7098521252415,-77.7184713197702,
San Carlos CA,120, Installed,37.507160,-122.260521,
San Carlos CA,120, Installed,37.507160,-122.260521,
Sugar Land TX,120, Installed,29.619678,-95.634949,
UT,120, Planned/Under Construction,38.4271895294098,-111.524317174886,
