State,Emissions Incentive,Emissions Incentive Source
California,Heavy-Duty Low Emission Vehicle Replacement and Repower Grants,https://afdc.energy.gov/laws/12514
California,Emissions Reductions Grants,https://afdc.energy.gov/laws/6131
California,Heavy-Duty Vehicle Emissions Reduction Grants,https://afdc.energy.gov/laws/6305
California,Advanced Transportation Tax Exclusion,https://afdc.energy.gov/laws/8821
California,Heavy-Duty Truck Emission Reduction Grants - San Joaquin Valley,https://afdc.energy.gov/laws/12098
California,Air Quality Improvement Program Funding - Ventura County,https://afdc.energy.gov/laws/4216
California,Air Quality Improvement Program Funding - San Luis Obispo County,https://afdc.energy.gov/laws/12310
Colorado,Industrial and Manufacturing Operations Emissions Reduction Grant,https://afdc.energy.gov/laws/12991
Colorado,Diesel Emissions Reduction Grant,https://afdc.energy.gov/laws/12992
Delaware,Medium- and Heavy-Duty (MHD) Emissions Reductions Funding,https://afdc.energy.gov/laws/12145
Connecticut,Diesel Emissions Reductions Grants,https://afdc.energy.gov/laws/13145
Illinois,Diesel Emission Reduction Grants ,https://afdc.energy.gov/laws/12307
Massachusetts,Diesel Emissions Reductions Grants,https://afdc.energy.gov/laws/12591
