State,Emissions Regulation,Emissions Regulation Source
Alabama,Fuel-Efficient Green Fleets Policy and Fleet Management Program Development,https://afdc.energy.gov/laws/6546
California,Emission Reduction Strategy for Medium- and Heavy-Duty Vehicles,https://afdc.energy.gov/laws/12314
California,Heavy-Duty Vehicle Greenhouse Gas (GHG) Emissions Regulations,https://afdc.energy.gov/laws/8847
California,Mobile Source Emissions Reduction Requirements,https://afdc.energy.gov/laws/5682
Colorado,Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/12122
District of Columbia,Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/6465
Connecticut,Emissions Reduction Credits,https://afdc.energy.gov/laws/4300
Maine,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/4460
Maryland,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/6412
Massachusetts,State Emissions Reductions Requirements,https://afdc.energy.gov/laws/12565
Massachusetts,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/10537
Minnesota,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/12653
Nevada,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/12702
New Jersey,Clean Truck Port Requirements,https://afdc.energy.gov/laws/11569
New Mexico,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/12932
New York,Clean Truck Port Requirements,https://afdc.energy.gov/laws/11567
New York,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/4627
Oregon,Diesel Emissions Reductions Registration Requirement,https://afdc.energy.gov/laws/12360
Oregon,State Emissions Reductions and Reporting Requirements,https://afdc.energy.gov/laws/12393
Rhode Island,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/6107
Vermont,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle Standards,https://afdc.energy.gov/laws/6506
Virginia,Zero Emission Vehicle (ZEV) Sales Requirement and Low-Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/12561
Washington,Low Carbon Fuel Standard,https://afdc.energy.gov/laws/12568
Washington,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,https://afdc.energy.gov/laws/6216
Washington,State Emissions Reductions Requirements,https://afdc.energy.gov/laws/6217
