State,Name,Types,Source
Alabama,Biofuel Research and Development Funding,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/12274
Alabama,Commercial EV Time-of-use Rates - Alabama Power,Electricity,https://afdc.energy.gov/laws/12642
Alaska,Electric Vehicle (EV) Time-of-Use (TOU) Rate – Alaska Electric Light & Power (AELP),Electricity,https://afdc.energy.gov/laws/12574
California,Electric Vehicle (EV) Time-of-Use (TOU) Rate – Liberty Utilities,Electricity,https://afdc.energy.gov/laws/12598
California,Natural Gas Rate Reduction - SoCalGas,Natural Gas,https://afdc.energy.gov/laws/8841
California,Compressed Natural Gas (CNG) Credit - PG&E,Natural Gas,https://afdc.energy.gov/laws/11846
California,Ethanol and Renewable Diesel Volume Rebate Program - Propel Fuels,Renewable Diesel,https://afdc.energy.gov/laws/9395
Colorado,Non-Residential Electric Vehicle (EV) Time-Of-Use (TOU) Rate – Black Hills Energy,Electricity,https://afdc.energy.gov/laws/13114
Colorado,Public Electric Utility Services Authorization,Electricity,https://afdc.energy.gov/laws/12250
Delaware,Vehicle-to-Grid Energy Credit,Electricity,https://afdc.energy.gov/laws/6592
Delaware,Electric Vehicle (EV) Charging Station Rebate - Delaware Electric Cooperative (DEC),Electricity,https://afdc.energy.gov/laws/12042
Connecticut,Public Electric Vehicle (EV) Charging Rate Pilot Program - Eversource,Electricity,https://afdc.energy.gov/laws/12417
Georgia,Alternative Fuel and Advanced Vehicle Job Creation Tax Credit,"Biodiesel, Ethanol, Electricity",https://afdc.energy.gov/laws/10253
Hawaii,Biofuels Procurement Preference,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/6077
Illinois,Biofuels Tax Exemption,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/5697
Indiana,Electric Vehicle (EV) Time-Of-Use (TOU) Rates - Applied Energy Services (AES) Indiana,Electricity,https://afdc.energy.gov/laws/9272
Indiana,Mid-Level Ethanol Blend Retailer Tax Credit,Ethanol,https://afdc.energy.gov/laws/9293
Iowa,E85 Retailer Tax Credit,Ethanol,https://afdc.energy.gov/laws/6425
Iowa,Biodiesel Blend Retailer Tax Credit,Biodiesel,https://afdc.energy.gov/laws/6082
