State,Name,Types,Source
Arizona,Joint Use of Government Fueling Infrastructure,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/6206
Arizona,Municipal Alternative Fuel Tax Regulation,Natural Gas,https://afdc.energy.gov/laws/9301
California,Biomethane Promotion,Biomethane,https://afdc.energy.gov/laws/10419
California,Low Carbon Fuel Standard,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/6308
Georgia,Ethanol Blending Regulation,Ethanol,https://afdc.energy.gov/laws/6516
Illinois,Biodiesel Blend Use Requirement,Biodiesel,https://afdc.energy.gov/laws/5993
Indiana,Immunity for Misuse of E85,Ethanol,https://afdc.energy.gov/laws/6032
Iowa,Retail E15 Access Requirements,Ethanol,https://afdc.energy.gov/laws/12998
Iowa,E85 Fuel Exclusivity Contract Regulations,Ethanol,https://afdc.energy.gov/laws/6117
Kentucky,Compressed Natural Gas (CNG) Deregulation,Natural Gas,https://afdc.energy.gov/laws/5828
Louisiana,Biofuels Feedstock Requirements,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/6104
Louisiana,Deregulation of Compressed Natural Gas (CNG) as a Motor Fuel,Natural Gas,https://afdc.energy.gov/laws/5284
Massachusetts,Biodiesel Use Requirement ,Biodiesel,https://afdc.energy.gov/laws/12586
Massachusetts,Direct Current Fast Charging (DCFC) Station Alternative Rate Structure Requirement,Electricity,https://afdc.energy.gov/laws/12541
Massachusetts,Deregulation of Compressed Natural Gas (CNG) as a Motor Fuel,Natural Gas,https://afdc.energy.gov/laws/4492
Minnesota,Biodiesel Blend Mandate,Biodiesel,https://afdc.energy.gov/laws/5452
Minnesota,Biofuel Blend Mandate,"Biodiesel, Ethanol",https://afdc.energy.gov/laws/6093
Mississippi,Natural Gas and Propane Deregulation,"Natural Gas, Propane",https://afdc.energy.gov/laws/4530
Missouri,Ethanol Blend Mandate,Ethanol,https://afdc.energy.gov/laws/6083
Nevada,Low-Level Ethanol Blend Support,Ethanol,https://afdc.energy.gov/laws/12628
North Carolina,Ethanol Blend Requirement,Ethanol,https://afdc.energy.gov/laws/6477
Oregon,Electric Vehicle (EV) Charging Rate Regulations,Electricity,https://afdc.energy.gov/laws/10072
Oregon,Clean Transportation Fuel Standards,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/6606
Oregon,Renewable Fuels Mandate,"Biodiesel, Ethanol, Renewable Diesel",https://afdc.energy.gov/laws/6274
South Carolina,Biodiesel Blend Distribution Mandate,Biodiesel,https://afdc.energy.gov/laws/6264
Vermont,Utility Company Electric Vehicle (EV) Rates,Electricity,https://afdc.energy.gov/laws/12659
Washington,Renewable Fuel Standard,"Biodiesel, Ethanol, Renewable Diesel",https://afdc.energy.gov/laws/6040
